tag,info,order,reasoning,corr_with_participants,corr_with_joe,corr_with_random,corr_with_random_blind,corr_with_random_blind_L1,corr_with_joe_new,corr_with_random_new,corr_with_random_blind_new,corr_with_random_blind_L1_new,corr_with_joe_reverted,corr_with_random_blind_reverted,corr_with_random_blind_L1_reverted,corr_with_00full,corr_with_10full,corr_with_20full,corr_with_30full,corr_with_40full,corr_with_60full,corr_with_70full,corr_with_80full,corr_with_90full
participants,,,,,0.418,0.486,0.155,0.473,0.313,0.378,0.158,0.342,0.418,0.155,0.473,0.338,0.5,0.479,0.487,0.49,0.502,0.499,0.493,0.453
joe,full,fixed,L0,0.418,,0.986,0.584,0.985,0.833,0.861,0.295,0.864,1.0,0.584,0.985,0.616,0.969,0.981,0.978,0.986,0.957,0.978,0.967,0.991
random,full,random,L0,0.486,0.986,,0.613,0.994,0.836,0.88,0.37,0.872,0.986,0.613,0.994,0.659,0.99,0.995,0.994,0.995,0.986,0.996,0.987,0.991
random_blind,blind,random,L0,0.155,0.584,0.613,,0.601,0.535,0.614,0.555,0.606,0.584,1.0,0.601,0.542,0.646,0.631,0.646,0.612,0.665,0.627,0.651,0.583
random_blind_L1,blind,random,L1,0.473,0.985,0.994,0.601,,0.83,0.869,0.338,0.865,0.985,0.601,1.0,0.654,0.987,0.995,0.99,0.993,0.981,0.993,0.986,0.992
joe_new,full,fixed,L0,0.313,0.833,0.836,0.535,0.83,,0.987,0.402,0.991,0.833,0.535,0.83,0.541,0.807,0.823,0.823,0.824,0.813,0.828,0.832,0.829
random_new,full,random,L0,0.378,0.861,0.88,0.614,0.869,0.987,,0.438,0.994,0.861,0.614,0.869,0.581,0.861,0.869,0.876,0.866,0.87,0.876,0.881,0.861
random_blind_new,blind,random,L0,0.158,0.295,0.37,0.555,0.338,0.402,0.438,,0.424,0.295,0.555,0.338,0.637,0.406,0.38,0.367,0.363,0.385,0.378,0.392,0.357
random_blind_L1_new,blind,random,L1,0.342,0.864,0.872,0.606,0.865,0.991,0.994,0.424,,0.864,0.606,0.865,0.547,0.849,0.861,0.864,0.859,0.861,0.868,0.876,0.861
joe_reverted,full,fixed,L0,0.418,1.0,0.986,0.584,0.985,0.833,0.861,0.295,0.864,,0.584,0.985,0.616,0.969,0.981,0.978,0.986,0.957,0.978,0.967,0.991
random_blind_reverted,blind,random,L0,0.155,0.584,0.613,1.0,0.601,0.535,0.614,0.555,0.606,0.584,,0.601,0.542,0.646,0.631,0.646,0.612,0.665,0.627,0.651,0.583
random_blind_L1_reverted,blind,random,L1,0.473,0.985,0.994,0.601,1.0,0.83,0.869,0.338,0.865,0.985,0.601,,0.654,0.987,0.995,0.99,0.993,0.981,0.993,0.986,0.992
00full,0.0,random,L0,0.338,0.616,0.659,0.542,0.654,0.541,0.581,0.637,0.547,0.616,0.542,0.654,,0.702,0.677,0.671,0.673,0.638,0.659,0.655,0.65
10full,0.1,random,L0,0.5,0.969,0.99,0.646,0.987,0.807,0.861,0.406,0.849,0.969,0.646,0.987,0.702,,0.996,0.994,0.991,0.982,0.991,0.988,0.98
20full,0.2,random,L0,0.479,0.981,0.995,0.631,0.995,0.823,0.869,0.38,0.861,0.981,0.631,0.995,0.677,0.996,,0.995,0.997,0.982,0.993,0.986,0.99
30full,0.3,random,L0,0.487,0.978,0.994,0.646,0.99,0.823,0.876,0.367,0.864,0.978,0.646,0.99,0.671,0.994,0.995,,0.991,0.984,0.992,0.988,0.981
40full,0.4,random,L0,0.49,0.986,0.995,0.612,0.993,0.824,0.866,0.363,0.859,0.986,0.612,0.993,0.673,0.991,0.997,0.991,,0.978,0.992,0.981,0.993
60full,0.6,random,L0,0.502,0.957,0.986,0.665,0.981,0.813,0.87,0.385,0.861,0.957,0.665,0.981,0.638,0.982,0.982,0.984,0.978,,0.99,0.988,0.965
70full,0.7,random,L0,0.499,0.978,0.996,0.627,0.993,0.828,0.876,0.378,0.868,0.978,0.627,0.993,0.659,0.991,0.993,0.992,0.992,0.99,,0.994,0.987
80full,0.8,random,L0,0.493,0.967,0.987,0.651,0.986,0.832,0.881,0.392,0.876,0.967,0.651,0.986,0.655,0.988,0.986,0.988,0.981,0.988,0.994,,0.976
90full,0.9,random,L0,0.453,0.991,0.991,0.583,0.992,0.829,0.861,0.357,0.861,0.991,0.583,0.992,0.65,0.98,0.99,0.981,0.993,0.965,0.987,0.976,
