,Logan moral (pooled),Joe univ,Joe moral,L0 (1 run only),L0,L1 heuristic (1 run only),L1 heuristic,real L1 (1 run only),real L1 (27/28 maps),L2 heuristic,real L2 (1/5 runs),L3 heuristic,blind L0,blind L1,joe,depth2_v1,depth2_v2
Logan moral (pooled),1.0,0.7829,0.9519,0.2783,0.4299,0.461,0.6041,0.6166,0.5749,0.6413,0.5849,0.5641,0.2333,0.589,0.547,0.4267,0.537
Joe univ,0.7829,1.0,0.8054,0.5815,0.6053,0.7622,0.8559,0.7812,0.781,0.8739,0.8236,0.8393,0.5069,0.8365,0.8174,0.6997,0.8459
Joe moral,0.9519,0.8054,1.0,0.2637,0.3792,0.5615,0.6688,0.6527,0.608,0.6869,0.6226,0.6341,0.2041,0.6528,0.6228,0.4642,0.5857
L0 (1 run only),0.2783,0.5815,0.2637,1.0,0.725,0.5946,0.6627,0.5593,0.5411,0.6584,0.5113,0.6595,0.7214,0.6787,0.6585,0.6106,0.73
L0,0.4299,0.6053,0.3792,0.725,1.0,0.4772,0.6163,0.6219,0.6554,0.67,0.4854,0.5861,0.5617,0.5983,0.5467,0.5437,0.6335
L1 heuristic (1 run only),0.461,0.7622,0.5615,0.5946,0.4772,1.0,0.9222,0.7423,0.7092,0.8774,0.6322,0.958,0.4926,0.9282,0.9466,0.7574,0.8938
L1 heuristic,0.6041,0.8559,0.6688,0.6627,0.6163,0.9222,1.0,0.8879,0.8755,0.9851,0.7617,0.986,0.5815,0.9951,0.9825,0.8166,0.9622
real L1 (1 run only),0.6166,0.7812,0.6527,0.5593,0.6219,0.7423,0.8879,1.0,0.9594,0.8914,0.7104,0.8523,0.4534,0.8676,0.8501,0.6893,0.8466
real L1 (27/28 maps),0.5749,0.781,0.608,0.5411,0.6554,0.7092,0.8755,0.9594,1.0,0.8987,0.772,0.8436,0.558,0.8521,0.8348,0.7106,0.8582
L2 heuristic,0.6413,0.8739,0.6869,0.6584,0.67,0.8774,0.9851,0.8914,0.8987,1.0,0.7729,0.9683,0.6148,0.9783,0.9656,0.8113,0.9612
real L2 (1/5 runs),0.5849,0.8236,0.6226,0.5113,0.4854,0.6322,0.7617,0.7104,0.772,0.7729,1.0,0.7273,0.4628,0.7279,0.7195,0.6046,0.784
L3 heuristic,0.5641,0.8393,0.6341,0.6595,0.5861,0.958,0.986,0.8523,0.8436,0.9683,0.7273,1.0,0.6093,0.9891,0.9905,0.8157,0.9547
blind L0,0.2333,0.5069,0.2041,0.7214,0.5617,0.4926,0.5815,0.4534,0.558,0.6148,0.4628,0.6093,1.0,0.6006,0.5835,0.5958,0.6392
blind L1,0.589,0.8365,0.6528,0.6787,0.5983,0.9282,0.9951,0.8676,0.8521,0.9783,0.7279,0.9891,0.6006,1.0,0.9851,0.8183,0.9573
joe,0.547,0.8174,0.6228,0.6585,0.5467,0.9466,0.9825,0.8501,0.8348,0.9656,0.7195,0.9905,0.5835,0.9851,1.0,0.8,0.9606
depth2_v1,0.4267,0.6997,0.4642,0.6106,0.5437,0.7574,0.8166,0.6893,0.7106,0.8113,0.6046,0.8157,0.5958,0.8183,0.8,1.0,0.8301
depth2_v2,0.537,0.8459,0.5857,0.73,0.6335,0.8938,0.9622,0.8466,0.8582,0.9612,0.784,0.9547,0.6392,0.9573,0.9606,0.8301,1.0
