,Logan moral (pooled),Joe univ,Joe moral,L0,L1 heuristic,real L1,L2 heuristic,real L2,L3 heuristic,blind L0,blind L1,joe
Logan moral (pooled),1.0,0.7829,0.9519,0.4396,0.6041,0.5064,0.6413,0.5884,0.5641,0.2656,0.589,0.547
Joe univ,0.7829,1.0,0.8054,0.6063,0.8559,0.7482,0.8739,0.8438,0.8393,0.5366,0.8365,0.8174
Joe moral,0.9519,0.8054,1.0,0.3845,0.6688,0.5453,0.6869,0.6228,0.6341,0.2336,0.6528,0.6228
L0,0.4396,0.6063,0.3845,1.0,0.6079,0.6222,0.6605,0.5688,0.5817,0.6384,0.5901,0.5355
L1 heuristic,0.6041,0.8559,0.6688,0.6079,1.0,0.8736,0.9851,0.87,0.986,0.6062,0.9951,0.9825
real L1,0.5064,0.7482,0.5453,0.6222,0.8736,1.0,0.8794,0.8886,0.8494,0.657,0.8558,0.8508
L2 heuristic,0.6413,0.8739,0.6869,0.6605,0.9851,0.8794,1.0,0.8845,0.9683,0.6478,0.9783,0.9656
real L2,0.5884,0.8438,0.6228,0.5688,0.87,0.8886,0.8845,1.0,0.8422,0.6383,0.8468,0.8387
L3 heuristic,0.5641,0.8393,0.6341,0.5817,0.986,0.8494,0.9683,0.8422,1.0,0.6289,0.9891,0.9905
blind L0,0.2656,0.5366,0.2336,0.6384,0.6062,0.657,0.6478,0.6383,0.6289,1.0,0.6225,0.6009
blind L1,0.589,0.8365,0.6528,0.5901,0.9951,0.8558,0.9783,0.8468,0.9891,0.6225,1.0,0.9851
joe,0.547,0.8174,0.6228,0.5355,0.9825,0.8508,0.9656,0.8387,0.9905,0.6009,0.9851,1.0
