source,run,condition,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,first,last,gap,average,total,aggregate_welfare,gap_normalized,gini
simulation,1,,0.0001,17,22,58,43,29,34,54,50,17,58,41.0,38.375,307,-1.3111111111111111,0.28888888888888886,0.21131921824104238
simulation,2,,0.0001,17,21,27,47,61,32,37,61,17,61,44.0,37.875,303,-1.2222222222222223,0.35555555555555557,0.23638613861386149
simulation,3,,0.0001,17,24,34,41,63,28,45,54,17,63,46.0,38.25,306,-1.288888888888889,0.4,0.2165032679738561
simulation,4,,0.0001,18,24,29,55,47,35,40,60,18,60,42.0,38.5,308,-1.3333333333333333,0.3111111111111111,0.20616883116883122
simulation,5,,0.0001,17,27,22,45,37,61,41,52,17,61,44.0,37.75,302,-1.2,0.35555555555555557,0.21357615894039728
simulation,6,,0.0001,17,24,64,32,42,37,55,46,17,64,47.0,39.625,317,-1.5333333333333334,0.4222222222222222,0.20938485804416396
simulation,7,,0.0001,17,31,40,48,23,36,57,65,17,65,48.0,39.625,317,-1.5333333333333334,0.4444444444444444,0.22121451104100953
simulation,8,,0.0001,17,22,26,55,35,48,40,63,17,63,46.0,38.25,306,-1.288888888888889,0.4,0.2279411764705883
simulation,9,,0.0001,24,23,34,29,40,57,44,55,23,57,34.0,38.25,306,-1.288888888888889,0.13333333333333333,0.18137254901960786
simulation,10,,0.0001,19,30,23,34,54,62,65,40,19,65,46.0,40.875,327,-1.7555555555555555,0.4,0.22744648318042815
simulation,11,,0.0001,17,23,27,49,33,54,39,60,17,60,43.0,37.75,302,-1.2,0.3333333333333333,0.2185430463576159
simulation,12,,0.0001,17,40,22,57,33,50,36,68,17,68,51.0,40.375,323,-1.6666666666666667,0.5111111111111111,0.22716718266253877
simulation,13,,0.0001,17,22,44,27,68,32,46,52,17,68,51.0,38.5,308,-1.3333333333333333,0.5111111111111111,0.23376623376623384
simulation,14,,0.0001,17,23,28,57,35,41,49,64,17,64,47.0,39.25,314,-1.4666666666666666,0.4222222222222222,0.22611464968152872
simulation,15,,0.0001,17,29,21,35,57,37,45,64,17,64,47.0,38.125,305,-1.2666666666666666,0.4222222222222222,0.22909836065573774
simulation,16,,0.0001,17,27,24,40,32,46,52,59,17,59,42.0,37.125,297,-1.0888888888888888,0.3111111111111111,0.210016835016835
simulation,17,,0.0001,17,25,30,47,38,50,60,62,17,62,45.0,41.125,329,-1.8,0.37777777777777777,0.21238601823708203
simulation,18,,0.0001,17,22,55,36,28,42,62,48,17,62,45.0,38.75,310,-1.3777777777777778,0.37777777777777777,0.2201612903225807
simulation,19,,0.0001,17,39,23,50,57,31,62,44,17,62,45.0,40.375,323,-1.6666666666666667,0.37777777777777777,0.21168730650154788
simulation,20,,0.0001,17,21,28,41,45,37,53,59,17,59,42.0,37.625,301,-1.1777777777777778,0.3111111111111111,0.21137873754152814
simulation,21,,0.0001,17,34,23,29,55,42,47,63,17,63,46.0,38.75,310,-1.3777777777777778,0.4,0.2193548387096773
simulation,22,,0.0001,17,24,28,62,37,41,48,57,17,62,45.0,39.25,314,-1.4666666666666666,0.37777777777777777,0.21656050955414008
simulation,23,,0.0001,17,24,29,39,52,33,46,61,17,61,44.0,37.625,301,-1.1777777777777778,0.35555555555555557,0.20971760797342198
simulation,24,,0.0001,18,23,43,28,34,52,50,65,18,65,47.0,39.125,313,-1.4444444444444444,0.4222222222222222,0.21924920127795522
simulation,25,,0.0001,17,23,34,63,50,27,42,53,17,63,46.0,38.625,309,-1.3555555555555556,0.4,0.22208737864077666
simulation,26,,0.0001,17,29,33,21,40,51,63,52,17,63,46.0,38.25,306,-1.288888888888889,0.4,0.22467320261437917
simulation,27,,0.0001,17,23,30,38,42,47,60,71,17,71,54.0,41.0,328,-1.7777777777777777,0.5777777777777777,0.2355182926829269
simulation,28,,0.0001,17,25,31,36,43,49,56,61,17,61,44.0,39.75,318,-1.5555555555555556,0.35555555555555557,0.2059748427672956
simulation,29,,0.0001,17,25,29,46,59,37,49,52,17,59,42.0,39.25,314,-1.4666666666666666,0.3111111111111111,0.1982484076433122
simulation,30,,0.0001,17,24,30,49,39,66,45,58,17,66,49.0,41.0,328,-1.7777777777777777,0.4666666666666667,0.2195121951219512
simulation,31,,0.0001,17,28,54,22,33,43,46,61,17,61,44.0,38.0,304,-1.2444444444444445,0.35555555555555557,0.21875
simulation,32,,0.0001,17,24,43,45,54,35,58,30,17,58,41.0,38.25,306,-1.288888888888889,0.28888888888888886,0.2001633986928104
simulation,33,,0.0001,17,22,35,27,43,45,51,59,17,59,42.0,37.375,299,-1.1333333333333333,0.3111111111111111,0.20944816053511706
simulation,34,,0.0001,17,24,29,36,44,49,65,58,17,65,48.0,40.25,322,-1.6444444444444444,0.4444444444444444,0.22282608695652173
simulation,35,,0.0001,17,25,32,35,50,41,74,60,17,74,57.0,41.75,334,-1.9111111111111112,0.6444444444444445,0.23727544910179632
simulation,36,,0.0001,18,22,33,34,53,38,44,60,18,60,42.0,37.75,302,-1.2,0.3111111111111111,0.20115894039735105
simulation,37,,0.0001,17,24,30,50,42,58,35,54,17,58,41.0,38.75,310,-1.3777777777777778,0.28888888888888886,0.2032258064516128
simulation,38,,0.0001,17,22,29,56,65,42,35,48,17,65,48.0,39.25,314,-1.4666666666666666,0.4444444444444444,0.22691082802547768
simulation,39,,0.0001,17,24,29,36,44,54,48,63,17,63,46.0,39.375,315,-1.488888888888889,0.4,0.213095238095238
simulation,40,,0.0001,17,24,30,56,43,66,34,46,17,66,49.0,39.5,316,-1.511111111111111,0.4666666666666667,0.22151898734177222
simulation,41,,0.0001,17,35,44,23,59,29,47,59,17,59,42.0,39.125,313,-1.4444444444444444,0.3111111111111111,0.21445686900958472
simulation,42,,0.0001,17,22,30,36,40,46,56,63,17,63,46.0,38.75,310,-1.3777777777777778,0.4,0.2193548387096773
simulation,43,,0.0001,17,23,29,57,34,47,40,66,17,66,49.0,39.125,313,-1.4444444444444444,0.4666666666666667,0.22883386581469645
simulation,44,,0.0001,17,21,32,36,55,44,57,45,17,57,40.0,38.375,307,-1.3111111111111111,0.26666666666666666,0.20236156351791523
simulation,45,,0.0001,17,22,43,28,34,63,51,65,17,65,48.0,40.375,323,-1.6666666666666667,0.4444444444444444,0.23955108359133126
simulation,46,,0.0001,19,36,23,29,46,41,53,68,19,68,49.0,39.375,315,-1.488888888888889,0.4666666666666667,0.21785714285714275
simulation,47,,0.0001,19,24,32,35,58,43,49,63,19,63,44.0,40.375,323,-1.6666666666666667,0.35555555555555557,0.20781733746130038
simulation,48,,0.0001,17,23,37,43,27,60,65,47,17,65,48.0,39.875,319,-1.5777777777777777,0.4444444444444444,0.23001567398119116
simulation,49,,0.0001,17,25,31,52,37,42,64,48,17,64,47.0,39.5,316,-1.511111111111111,0.4222222222222222,0.20569620253164556
simulation,50,,0.0001,17,25,31,36,43,48,50,57,17,57,40.0,38.375,307,-1.3111111111111111,0.26666666666666666,0.18851791530944628
experimental,,line,,17,21,25,29,33,37,41,45,17,45,28.0,31.0,248,0.0,0.0,0.1693548387096775
experimental,,1cut,,17,21,29,33,25,37,41,45,17,45,28.0,31.0,248,0.0,0.0,0.1693548387096775
