source,run,condition,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,first,last,gap,average,total,aggregate_welfare,gap_normalized,gini
simulation,1,,0.0001,16,21,25,25,34,33,34,37,16,37,21.0,28.125,225,0.3409090909090909,-0.1590909090909091,0.13722222222222213
simulation,2,,0.0001,16,21,32,25,40,26,34,46,16,46,30.0,30.0,240,0.0,0.045454545454545456,0.17604166666666665
simulation,3,,0.0001,17,21,25,27,31,29,32,35,17,35,18.0,27.125,217,0.5227272727272727,-0.22727272727272727,0.11578341013824889
simulation,4,,0.0001,16,21,32,24,28,27,34,34,16,34,18.0,27.0,216,0.5454545454545454,-0.22727272727272727,0.125
simulation,5,,0.0001,16,23,20,31,26,28,36,33,16,36,20.0,26.625,213,0.6136363636363636,-0.18181818181818182,0.13556338028169024
simulation,6,,0.0001,16,21,28,26,30,35,30,40,16,40,24.0,28.25,226,0.3181818181818182,-0.09090909090909091,0.13938053097345127
simulation,7,,0.0001,16,23,20,30,27,27,39,33,16,39,23.0,26.875,215,0.5681818181818182,-0.11363636363636363,0.14360465116279064
simulation,8,,0.0001,16,21,23,33,34,29,40,36,16,40,24.0,29.0,232,0.18181818181818182,-0.09090909090909091,0.15086206896551735
simulation,9,,0.0001,16,24,22,27,30,30,37,36,16,37,21.0,27.75,222,0.4090909090909091,-0.1590909090909091,0.13400900900900892
simulation,10,,0.0001,16,21,20,27,33,38,25,34,16,38,22.0,26.75,214,0.5909090909090909,-0.13636363636363635,0.15303738317756999
simulation,11,,0.0001,16,21,30,23,28,28,37,42,16,42,26.0,28.125,225,0.3409090909090909,-0.045454545454545456,0.15722222222222215
simulation,12,,0.0001,16,21,25,27,26,31,43,36,16,43,27.0,28.125,225,0.3409090909090909,-0.022727272727272728,0.15722222222222215
simulation,13,,0.0001,16,22,26,23,38,32,30,35,16,38,22.0,27.75,222,0.4090909090909091,-0.13636363636363635,0.14076576576576572
simulation,14,,0.0001,16,21,20,32,29,36,24,39,16,39,23.0,27.125,217,0.5227272727272727,-0.11363636363636363,0.1607142857142858
simulation,15,,0.0001,16,23,20,27,27,32,43,37,16,43,27.0,28.125,225,0.3409090909090909,-0.022727272727272728,0.16722222222222216
simulation,16,,0.0001,16,25,22,26,34,40,28,35,16,40,24.0,28.25,226,0.3181818181818182,-0.09090909090909091,0.14491150442477885
simulation,17,,0.0001,16,21,23,27,38,30,33,43,16,43,27.0,28.875,231,0.20454545454545456,-0.022727272727272728,0.16612554112554112
simulation,18,,0.0001,16,21,26,31,39,25,45,33,16,45,29.0,29.5,236,0.09090909090909091,0.022727272727272728,0.17055084745762716
simulation,19,,0.0001,16,25,36,21,40,31,33,27,16,40,24.0,28.625,229,0.25,-0.09090909090909091,0.14792576419213965
