source,run,condition,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,first,last,gap,average,total,aggregate_welfare,gap_normalized,gini
simulation,1,,0.0001,19,19,22,24,20,25,28,28,19,28,9.0,23.125,185,1.4,-0.4222222222222222,0.08445945945945943
simulation,2,,0.0001,16,20,20,25,24,26,29,33,16,33,17.0,24.125,193,1.2222222222222223,-0.24444444444444444,0.11852331606217614
simulation,3,,0.0001,20,18,20,19,22,26,29,32,18,32,14.0,23.25,186,1.3777777777777778,-0.3111111111111111,0.11290322580645151
simulation,4,,0.0001,19,19,19,23,24,28,23,31,19,31,12.0,23.25,186,1.3777777777777778,-0.35555555555555557,0.09677419354838701
simulation,5,,0.0001,18,17,19,24,24,29,24,35,17,35,18.0,23.75,190,1.288888888888889,-0.2222222222222222,0.1289473684210527
simulation,6,,0.0001,21,19,20,20,24,23,31,31,19,31,12.0,23.625,189,1.3111111111111111,-0.35555555555555557,0.10119047619047628
simulation,7,,0.0001,18,21,19,19,22,27,28,28,18,28,10.0,22.75,182,1.4666666666666666,-0.4,0.09615384615384626
simulation,8,,0.0001,18,17,22,20,24,26,36,30,17,36,19.0,24.125,193,1.2222222222222223,-0.2,0.13795336787564771
simulation,9,,0.0001,19,19,18,20,22,26,28,30,18,30,12.0,22.75,182,1.4666666666666666,-0.35555555555555557,0.10439560439560447
simulation,10,,0.0001,18,18,24,22,25,25,27,32,18,32,14.0,23.875,191,1.2666666666666666,-0.3111111111111111,0.10013089005235609
simulation,11,,0.0001,20,18,22,23,20,23,33,29,18,33,15.0,23.5,188,1.3333333333333333,-0.28888888888888886,0.1063829787234043
simulation,12,,0.0001,17,21,18,21,24,24,34,26,17,34,17.0,23.125,185,1.4,-0.24444444444444444,0.11554054054054053
simulation,13,,0.0001,18,17,19,24,24,26,24,29,17,29,12.0,22.625,181,1.488888888888889,-0.35555555555555557,0.09599447513812165
simulation,14,,0.0001,17,17,22,21,26,26,25,31,17,31,14.0,23.125,185,1.4,-0.3111111111111111,0.10878378378378373
simulation,15,,0.0001,17,17,22,22,25,33,24,28,17,33,16.0,23.5,188,1.3333333333333333,-0.26666666666666666,0.11835106382978733
