source,run,condition,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,first,last,gap,average,total,aggregate_welfare,gap_normalized,gini
simulation,1,,0.0001,14,14,14,14,17,17,24,21,14,24,10.0,16.875,135,2.119047619047619,-0.42857142857142855,0.10833333333333339
simulation,2,,0.0001,14,14,14,15,15,17,18,27,14,27,13.0,16.75,134,2.142857142857143,-0.35714285714285715,0.11194029850746268
simulation,3,,0.0001,14,14,14,14,16,17,20,24,14,24,10.0,16.625,133,2.1666666666666665,-0.42857142857142855,0.1043233082706767
simulation,4,,0.0001,14,14,14,14,16,18,20,25,14,25,11.0,16.875,135,2.119047619047619,-0.40476190476190477,0.11203703703703694
simulation,5,,0.0001,14,14,14,14,19,17,20,24,14,24,10.0,17.0,136,2.0952380952380953,-0.42857142857142855,0.10845588235294112
simulation,6,,0.0001,14,14,14,14,17,17,27,21,14,27,13.0,17.25,138,2.0476190476190474,-0.35714285714285715,0.125
simulation,7,,0.0001,14,14,14,14,20,17,22,22,14,22,8.0,17.125,137,2.0714285714285716,-0.47619047619047616,0.10675182481751833
simulation,8,,0.0001,14,14,14,14,16,17,20,20,14,20,6.0,16.125,129,2.261904761904762,-0.5238095238095238,0.08042635658914721
simulation,9,,0.0001,14,14,14,14,16,17,20,21,14,21,7.0,16.25,130,2.238095238095238,-0.5,0.08653846153846145
simulation,10,,0.0001,14,14,14,15,15,17,18,27,14,27,13.0,16.75,134,2.142857142857143,-0.35714285714285715,0.11194029850746268
simulation,11,,0.0001,14,14,14,14,16,17,20,27,14,27,13.0,17.0,136,2.0952380952380953,-0.35714285714285715,0.12132352941176472
simulation,12,,0.0001,14,14,14,14,16,17,20,20,14,20,6.0,16.125,129,2.261904761904762,-0.5238095238095238,0.08042635658914721
simulation,13,,0.0001,14,14,14,19,16,17,23,23,14,23,9.0,17.5,140,2.0,-0.4523809523809524,0.11071428571428577
simulation,14,,0.0001,14,14,14,14,17,17,20,23,14,23,9.0,16.625,133,2.1666666666666665,-0.4523809523809524,0.09868421052631571
simulation,15,,0.0001,14,14,14,14,16,17,23,23,14,23,9.0,16.875,135,2.119047619047619,-0.4523809523809524,0.11018518518518516
simulation,16,,0.0001,14,14,14,14,17,17,21,23,14,23,9.0,16.75,134,2.142857142857143,-0.4523809523809524,0.10261194029850751
simulation,17,,0.0001,14,14,14,14,16,17,20,23,14,23,9.0,16.5,132,2.1904761904761907,-0.4523809523809524,0.0984848484848484
simulation,18,,0.0001,14,14,14,15,15,17,18,21,14,21,7.0,16.0,128,2.2857142857142856,-0.5,0.076171875
simulation,19,,0.0001,14,14,14,15,15,17,18,24,14,24,10.0,16.375,131,2.2142857142857144,-0.42857142857142855,0.09446564885496178
