source,run,condition,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,first,last,gap,average,total,aggregate_welfare,gap_normalized,gini
simulation,1,,0.0001,20,21,16,19,16,16,29,18,16,29,13.0,19.375,155,2.1956521739130435,-0.32608695652173914,0.1040322580645161
simulation,2,,0.0001,19,26,16,21,16,16,18,18,16,26,10.0,18.75,150,2.3043478260869565,-0.391304347826087,0.08666666666666667
simulation,3,,0.0001,18,23,16,18,16,16,22,18,16,23,7.0,18.375,147,2.369565217391304,-0.45652173913043476,0.07227891156462585
simulation,4,,0.0001,19,30,16,25,16,16,18,18,16,30,14.0,19.75,158,2.130434782608696,-0.30434782608695654,0.120253164556962
simulation,5,,0.0001,20,22,20,17,16,16,26,18,16,26,10.0,19.375,155,2.1956521739130435,-0.391304347826087,0.08951612903225814
simulation,6,,0.0001,20,27,20,17,16,16,24,18,16,27,11.0,19.75,158,2.130434782608696,-0.3695652173913043,0.10126582278481022
simulation,7,,0.0001,19,21,16,19,16,16,27,18,16,27,11.0,19.0,152,2.260869565217391,-0.3695652173913043,0.09210526315789469
simulation,8,,0.0001,20,30,19,17,16,16,19,22,16,30,14.0,19.875,159,2.108695652173913,-0.30434782608695654,0.10770440251572322
simulation,9,,0.0001,20,22,20,17,16,16,28,18,16,28,12.0,19.625,157,2.152173913043478,-0.34782608695652173,0.09952229299363058
simulation,10,,0.0001,18,21,19,17,16,16,24,18,16,24,8.0,18.625,149,2.3260869565217392,-0.43478260869565216,0.07298657718120816
simulation,11,,0.0001,20,24,16,19,16,16,25,18,16,25,9.0,19.25,154,2.217391304347826,-0.41304347826086957,0.0941558441558441
simulation,12,,0.0001,18,21,16,21,16,16,27,18,16,27,11.0,19.125,153,2.239130434782609,-0.3695652173913043,0.09558823529411775
simulation,13,,0.0001,19,21,16,27,16,16,23,18,16,27,11.0,19.5,156,2.1739130434782608,-0.3695652173913043,0.10256410256410264
simulation,14,,0.0001,18,22,20,17,16,16,21,25,16,25,9.0,19.375,155,2.1956521739130435,-0.41304347826086957,0.08629032258064506
simulation,15,,0.0001,20,20,16,23,16,16,31,18,16,31,15.0,20.0,160,2.0869565217391304,-0.2826086956521739,0.12031250000000004
