source,run,condition,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,first,last,gap,average,total,aggregate_welfare,gap_normalized,gini
simulation,1,,0.0001,9,13,24,32,15,18,18,31,9,32,23.0,20.0,160,0.6486486486486487,-0.13513513513513514,0.2171875000000001
simulation,2,,0.0001,9,14,14,21,20,35,25,26,9,35,26.0,20.5,164,0.5405405405405406,-0.05405405405405406,0.21036585365853666
simulation,3,,0.0001,9,13,18,16,17,18,28,25,9,28,19.0,18.0,144,1.0810810810810811,-0.24324324324324326,0.17361111111111116
simulation,4,,0.0001,9,14,15,15,20,31,27,22,9,31,22.0,19.125,153,0.8378378378378378,-0.16216216216216217,0.2001633986928104
simulation,5,,0.0001,9,13,15,19,39,21,36,24,9,39,30.0,22.0,176,0.21621621621621623,0.05405405405405406,0.2514204545454546
simulation,6,,0.0001,9,13,16,16,24,15,23,35,9,35,26.0,18.875,151,0.8918918918918919,-0.05405405405405406,0.2160596026490067
simulation,7,,0.0001,9,13,15,19,30,22,29,32,9,32,23.0,21.125,169,0.40540540540540543,-0.13513513513513514,0.21523668639053262
simulation,8,,0.0001,9,13,13,16,20,31,38,22,9,38,29.0,20.25,162,0.5945945945945946,0.02702702702702703,0.25
simulation,9,,0.0001,9,14,14,16,28,41,46,25,9,46,37.0,24.125,193,-0.24324324324324326,0.24324324324324326,0.28821243523316054
simulation,10,,0.0001,9,12,17,15,20,39,29,20,9,39,30.0,20.125,161,0.6216216216216216,0.05405405405405406,0.24301242236024834
simulation,11,,0.0001,9,33,14,29,19,18,44,24,9,44,35.0,23.75,190,-0.16216216216216217,0.1891891891891892,0.24868421052631584
simulation,12,,0.0001,9,24,14,19,17,20,33,26,9,33,24.0,20.25,162,0.5945945945945946,-0.10810810810810811,0.19290123456790131
simulation,13,,0.0001,9,13,15,21,36,43,41,18,9,43,34.0,24.5,196,-0.32432432432432434,0.16216216216216217,0.28316326530612246
simulation,14,,0.0001,9,12,14,17,40,18,33,26,9,40,31.0,21.125,169,0.40540540540540543,0.08108108108108109,0.2655325443786982
simulation,15,,0.0001,9,13,13,21,32,32,25,20,9,32,23.0,20.625,165,0.5135135135135135,-0.13513513513513514,0.22196969696969693
simulation,16,,0.0001,9,14,14,29,24,22,25,30,9,30,21.0,20.875,167,0.4594594594594595,-0.1891891891891892,0.1923652694610778
simulation,17,,0.0001,9,13,16,16,59,15,34,29,9,59,50.0,23.875,191,-0.1891891891891892,0.5945945945945946,0.32526178010471196
simulation,18,,0.0001,9,13,15,21,26,22,33,34,9,34,25.0,21.625,173,0.2972972972972973,-0.08108108108108109,0.22326589595375723
simulation,19,,0.0001,9,13,18,16,19,39,35,26,9,39,30.0,21.875,175,0.24324324324324326,0.05405405405405406,0.25071428571428567
simulation,20,,0.0001,9,14,14,19,40,26,40,24,9,40,31.0,23.25,186,-0.05405405405405406,0.08108108108108109,0.260752688172043
simulation,21,,0.0001,9,13,16,16,26,24,17,26,9,26,17.0,18.375,147,1.0,-0.2972972972972973,0.17772108843537415
simulation,22,,0.0001,9,14,19,15,18,34,25,26,9,34,25.0,20.0,160,0.6486486486486487,-0.08108108108108109,0.20781249999999996
simulation,23,,0.0001,9,13,15,17,35,22,17,29,9,35,26.0,19.625,157,0.7297297297297297,-0.05405405405405406,0.22531847133757954
simulation,24,,0.0001,9,18,14,19,17,22,41,29,9,41,32.0,21.125,169,0.40540540540540543,0.10810810810810811,0.2329881656804733
simulation,25,,0.0001,9,13,26,24,17,26,33,18,9,33,24.0,20.75,166,0.4864864864864865,-0.10810810810810811,0.20030120481927716
simulation,26,,0.0001,9,14,14,17,23,37,29,18,9,37,28.0,20.125,161,0.6216216216216216,0.0,0.2321428571428572
simulation,27,,0.0001,9,14,14,19,26,18,27,44,9,44,35.0,21.375,171,0.35135135135135137,0.1891891891891892,0.253654970760234
simulation,28,,0.0001,9,13,16,16,24,26,29,27,9,29,20.0,20.0,160,0.6486486486486487,-0.21621621621621623,0.1937500000000001
