source,run,condition,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,first,last,gap,average,total,aggregate_welfare,gap_normalized,gini
simulation,1,,0.0001,20,51,29,65,41,27,54,14,14,65,51.0,37.625,301,-3.774193548387097,1.1290322580645162,0.25373754152823924
simulation,2,,0.0001,19,28,41,64,48,51,27,14,14,64,50.0,36.5,292,-3.4838709677419355,1.096774193548387,0.2508561643835616
simulation,3,,0.0001,17,46,35,33,60,28,75,14,14,75,61.0,38.5,308,-4.0,1.4516129032258065,0.28327922077922074
simulation,4,,0.0001,16,29,68,61,50,43,27,14,14,68,54.0,38.5,308,-4.0,1.2258064516129032,0.27840909090909083
simulation,5,,0.0001,19,35,47,56,66,29,42,14,14,66,52.0,38.5,308,-4.0,1.1612903225806452,0.24756493506493515
simulation,6,,0.0001,20,51,40,27,49,30,64,15,15,64,49.0,37.0,296,-3.6129032258064515,1.064516129032258,0.24239864864864868
simulation,7,,0.0001,16,27,39,39,57,49,21,26,16,57,41.0,34.25,274,-2.903225806451613,0.8064516129032258,0.21806569343065685
simulation,8,,0.0001,18,28,26,56,55,40,41,14,14,56,42.0,34.75,278,-3.032258064516129,0.8387096774193549,0.24100719424460437
simulation,9,,0.0001,30,28,46,42,62,53,23,27,23,62,39.0,38.875,311,-4.096774193548387,0.7419354838709677,0.1885048231511255
simulation,10,,0.0001,18,33,43,55,82,41,27,14,14,82,68.0,39.125,313,-4.161290322580645,1.6774193548387097,0.2863418530351438
simulation,11,,0.0001,18,30,55,49,58,45,28,14,14,58,44.0,37.125,297,-3.6451612903225805,0.9032258064516129,0.24031986531986527
simulation,12,,0.0001,18,56,29,44,38,59,26,14,14,59,45.0,35.5,284,-3.225806451612903,0.9354838709677419,0.25
simulation,13,,0.0001,16,51,41,27,45,58,29,15,15,58,43.0,35.25,282,-3.161290322580645,0.8709677419354839,0.24024822695035453
simulation,14,,0.0001,21,33,60,31,44,74,46,14,14,74,60.0,40.375,323,-4.483870967741935,1.4193548387096775,0.2596749226006192
simulation,15,,0.0001,20,45,28,62,57,41,28,14,14,62,48.0,36.875,295,-3.5806451612903225,1.032258064516129,0.24788135593220328
simulation,16,,0.0001,21,33,30,55,41,52,42,14,14,55,41.0,36.0,288,-3.3548387096774195,0.8064516129032258,0.2109375
simulation,17,,0.0001,16,29,50,42,42,68,29,14,14,68,54.0,36.25,290,-3.4193548387096775,1.2258064516129032,0.2586206896551724
simulation,18,,0.0001,20,33,48,28,53,60,40,14,14,60,46.0,37.0,296,-3.6129032258064515,0.967741935483871,0.23395270270270263
