source,run,condition,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,first,last,gap,average,total,aggregate_welfare,gap_normalized,gini
simulation,1,,0.0001,16,28,24,58,53,43,36,74,16,74,58.0,41.5,332,-2.090909090909091,0.6818181818181818,0.24774096385542177
simulation,2,,0.0001,16,24,48,31,64,58,38,69,16,69,53.0,43.5,348,-2.4545454545454546,0.5681818181818182,0.23778735632183912
simulation,3,,0.0001,16,24,32,81,47,40,69,59,16,81,65.0,46.0,368,-2.909090909090909,0.8409090909090909,0.26086956521739135
simulation,4,,0.0001,16,33,25,43,51,59,77,68,16,77,61.0,46.5,372,-3.0,0.75,0.2446236559139785
simulation,5,,0.0001,16,24,28,33,40,47,71,60,16,71,55.0,39.875,319,-1.7954545454545454,0.6136363636363636,0.24647335423197503
simulation,6,,0.0001,16,24,44,29,47,35,70,58,16,70,54.0,40.375,323,-1.8863636363636365,0.5909090909090909,0.23645510835913308
simulation,7,,0.0001,16,24,64,32,42,48,60,55,16,64,48.0,42.625,341,-2.2954545454545454,0.45454545454545453,0.21664222873900285
simulation,8,,0.0001,16,27,36,46,60,55,29,66,16,66,50.0,41.875,335,-2.159090909090909,0.5,0.2250000000000001
simulation,9,,0.0001,16,25,34,59,46,71,85,41,16,85,69.0,47.125,377,-3.1136363636363638,0.9318181818181818,0.2629310344827587
simulation,10,,0.0001,16,23,50,64,34,43,72,58,16,72,56.0,45.0,360,-2.727272727272727,0.6363636363636364,0.23472222222222228
simulation,11,,0.0001,16,34,41,28,54,49,57,76,16,76,60.0,44.375,355,-2.6136363636363638,0.7272727272727273,0.22288732394366195
simulation,12,,0.0001,16,25,34,63,53,41,48,73,16,73,57.0,44.125,353,-2.5681818181818183,0.6590909090909091,0.23123229461756378
simulation,13,,0.0001,16,32,27,68,55,38,67,44,16,68,52.0,43.375,347,-2.4318181818181817,0.5454545454545454,0.23018731988472618
simulation,14,,0.0001,16,26,35,31,41,47,61,68,16,68,52.0,40.625,325,-1.9318181818181819,0.5454545454545454,0.22807692307692307
simulation,15,,0.0001,16,73,23,45,33,52,62,35,16,73,57.0,42.375,339,-2.25,0.6590909090909091,0.2437315634218289
simulation,16,,0.0001,16,32,60,23,49,92,69,38,16,92,76.0,47.375,379,-3.159090909090909,1.0909090909090908,0.28265171503957776
simulation,17,,0.0001,16,31,110,36,66,25,51,44,16,110,94.0,47.375,379,-3.159090909090909,1.5,0.3070580474934037
simulation,18,,0.0001,16,25,37,69,58,54,30,49,16,69,53.0,42.25,338,-2.227272727272727,0.5681818181818182,0.22928994082840237
simulation,19,,0.0001,16,26,38,48,75,93,34,59,16,93,77.0,48.625,389,-3.3863636363636362,1.1136363636363635,0.2792416452442159
simulation,20,,0.0001,16,28,43,48,58,32,70,60,16,70,54.0,44.375,355,-2.6136363636363638,0.5909090909090909,0.2186619718309859
simulation,21,,0.0001,16,22,27,52,71,36,57,65,16,71,55.0,43.25,346,-2.409090909090909,0.6136363636363636,0.25505780346820806
simulation,22,,0.0001,16,37,25,47,56,27,42,70,16,70,54.0,40.0,320,-1.8181818181818181,0.5909090909090909,0.23359375000000004
simulation,23,,0.0001,16,26,72,46,93,34,107,41,16,107,91.0,54.375,435,-4.431818181818182,1.4318181818181819,0.31350574712643686
simulation,24,,0.0001,16,25,57,30,36,40,69,44,16,69,53.0,39.625,317,-1.75,0.5681818181818182,0.22752365930599372
simulation,25,,0.0001,16,38,41,31,59,49,26,71,16,71,55.0,41.375,331,-2.0681818181818183,0.6136363636363636,0.22922960725075536
simulation,26,,0.0001,16,40,64,26,52,33,62,42,16,64,48.0,41.875,335,-2.159090909090909,0.45454545454545453,0.21455223880597019
simulation,27,,0.0001,16,23,33,44,62,35,76,50,16,76,60.0,42.375,339,-2.25,0.7272727272727273,0.24889380530973448
simulation,28,,0.0001,16,28,22,59,50,38,66,46,16,66,50.0,40.625,325,-1.9318181818181819,0.5,0.23423076923076924
simulation,29,,0.0001,16,32,65,44,47,24,77,53,16,77,61.0,44.75,358,-2.6818181818181817,0.75,0.24371508379888263
simulation,30,,0.0001,16,26,28,41,50,36,57,66,16,66,50.0,40.0,320,-1.8181818181818181,0.5,0.2250000000000001
simulation,31,,0.0001,16,24,33,59,51,38,45,68,16,68,52.0,41.75,334,-2.1363636363636362,0.5454545454545454,0.22455089820359286
simulation,32,,0.0001,16,25,31,67,46,51,35,84,16,84,68.0,44.375,355,-2.6136363636363638,0.9090909090909091,0.2665492957746478
simulation,33,,0.0001,16,56,31,44,36,26,62,76,16,76,60.0,43.375,347,-2.4318181818181817,0.7272727272727273,0.24603746397694515
simulation,34,,0.0001,16,26,32,41,50,69,56,78,16,78,62.0,46.0,368,-2.909090909090909,0.7727272727272727,0.24796195652173902
simulation,35,,0.0001,16,32,41,35,24,47,65,56,16,65,49.0,39.5,316,-1.7272727272727273,0.4772727272727273,0.2191455696202531
simulation,36,,0.0001,16,24,32,47,62,38,54,88,16,88,72.0,45.125,361,-2.75,1.0,0.2662742382271468
simulation,37,,0.0001,16,28,46,28,87,52,78,36,16,87,71.0,46.375,371,-2.977272727272727,0.9772727272727273,0.2793126684636118
simulation,38,,0.0001,16,43,29,42,53,25,56,46,16,56,40.0,38.75,310,-1.5909090909090908,0.2727272727272727,0.1903225806451614
simulation,39,,0.0001,16,25,67,71,41,27,51,57,16,71,55.0,44.375,355,-2.6136363636363638,0.6136363636363636,0.244718309859155
simulation,40,,0.0001,16,25,40,30,65,44,83,53,16,83,67.0,44.5,356,-2.6363636363636362,0.8863636363636364,0.2605337078651686
simulation,41,,0.0001,16,24,42,28,51,31,61,53,16,61,45.0,38.25,306,-1.5,0.38636363636363635,0.22058823529411775
simulation,42,,0.0001,16,28,46,37,75,34,59,54,16,75,59.0,43.625,349,-2.477272727272727,0.7045454545454546,0.2281518624641834
simulation,43,,0.0001,16,25,44,36,52,62,66,41,16,66,50.0,42.75,342,-2.3181818181818183,0.5,0.2141812865497077
simulation,44,,0.0001,16,22,43,29,58,39,51,68,16,68,52.0,40.75,326,-1.9545454545454546,0.5454545454545454,0.23542944785276076
simulation,45,,0.0001,16,57,25,38,49,30,36,68,16,68,52.0,39.875,319,-1.7954545454545454,0.5454545454545454,0.22844827586206895
simulation,46,,0.0001,16,26,48,32,40,55,69,69,16,69,53.0,44.375,355,-2.6136363636363638,0.5681818181818182,0.2334507042253522
simulation,47,,0.0001,16,26,42,58,47,27,36,55,16,58,42.0,38.375,307,-1.5227272727272727,0.3181818181818182,0.20561889250814325
simulation,48,,0.0001,16,33,24,103,38,46,81,57,16,103,87.0,49.75,398,-3.590909090909091,1.3409090909090908,0.3059045226130652
simulation,49,,0.0001,16,26,41,80,61,31,48,73,16,80,64.0,47.0,376,-3.090909090909091,0.8181818181818182,0.25930851063829796
simulation,50,,0.0001,16,25,33,71,57,39,42,51,16,71,55.0,41.75,334,-2.1363636363636362,0.6136363636363636,0.22529940119760483
experimental,,line,,16,20,24,28,32,36,40,44,16,44,28.0,30.0,240,0.0,0.0,0.17500000000000004
experimental,,1cut,,16,20,24,32,36,28,40,44,16,44,28.0,30.0,240,0.0,0.0,0.17500000000000004
