source,run,condition,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,first,last,gap,average,total,aggregate_welfare,gap_normalized,gini
simulation,1,,0.0001,45,63,49,85,96,94,58,47,45,96,51.0,67.125,537,-2.140625,0.359375,0.16410614525139655
simulation,2,,0.0001,42,57,62,95,89,103,58,47,42,103,61.0,69.125,553,-2.390625,0.515625,0.17337251356238692
simulation,3,,0.0001,44,56,61,83,77,93,56,47,44,93,49.0,64.625,517,-1.828125,0.328125,0.14289168278529973
simulation,4,,0.0001,41,55,60,72,87,96,53,45,41,96,55.0,63.625,509,-1.703125,0.421875,0.16134577603143407
simulation,5,,0.0001,41,74,49,92,94,83,75,39,39,94,55.0,68.375,547,-2.296875,0.421875,0.16978976234003662
simulation,6,,0.0001,36,61,50,66,89,99,62,47,36,99,63.0,63.75,510,-1.71875,0.546875,0.17156862745098045
simulation,7,,0.0001,59,66,49,57,95,93,65,48,48,95,47.0,66.5,532,-2.0625,0.296875,0.1367481203007519
simulation,8,,0.0001,45,54,69,115,81,102,66,39,39,115,76.0,71.375,571,-2.671875,0.75,0.19724168126094566
simulation,9,,0.0001,54,77,49,62,110,86,54,45,45,110,65.0,67.125,537,-2.140625,0.578125,0.16689944134078205
simulation,10,,0.0001,44,51,58,85,96,93,64,43,43,96,53.0,66.75,534,-2.09375,0.390625,0.16947565543071152
simulation,11,,0.0001,41,61,47,93,73,99,55,48,41,99,58.0,64.625,517,-1.828125,0.46875,0.1733558994197293
simulation,12,,0.0001,35,49,74,64,93,57,102,52,35,102,67.0,65.75,526,-1.96875,0.609375,0.18108365019011408
simulation,13,,0.0001,42,61,52,88,91,97,54,44,42,97,55.0,66.125,529,-2.015625,0.421875,0.1736767485822306
simulation,14,,0.0001,43,53,56,88,86,93,56,47,43,93,50.0,65.25,522,-1.90625,0.34375,0.15660919540229878
simulation,15,,0.0001,41,64,55,83,85,92,53,45,41,92,51.0,64.75,518,-1.84375,0.359375,0.1583011583011582
simulation,16,,0.0001,42,51,64,76,95,72,85,46,42,95,53.0,66.375,531,-2.046875,0.390625,0.15277777777777768
simulation,17,,0.0001,48,56,81,102,88,64,88,48,48,102,54.0,71.875,575,-2.734375,0.40625,0.15021739130434786
simulation,18,,0.0001,51,47,71,61,56,89,92,49,47,92,45.0,64.5,516,-1.8125,0.265625,0.14050387596899228
simulation,19,,0.0001,40,48,54,79,90,87,56,45,40,90,50.0,62.375,499,-1.546875,0.34375,0.16407815631262523
simulation,20,,0.0001,48,43,58,97,93,80,57,48,43,97,54.0,65.5,524,-1.9375,0.40625,0.16698473282442738
simulation,21,,0.0001,40,46,53,94,105,72,58,72,40,105,65.0,67.5,540,-2.1875,0.578125,0.17731481481481493
simulation,22,,0.0001,41,46,83,61,110,76,80,39,39,110,71.0,67.0,536,-2.125,0.671875,0.1921641791044777
simulation,23,,0.0001,50,66,60,58,98,105,68,46,46,105,59.0,68.875,551,-2.359375,0.484375,0.1563067150635209
simulation,24,,0.0001,43,51,60,86,98,82,60,47,43,98,55.0,65.875,527,-1.984375,0.421875,0.15962998102466797
simulation,25,,0.0001,43,50,69,80,100,95,58,49,43,100,57.0,68.0,544,-2.25,0.453125,0.16773897058823528
simulation,26,,0.0001,39,58,75,101,66,86,57,46,39,101,62.0,66.0,528,-2.0,0.53125,0.1647727272727273
simulation,27,,0.0001,56,45,70,61,98,70,53,44,44,98,54.0,62.125,497,-1.515625,0.40625,0.14059356136820922
simulation,28,,0.0001,41,81,70,56,101,72,60,44,41,101,60.0,65.625,525,-1.953125,0.5,0.15785714285714292
simulation,29,,0.0001,55,45,64,80,88,88,57,48,45,88,43.0,65.625,525,-1.953125,0.234375,0.13880952380952372
simulation,30,,0.0001,44,54,83,67,98,89,57,46,44,98,54.0,67.25,538,-2.15625,0.40625,0.16031598513011147
simulation,31,,0.0001,38,44,69,71,85,95,54,44,38,95,57.0,62.5,500,-1.5625,0.453125,0.17500000000000004
simulation,32,,0.0001,39,57,90,64,79,79,57,45,39,90,51.0,63.75,510,-1.71875,0.359375,0.1470588235294117
simulation,33,,0.0001,63,50,72,95,87,83,60,43,43,95,52.0,69.125,553,-2.390625,0.375,0.1417269439421338
simulation,34,,0.0001,54,77,42,59,86,83,53,45,42,86,44.0,62.375,499,-1.546875,0.25,0.14403807615230457
simulation,35,,0.0001,53,42,79,81,88,87,52,43,42,88,46.0,65.625,525,-1.953125,0.28125,0.15595238095238084
simulation,36,,0.0001,39,60,46,73,83,71,81,46,39,83,44.0,62.375,499,-1.546875,0.25,0.14403807615230457
simulation,37,,0.0001,40,82,57,70,81,108,58,49,40,108,68.0,68.125,545,-2.265625,0.625,0.16628440366972486
simulation,38,,0.0001,35,43,64,83,70,92,54,45,35,92,57.0,60.75,486,-1.34375,0.453125,0.17592592592592582
simulation,39,,0.0001,37,46,55,81,89,87,56,46,37,89,52.0,62.125,497,-1.515625,0.375,0.1697686116700201
simulation,40,,0.0001,61,65,72,81,98,69,51,59,51,98,47.0,69.5,556,-2.4375,0.296875,0.10701438848920852
simulation,41,,0.0001,38,47,61,87,90,64,71,55,38,90,52.0,64.125,513,-1.765625,0.375,0.14985380116959068
simulation,42,,0.0001,42,49,75,83,97,91,56,47,42,97,55.0,67.5,540,-2.1875,0.421875,0.16805555555555562
simulation,43,,0.0001,41,54,65,92,119,84,78,45,41,119,78.0,72.25,578,-2.78125,0.78125,0.19117647058823528
simulation,44,,0.0001,48,62,67,77,93,102,61,48,48,102,54.0,69.75,558,-2.46875,0.40625,0.1469534050179211
simulation,45,,0.0001,41,89,53,65,80,88,56,58,41,89,48.0,66.25,530,-2.03125,0.3125,0.13915094339622636
simulation,46,,0.0001,53,58,99,65,71,50,89,43,43,99,56.0,66.0,528,-2.0,0.4375,0.15340909090909083
simulation,47,,0.0001,36,43,66,72,88,80,51,44,36,88,52.0,60.0,480,-1.25,0.375,0.16874999999999996
simulation,48,,0.0001,59,83,50,65,72,75,65,45,45,83,38.0,64.25,514,-1.78125,0.15625,0.10457198443579774
simulation,49,,0.0001,40,68,71,81,105,69,79,41,40,105,65.0,69.25,554,-2.40625,0.578125,0.15568592057761732
simulation,50,,0.0001,39,54,44,96,80,89,61,46,39,96,57.0,63.625,509,-1.703125,0.453125,0.1800098231827112
experimental,,line,,36,40,44,48,52,56,60,64,36,64,28.0,50.0,400,0.0,0.0,0.10499999999999998
experimental,,1cut,,36,40,44,48,52,56,60,39,36,60,24.0,46.875,375,0.390625,-0.0625,0.09766666666666657
