source,run,condition,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,first,last,gap,average,total,aggregate_welfare,gap_normalized,gini
simulation,1,,0.0001,28,22,32,57,49,45,80,12,12,80,68.0,40.625,325,-1.711111111111111,0.8888888888888888,0.2796153846153846
simulation,2,,0.0001,31,40,57,36,60,50,29,12,12,60,48.0,39.375,315,-1.488888888888889,0.4444444444444444,0.213095238095238
simulation,3,,0.0001,54,22,43,67,61,38,48,12,12,67,55.0,43.125,345,-2.1555555555555554,0.6,0.22934782608695659
simulation,4,,0.0001,20,41,63,70,52,50,33,12,12,70,58.0,42.625,341,-2.066666666666667,0.6666666666666666,0.25183284457478017
simulation,5,,0.0001,32,41,39,50,57,32,24,12,12,57,45.0,35.875,287,-0.8666666666666667,0.37777777777777777,0.20862369337979092
simulation,6,,0.0001,32,43,51,69,55,25,37,12,12,69,57.0,40.5,324,-1.6888888888888889,0.6444444444444445,0.23611111111111116
simulation,7,,0.0001,17,23,39,51,59,31,41,12,12,59,47.0,34.125,273,-0.5555555555555556,0.4222222222222222,0.25686813186813184
simulation,8,,0.0001,32,34,55,66,41,23,45,12,12,66,54.0,38.5,308,-1.3333333333333333,0.5777777777777777,0.23701298701298712
simulation,9,,0.0001,31,32,67,49,56,23,52,12,12,67,55.0,40.25,322,-1.6444444444444444,0.6,0.24456521739130443
simulation,10,,0.0001,29,37,37,68,46,29,18,50,18,68,50.0,39.25,314,-1.4666666666666666,0.4888888888888889,0.20143312101910826
simulation,11,,0.0001,34,51,40,25,64,42,35,12,12,64,52.0,37.875,303,-1.2222222222222223,0.5333333333333333,0.2157590759075907
simulation,12,,0.0001,27,34,42,32,59,65,37,12,12,65,53.0,38.5,308,-1.3333333333333333,0.5555555555555556,0.22889610389610393
simulation,13,,0.0001,33,44,83,45,52,65,23,12,12,83,71.0,44.625,357,-2.422222222222222,0.9555555555555556,0.2678571428571428
simulation,14,,0.0001,40,46,46,38,26,70,96,12,12,96,84.0,46.75,374,-2.8,1.2444444444444445,0.28008021390374327
simulation,15,,0.0001,31,44,59,68,26,45,36,12,12,68,56.0,40.125,321,-1.6222222222222222,0.6222222222222222,0.23637071651090347
simulation,16,,0.0001,32,38,45,41,56,22,32,12,12,56,44.0,34.75,278,-0.6666666666666666,0.35555555555555557,0.20503597122302164
simulation,17,,0.0001,19,43,37,43,53,72,31,12,12,72,60.0,38.75,310,-1.3777777777777778,0.7111111111111111,0.2548387096774194
simulation,18,,0.0001,20,32,47,48,38,27,59,12,12,59,47.0,35.375,283,-0.7777777777777778,0.4222222222222222,0.23630742049469955
simulation,19,,0.0001,28,29,46,67,79,40,22,12,12,79,67.0,40.375,323,-1.6666666666666667,0.8666666666666667,0.2937306501547987
simulation,20,,0.0001,29,32,55,57,38,50,21,13,13,57,44.0,36.875,295,-1.0444444444444445,0.35555555555555557,0.23177966101694913
simulation,21,,0.0001,20,35,41,56,45,30,75,12,12,75,63.0,39.25,314,-1.4666666666666666,0.7777777777777778,0.2675159235668789
simulation,22,,0.0001,57,65,42,39,59,39,23,12,12,65,53.0,42.0,336,-1.9555555555555555,0.5555555555555556,0.22619047619047628
simulation,23,,0.0001,20,65,35,44,29,62,54,12,12,65,53.0,40.125,321,-1.6222222222222222,0.5555555555555556,0.2589563862928348
simulation,24,,0.0001,49,28,31,49,59,22,40,12,12,59,47.0,36.25,290,-0.9333333333333333,0.4222222222222222,0.2310344827586206
simulation,25,,0.0001,28,46,55,55,39,67,23,12,12,67,55.0,40.625,325,-1.711111111111111,0.6,0.2434615384615384
simulation,26,,0.0001,45,23,26,37,67,79,73,12,12,79,67.0,45.25,362,-2.533333333333333,0.8666666666666667,0.29350828729281764
simulation,27,,0.0001,31,50,54,65,73,37,22,12,12,73,61.0,43.0,344,-2.1333333333333333,0.7333333333333333,0.2630813953488371
simulation,28,,0.0001,29,32,45,34,62,75,23,12,12,75,63.0,39.0,312,-1.4222222222222223,0.7777777777777778,0.2748397435897436
simulation,29,,0.0001,31,36,55,40,33,43,24,12,12,55,43.0,34.25,274,-0.5777777777777777,0.3333333333333333,0.19434306569343063
simulation,30,,0.0001,21,40,36,105,29,50,63,12,12,105,93.0,44.5,356,-2.4,1.4444444444444444,0.3258426966292134
simulation,31,,0.0001,18,34,51,75,60,44,67,12,12,75,63.0,45.125,361,-2.511111111111111,0.7777777777777778,0.26696675900277
simulation,32,,0.0001,43,23,62,45,63,58,34,12,12,63,51.0,42.5,340,-2.0444444444444443,0.5111111111111111,0.23014705882352948
simulation,33,,0.0001,17,55,32,48,29,40,89,12,12,89,77.0,40.25,322,-1.6444444444444444,1.0888888888888888,0.30822981366459623
simulation,34,,0.0001,31,38,31,75,68,57,23,15,15,75,60.0,42.25,338,-2.0,0.7111111111111111,0.2699704142011834
simulation,35,,0.0001,35,37,44,48,55,66,23,12,12,66,54.0,40.0,320,-1.6,0.5777777777777777,0.2281249999999999
simulation,36,,0.0001,35,37,41,63,23,33,54,12,12,63,51.0,37.25,298,-1.1111111111111112,0.5111111111111111,0.22567114093959728
simulation,37,,0.0001,18,39,33,40,55,50,29,12,12,55,43.0,34.5,276,-0.6222222222222222,0.3333333333333333,0.22644927536231885
simulation,38,,0.0001,31,29,45,41,53,71,23,12,12,71,59.0,38.125,305,-1.2666666666666666,0.6888888888888889,0.2545081967213114
simulation,39,,0.0001,28,40,36,61,57,49,23,12,12,61,49.0,38.25,306,-1.288888888888889,0.4666666666666667,0.23692810457516345
simulation,40,,0.0001,26,42,49,63,58,33,22,12,12,63,51.0,38.125,305,-1.2666666666666666,0.5111111111111111,0.2520491803278688
simulation,41,,0.0001,31,35,28,57,46,48,23,12,12,57,45.0,35.0,280,-0.7111111111111111,0.37777777777777777,0.22232142857142856
simulation,42,,0.0001,33,35,38,44,56,27,64,12,12,64,52.0,38.625,309,-1.3555555555555556,0.5333333333333333,0.22046925566343045
simulation,43,,0.0001,39,29,35,24,59,44,34,12,12,59,47.0,34.5,276,-0.6222222222222222,0.4222222222222222,0.20833333333333326
simulation,44,,0.0001,29,32,42,58,49,23,33,12,12,58,46.0,34.75,278,-0.6666666666666666,0.4,0.22122302158273377
simulation,45,,0.0001,28,39,36,47,71,22,59,12,12,71,59.0,39.25,314,-1.4666666666666666,0.6888888888888889,0.26194267515923575
simulation,46,,0.0001,36,45,63,42,36,68,22,12,12,68,56.0,40.5,324,-1.6888888888888889,0.6222222222222222,0.24305555555555558
simulation,47,,0.0001,19,38,59,36,30,86,50,12,12,86,74.0,41.25,330,-1.8222222222222222,1.0222222222222221,0.2954545454545454
simulation,48,,0.0001,33,40,36,51,63,25,33,12,12,63,51.0,36.625,293,-1.0,0.5111111111111111,0.21800341296928338
simulation,49,,0.0001,33,31,70,49,24,74,44,12,12,74,62.0,42.125,337,-1.9777777777777779,0.7555555555555555,0.2704005934718101
simulation,50,,0.0001,26,41,31,36,62,46,21,12,12,62,50.0,34.375,275,-0.6,0.4888888888888889,0.23863636363636354
experimental,,line,,17,21,25,29,33,37,41,45,17,45,28.0,31.0,248,0.0,0.0,0.1693548387096775
