source,run,condition,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,first,last,gap,average,total,aggregate_welfare,gap_normalized,gini
simulation,1,,0.0001,23,36,44,47,54,40,34,21,21,54,33.0,37.375,299,-1.3409090909090908,0.11363636363636363,0.160953177257525
simulation,2,,0.0001,23,42,56,49,30,30,43,24,23,56,33.0,37.125,297,-1.2954545454545454,0.11363636363636363,0.17129629629629628
simulation,3,,0.0001,34,28,61,48,35,53,40,22,22,61,39.0,40.125,321,-1.8409090909090908,0.25,0.17328660436137078
simulation,4,,0.0001,18,28,28,60,52,44,41,22,18,60,42.0,36.625,293,-1.2045454545454546,0.3181818181818182,0.21544368600682584
simulation,5,,0.0001,23,51,32,52,46,40,28,28,23,52,29.0,37.5,300,-1.3636363636363635,0.022727272727272728,0.15833333333333344
simulation,6,,0.0001,28,30,39,58,46,32,50,39,28,58,30.0,40.25,322,-1.8636363636363635,0.045454545454545456,0.1366459627329193
simulation,7,,0.0001,23,34,51,52,46,41,27,21,21,52,31.0,36.875,295,-1.25,0.06818181818181818,0.17838983050847457
simulation,8,,0.0001,37,28,29,55,25,48,44,21,21,55,34.0,35.875,287,-1.0681818181818181,0.13636363636363635,0.1781358885017421
simulation,9,,0.0001,34,28,48,39,45,27,22,37,22,48,26.0,35.0,280,-0.9090909090909091,-0.045454545454545456,0.13749999999999996
simulation,10,,0.0001,31,28,37,49,44,30,39,25,25,49,24.0,35.375,283,-0.9772727272727273,-0.09090909090909091,0.12411660777385158
simulation,11,,0.0001,35,28,46,41,32,44,25,28,25,46,21.0,34.875,279,-0.8863636363636364,-0.1590909090909091,0.12051971326164868
simulation,12,,0.0001,31,28,54,46,39,35,43,21,21,54,33.0,37.125,297,-1.2954545454545454,0.11363636363636363,0.15193602693602704
simulation,13,,0.0001,18,28,30,42,59,40,53,24,18,59,41.0,36.75,294,-1.2272727272727273,0.29545454545454547,0.20578231292517013
simulation,14,,0.0001,18,30,30,54,35,56,47,35,18,56,38.0,38.125,305,-1.4772727272727273,0.22727272727272727,0.1790983606557377
simulation,15,,0.0001,30,28,47,34,46,55,45,19,19,55,36.0,38.0,304,-1.4545454545454546,0.18181818181818182,0.1669407894736843
simulation,16,,0.0001,28,54,28,56,49,32,37,34,28,56,28.0,39.75,318,-1.7727272727272727,0.0,0.14937106918238996
simulation,17,,0.0001,33,28,41,58,29,50,46,21,21,58,37.0,38.25,306,-1.5,0.20454545454545456,0.1748366013071896
simulation,18,,0.0001,27,47,38,52,42,28,33,23,23,52,29.0,36.25,290,-1.1363636363636365,0.022727272727272728,0.15086206896551735
simulation,19,,0.0001,33,28,55,47,42,38,43,25,25,55,30.0,38.875,311,-1.6136363636363635,0.045454545454545456,0.1362540192926045
simulation,20,,0.0001,23,52,52,32,32,37,41,21,21,52,31.0,36.25,290,-1.1363636363636365,0.06818181818181818,0.16982758620689653
simulation,21,,0.0001,23,36,44,33,61,50,32,21,21,61,40.0,37.5,300,-1.3636363636363635,0.2727272727272727,0.1891666666666667
simulation,22,,0.0001,30,28,43,51,46,33,27,37,27,51,24.0,36.875,295,-1.25,-0.09090909090909091,0.12754237288135584
simulation,23,,0.0001,32,28,45,41,34,54,24,32,24,54,30.0,36.25,290,-1.1363636363636365,0.045454545454545456,0.1396551724137931
simulation,24,,0.0001,36,28,41,48,53,59,30,25,25,59,34.0,40.0,320,-1.8181818181818181,0.13636363636363635,0.16484374999999996
simulation,25,,0.0001,25,36,43,61,53,47,37,31,25,61,36.0,41.625,333,-2.1136363636363638,0.18181818181818182,0.15052552552552556
simulation,26,,0.0001,18,28,47,49,43,41,30,32,18,49,31.0,36.0,288,-1.0909090909090908,0.06818181818181818,0.15625
simulation,27,,0.0001,33,28,49,44,56,25,49,31,25,56,31.0,39.375,315,-1.7045454545454546,0.06818181818181818,0.15357142857142847
simulation,28,,0.0001,31,28,39,45,29,51,25,33,25,51,26.0,35.125,281,-0.9318181818181818,-0.045454545454545456,0.1330071174377223
simulation,29,,0.0001,33,28,41,37,40,35,50,32,28,50,22.0,37.0,296,-1.2727272727272727,-0.13636363636363635,0.09375
simulation,30,,0.0001,31,28,58,42,37,37,43,20,20,58,38.0,37.0,296,-1.2727272727272727,0.22727272727272727,0.15793918918918926
simulation,31,,0.0001,23,42,46,55,48,29,39,24,23,55,32.0,38.25,306,-1.5,0.09090909090909091,0.16258169934640532
simulation,32,,0.0001,17,36,26,41,52,46,29,25,17,52,35.0,34.0,272,-0.7272727272727273,0.1590909090909091,0.1847426470588236
simulation,33,,0.0001,24,28,49,61,43,45,48,28,24,61,37.0,40.75,326,-1.9545454545454546,0.20454545454545456,0.16334355828220848
simulation,34,,0.0001,23,34,32,51,58,47,27,21,21,58,37.0,36.625,293,-1.2045454545454546,0.20454545454545456,0.19667235494880542
simulation,35,,0.0001,35,28,33,43,50,32,24,31,24,50,26.0,34.5,276,-0.8181818181818182,-0.045454545454545456,0.1222826086956521
simulation,36,,0.0001,25,52,36,49,27,39,33,21,21,52,31.0,35.25,282,-0.9545454545454546,0.06818181818181818,0.16666666666666674
simulation,37,,0.0001,24,54,30,51,31,34,39,22,22,54,32.0,35.625,285,-1.0227272727272727,0.09090909090909091,0.17061403508771922
simulation,38,,0.0001,18,30,28,32,40,51,41,33,18,51,33.0,34.125,273,-0.75,0.11363636363636363,0.14972527472527464
simulation,39,,0.0001,20,28,47,46,39,39,50,40,20,50,30.0,38.625,309,-1.5681818181818181,0.045454545454545456,0.13228155339805836
simulation,40,,0.0001,30,28,36,46,41,43,23,19,19,46,27.0,33.25,266,-0.5909090909090909,-0.022727272727272728,0.15695488721804507
simulation,41,,0.0001,20,28,32,41,50,39,52,25,20,52,32.0,35.875,287,-1.0681818181818181,0.09090909090909091,0.17203832752613235
simulation,42,,0.0001,22,31,60,45,52,41,44,44,22,60,38.0,42.375,339,-2.25,0.22727272727272727,0.14122418879056053
simulation,43,,0.0001,36,28,52,44,26,29,42,42,26,52,26.0,37.375,299,-1.3409090909090908,-0.045454545454545456,0.12834448160535117
simulation,44,,0.0001,32,28,45,50,30,51,24,31,24,51,27.0,36.375,291,-1.1590909090909092,-0.022727272727272728,0.1481958762886597
simulation,45,,0.0001,18,31,62,36,46,40,49,29,18,62,44.0,38.875,311,-1.6136363636363635,0.36363636363636365,0.1836816720257235
simulation,46,,0.0001,35,28,48,37,47,39,44,21,21,48,27.0,37.375,299,-1.3409090909090908,-0.022727272727272728,0.1308528428093645
simulation,47,,0.0001,31,28,45,40,35,55,42,21,21,55,34.0,37.125,297,-1.2954545454545454,0.13636363636363635,0.15193602693602704
simulation,48,,0.0001,18,29,42,36,46,41,50,22,18,50,32.0,35.5,284,-1.0,0.09090909090909091,0.170774647887324
