source,run,condition,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,first,last,gap,average,total,aggregate_welfare,gap_normalized,gini
simulation,1,,0.0001,45,41,59,52,78,91,69,95,41,95,54.0,66.25,530,-2.3548387096774195,0.41935483870967744,0.1641509433962265
simulation,2,,0.0001,45,37,61,61,93,83,103,97,37,103,66.0,72.5,580,-3.161290322580645,0.6129032258064516,0.18103448275862077
simulation,3,,0.0001,37,46,38,58,64,75,96,75,37,96,59.0,61.125,489,-1.6935483870967742,0.5,0.17663599182004086
simulation,4,,0.0001,50,62,45,71,78,90,86,107,45,107,62.0,73.625,589,-3.306451612903226,0.5483870967741935,0.1513157894736843
simulation,5,,0.0001,38,34,74,94,84,59,89,64,34,94,60.0,67.0,536,-2.4516129032258065,0.5161290322580645,0.1772388059701493
simulation,6,,0.0001,38,45,72,50,83,62,75,94,38,94,56.0,64.875,519,-2.1774193548387095,0.45161290322580644,0.16064547206165702
simulation,7,,0.0001,38,36,59,105,115,57,114,97,36,115,79.0,77.625,621,-3.8225806451612905,0.8225806451612904,0.22443639291465378
simulation,8,,0.0001,37,42,55,65,80,98,90,71,37,98,61.0,67.25,538,-2.4838709677419355,0.532258064516129,0.17379182156133832
simulation,9,,0.0001,37,41,56,66,80,86,73,100,37,100,63.0,67.375,539,-2.5,0.5645161290322581,0.17277365491651198
simulation,10,,0.0001,36,47,38,69,66,90,94,102,36,102,66.0,67.75,542,-2.5483870967741935,0.6129032258064516,0.20156826568265673
simulation,11,,0.0001,34,38,67,92,104,60,77,84,34,104,70.0,69.5,556,-2.774193548387097,0.6774193548387096,0.18929856115107913
simulation,12,,0.0001,36,48,43,64,55,75,76,104,36,104,68.0,62.625,501,-1.8870967741935485,0.6451612903225806,0.18238522954091807
simulation,13,,0.0001,38,33,51,62,94,94,84,59,33,94,61.0,64.375,515,-2.1129032258064515,0.532258064516129,0.19635922330097078
simulation,14,,0.0001,36,39,89,60,106,56,94,87,36,106,70.0,70.875,567,-2.9516129032258065,0.6774193548387096,0.1964285714285714
simulation,15,,0.0001,35,39,53,62,75,73,102,89,35,102,67.0,66.0,528,-2.3225806451612905,0.6290322580645161,0.18844696969696972
simulation,16,,0.0001,42,36,67,61,82,108,84,117,36,117,81.0,74.625,597,-3.435483870967742,0.8548387096774194,0.20540201005025116
simulation,17,,0.0001,42,34,69,106,59,97,72,88,34,106,72.0,70.875,567,-2.9516129032258065,0.7096774193548387,0.19157848324514992
simulation,18,,0.0001,37,43,56,73,75,93,81,95,37,95,58.0,69.125,553,-2.725806451612903,0.4838709677419355,0.16568716094032543
simulation,19,,0.0001,44,63,52,65,95,108,111,117,44,117,73.0,81.875,655,-4.370967741935484,0.7258064516129032,0.18530534351145045
simulation,20,,0.0001,39,34,62,68,85,95,108,94,34,108,74.0,73.125,585,-3.2419354838709675,0.7419354838709677,0.19465811965811963
simulation,21,,0.0001,40,77,45,86,60,97,92,88,40,97,57.0,73.125,585,-3.2419354838709675,0.46774193548387094,0.15534188034188023
