source,run,condition,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,first,last,gap,average,total,aggregate_welfare,gap_normalized,gini
simulation,1,,0.0001,31,98,45,83,61,85,57,34,31,98,67.0,61.75,494,-2.235294117647059,1.1764705882352942,0.21305668016194335
simulation,2,,0.0001,26,59,73,49,89,90,58,46,26,90,64.0,61.25,490,-2.156862745098039,1.1176470588235294,0.18775510204081636
simulation,3,,0.0001,26,81,61,44,107,57,85,34,26,107,81.0,61.875,495,-2.2549019607843137,1.4509803921568627,0.23661616161616172
simulation,4,,0.0001,28,45,56,75,89,76,53,34,28,89,61.0,57.0,456,-1.4901960784313726,1.0588235294117647,0.20010964912280693
simulation,5,,0.0001,55,68,40,85,53,101,74,34,34,101,67.0,63.75,510,-2.549019607843137,1.1764705882352942,0.18872549019607843
simulation,6,,0.0001,28,44,59,61,74,94,84,34,28,94,66.0,59.75,478,-1.9215686274509804,1.1568627450980393,0.21025104602510458
simulation,7,,0.0001,29,60,43,74,95,79,55,34,29,95,66.0,58.625,469,-1.7450980392156863,1.1568627450980393,0.20922174840085295
simulation,8,,0.0001,35,80,43,62,84,103,60,35,35,103,68.0,62.75,502,-2.392156862745098,1.196078431372549,0.20766932270916327
simulation,9,,0.0001,28,42,64,76,87,103,57,34,28,103,75.0,61.375,491,-2.176470588235294,1.3333333333333333,0.22886965376782076
simulation,10,,0.0001,30,42,64,62,86,95,76,34,30,95,65.0,61.125,489,-2.1372549019607843,1.1372549019607843,0.20935582822085896
simulation,11,,0.0001,28,41,61,71,57,88,95,34,28,95,67.0,59.375,475,-1.8627450980392157,1.1764705882352942,0.21921052631578952
simulation,12,,0.0001,26,44,56,72,92,91,49,58,26,92,66.0,61.0,488,-2.1176470588235294,1.1568627450980393,0.19672131147540983
simulation,13,,0.0001,32,45,61,61,90,76,98,34,32,98,66.0,62.125,497,-2.2941176470588234,1.1568627450980393,0.21001006036217307
simulation,14,,0.0001,28,96,40,57,72,85,57,34,28,96,68.0,58.625,469,-1.7450980392156863,1.196078431372549,0.2204157782515992
simulation,15,,0.0001,28,46,60,91,79,84,60,39,28,91,63.0,60.875,487,-2.0980392156862746,1.0980392156862746,0.19635523613963035
simulation,16,,0.0001,26,99,51,83,90,67,60,34,26,99,73.0,63.75,510,-2.549019607843137,1.2941176470588236,0.21911764705882364
simulation,17,,0.0001,27,38,92,61,76,81,55,34,27,92,65.0,58.0,464,-1.6470588235294117,1.1372549019607843,0.21821120689655182
simulation,18,,0.0001,26,43,63,87,85,61,94,34,26,94,68.0,61.625,493,-2.215686274509804,1.196078431372549,0.2203346855983772
simulation,19,,0.0001,26,60,39,71,85,96,65,43,26,96,70.0,60.625,485,-2.0588235294117645,1.2352941176470589,0.20850515463917518
simulation,20,,0.0001,28,42,60,74,81,96,55,34,28,96,68.0,58.75,470,-1.7647058823529411,1.196078431372549,0.2159574468085106
simulation,21,,0.0001,30,45,104,61,78,83,61,37,30,104,74.0,62.375,499,-2.3333333333333335,1.3137254901960784,0.21217434869739482
simulation,22,,0.0001,38,44,58,80,93,79,57,38,38,93,55.0,60.875,487,-2.0980392156862746,0.9411764705882353,0.17992813141683772
simulation,23,,0.0001,33,43,108,61,79,86,56,34,33,108,75.0,62.5,500,-2.3529411764705883,1.3333333333333333,0.22449999999999992
simulation,24,,0.0001,30,40,55,72,96,81,58,34,30,96,66.0,58.25,466,-1.6862745098039216,1.1568627450980393,0.21351931330472107
simulation,25,,0.0001,26,43,58,70,75,92,47,53,26,92,66.0,58.0,464,-1.6470588235294117,1.1568627450980393,0.1875
simulation,26,,0.0001,28,44,62,102,75,79,56,34,28,102,74.0,60.0,480,-1.9607843137254901,1.3137254901960784,0.2192708333333333
simulation,27,,0.0001,30,76,47,64,102,82,61,34,30,102,72.0,62.0,496,-2.2745098039215685,1.2745098039215685,0.21018145161290325
simulation,28,,0.0001,26,46,63,80,102,58,85,34,26,102,76.0,61.75,494,-2.235294117647059,1.3529411764705883,0.22621457489878538
simulation,29,,0.0001,28,45,61,80,83,105,58,34,28,105,77.0,61.75,494,-2.235294117647059,1.3725490196078431,0.2257085020242915
simulation,30,,0.0001,26,38,57,82,78,58,98,34,26,98,72.0,58.875,471,-1.7843137254901962,1.2745098039215685,0.2295647558386411
simulation,31,,0.0001,28,60,44,104,80,83,58,34,28,104,76.0,61.375,491,-2.176470588235294,1.3529411764705883,0.22581466395112026
simulation,32,,0.0001,28,43,60,95,100,74,55,34,28,100,72.0,61.125,489,-2.1372549019607843,1.2745098039215685,0.23185071574642135
simulation,33,,0.0001,26,62,46,115,79,96,58,34,26,115,89.0,64.5,516,-2.6666666666666665,1.607843137254902,0.250968992248062
simulation,34,,0.0001,28,44,62,82,97,79,60,34,28,97,69.0,60.75,486,-2.0784313725490198,1.2156862745098038,0.21347736625514413
simulation,35,,0.0001,26,41,83,56,72,94,63,68,26,94,68.0,62.875,503,-2.411764705882353,1.196078431372549,0.18364811133200787
simulation,36,,0.0001,33,40,56,71,81,74,54,34,33,81,48.0,55.375,443,-1.2352941176470589,0.803921568627451,0.1780474040632054
simulation,37,,0.0001,28,43,77,55,95,92,65,42,28,95,67.0,62.125,497,-2.2941176470588234,1.1764705882352942,0.20900402414486918
simulation,38,,0.0001,28,45,60,78,72,99,57,34,28,99,71.0,59.125,473,-1.8235294117647058,1.2549019607843137,0.21168076109936584
simulation,39,,0.0001,30,42,71,58,87,95,96,39,30,96,66.0,64.75,518,-2.7058823529411766,1.1568627450980393,0.21476833976833976
