source,run,condition,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,first,last,gap,average,total,aggregate_welfare,gap_normalized,gini
simulation,1,,0.0001,34,16,32,44,24,36,33,26,16,44,28.0,30.625,245,0.8793103448275862,-0.2413793103448276,0.1433673469387755
simulation,2,,0.0001,42,15,25,32,49,40,29,25,15,49,34.0,32.125,257,0.6724137931034483,-0.13793103448275862,0.18044747081712065
simulation,3,,0.0001,27,15,57,43,35,48,31,26,15,57,42.0,35.25,282,0.2413793103448276,0.0,0.2021276595744681
simulation,4,,0.0001,38,15,36,27,46,43,34,31,15,46,31.0,33.75,270,0.4482758620689655,-0.1896551724137931,0.14814814814814814
simulation,5,,0.0001,38,15,35,26,47,39,31,22,15,47,32.0,31.625,253,0.7413793103448276,-0.1724137931034483,0.17243083003952564
simulation,6,,0.0001,34,15,33,23,47,42,31,24,15,47,32.0,31.125,249,0.8103448275862069,-0.1724137931034483,0.1762048192771084
simulation,7,,0.0001,36,15,23,37,51,37,29,22,15,51,36.0,31.25,250,0.7931034482758621,-0.10344827586206896,0.18799999999999994
simulation,8,,0.0001,34,16,49,36,23,36,31,24,16,49,33.0,31.125,249,0.8103448275862069,-0.15517241379310345,0.1681726907630523
simulation,9,,0.0001,34,16,33,26,47,36,29,26,16,47,31.0,30.875,247,0.8448275862068966,-0.1896551724137931,0.1492914979757085
simulation,10,,0.0001,39,15,24,32,45,35,31,24,15,45,30.0,30.625,245,0.8793103448275862,-0.20689655172413793,0.16275510204081622
simulation,11,,0.0001,40,15,32,26,48,37,31,28,15,48,33.0,32.125,257,0.6724137931034483,-0.15517241379310345,0.16001945525291839
simulation,12,,0.0001,26,15,35,52,54,48,27,25,15,54,39.0,35.25,282,0.2413793103448276,-0.05172413793103448,0.21365248226950362
simulation,13,,0.0001,46,15,24,35,53,53,31,24,15,53,38.0,35.125,281,0.25862068965517243,-0.06896551724137931,0.21396797153024916
