source,run,condition,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,first,last,gap,average,total,aggregate_welfare,gap_normalized,gini
simulation,1,,0.0001,22,28,14,18,15,20,19,22,14,28,14.0,19.75,158,2.6,-0.28,0.115506329113924
simulation,2,,0.0001,22,23,14,16,23,26,23,26,14,26,12.0,21.625,173,2.3,-0.32,0.09898843930635848
simulation,3,,0.0001,22,24,14,18,15,20,23,28,14,28,14.0,20.5,164,2.48,-0.28,0.12195121951219523
simulation,4,,0.0001,22,25,14,27,15,23,19,21,14,27,13.0,20.75,166,2.44,-0.3,0.11596385542168686
simulation,5,,0.0001,22,26,14,24,29,21,19,22,14,29,15.0,22.125,177,2.22,-0.26,0.10522598870056488
simulation,6,,0.0001,22,24,14,16,15,26,23,20,14,26,12.0,20.0,160,2.56,-0.32,0.11874999999999991
simulation,7,,0.0001,22,25,14,17,15,18,28,21,14,28,14.0,20.0,160,2.56,-0.28,0.12968749999999996
simulation,8,,0.0001,22,35,14,17,15,24,23,24,14,35,21.0,21.75,174,2.28,-0.14,0.15373563218390807
simulation,9,,0.0001,22,23,14,16,19,18,25,27,14,27,13.0,20.5,164,2.48,-0.3,0.11737804878048785
simulation,10,,0.0001,22,26,14,20,15,18,23,25,14,26,12.0,20.375,163,2.5,-0.32,0.11579754601226999
simulation,11,,0.0001,22,31,14,16,24,17,26,20,14,31,17.0,21.25,170,2.36,-0.22,0.14117647058823524
simulation,12,,0.0001,22,25,14,16,15,28,21,24,14,28,14.0,20.625,165,2.46,-0.28,0.1310606060606061
simulation,13,,0.0001,22,32,14,16,24,22,19,25,14,32,18.0,21.75,174,2.28,-0.2,0.13362068965517238
simulation,14,,0.0001,22,27,14,17,22,29,32,30,14,32,18.0,24.125,193,1.9,-0.2,0.14054404145077726
simulation,15,,0.0001,22,28,14,18,20,18,23,21,14,28,14.0,20.5,164,2.48,-0.28,0.10365853658536595
simulation,16,,0.0001,22,24,14,26,15,31,20,20,14,31,17.0,21.5,172,2.32,-0.22,0.1366279069767442
simulation,17,,0.0001,22,23,14,18,27,17,22,30,14,30,16.0,21.625,173,2.3,-0.24,0.12789017341040454
simulation,18,,0.0001,22,27,14,17,15,21,36,32,14,36,22.0,23.0,184,2.08,-0.12,0.18342391304347827
simulation,19,,0.0001,22,25,14,16,31,20,20,21,14,31,17.0,21.125,169,2.38,-0.22,0.12647928994082847
simulation,20,,0.0001,22,27,14,16,15,20,23,23,14,27,13.0,20.0,160,2.56,-0.3,0.12031250000000004
simulation,21,,0.0001,22,24,14,17,15,19,22,30,14,30,16.0,20.375,163,2.5,-0.24,0.13420245398773
simulation,22,,0.0001,22,25,14,22,15,18,29,24,14,29,15.0,21.125,169,2.38,-0.26,0.1279585798816567
simulation,23,,0.0001,22,26,14,16,15,26,20,22,14,26,12.0,20.125,161,2.54,-0.32,0.12344720496894412
simulation,24,,0.0001,22,27,14,19,22,17,33,23,14,33,19.0,22.125,177,2.22,-0.18,0.13771186440677963
simulation,25,,0.0001,22,24,14,16,15,21,37,22,14,37,23.0,21.375,171,2.34,-0.1,0.16447368421052633
simulation,26,,0.0001,22,26,14,17,15,19,26,22,14,26,12.0,20.125,161,2.54,-0.32,0.12189440993788825
simulation,27,,0.0001,22,27,14,25,15,18,22,21,14,27,13.0,20.5,164,2.48,-0.3,0.11737804878048785
simulation,28,,0.0001,22,25,14,16,15,21,21,26,14,26,12.0,20.0,160,2.56,-0.32,0.11874999999999991
simulation,29,,0.0001,22,33,14,19,15,19,23,28,14,33,19.0,21.625,173,2.3,-0.18,0.15390173410404628
simulation,30,,0.0001,22,29,14,17,15,24,24,20,14,29,15.0,20.625,165,2.46,-0.26,0.1310606060606061
simulation,31,,0.0001,22,29,14,16,15,21,26,22,14,29,15.0,20.625,165,2.46,-0.26,0.1356060606060605
simulation,32,,0.0001,22,24,14,16,15,19,28,22,14,28,14.0,20.0,160,2.56,-0.28,0.12812500000000004
