country,stimulus,judgment_mean,judgment_stdev,sample_size
Brazil,new_maybe_6_1cut,2.7714285714285714,1.7671132039657935,35
Brazil,new_maybe_3_badder,1.6666666666666667,1.121223821162776,36
Brazil,yesline_D_bad,2.088235294117647,1.3566368187951103,34
Brazil,yesline_B_bad,2.1176470588235294,1.4091627835156708,34
Brazil,new_yes_8_1cut,2.4324324324324325,1.3852504895934592,37
Brazil,yesline_B_1cut,2.6486486486486487,1.5849328099361224,37
Brazil,new_yes_7_1cut,2.0294117647058822,1.487020492973807,34
Brazil,noline_D_1cut,3.0,1.6499158227686106,37
Brazil,new_yes_7esque_1cut,1.9230769230769231,1.4758515005995225,39
Brazil,new_maybe_3_bad,2.5185185185185186,1.3691763489937574,27
Brazil,new_maybe_5_1cut,3.324324324324324,1.5644319887574043,37
Brazil,new_yes_9_1cut,2.5,1.7624019422539814,34
Brazil,yesline_C_1cut,2.933333333333333,1.6595249285580942,30
Brazil,yesline_C_badder,1.9230769230769231,1.2645909549735082,39
Brazil,yesline_C_bad,2.789473684210526,1.5449638277378832,38
Brazil,maybe_5_1cut,3.090909090909091,1.6651508258194727,33
Brazil,new_maybe_1_1cut,2.945945945945946,1.7150631013001945,37
Brazil,maybe_6_1cut,2.972972972972973,1.6412476027990697,37
Brazil,new_yes_10_1cut,1.878787878787879,1.3406522609716827,33
Brazil,noline_A_1cut,2.9696969696969697,1.7044949487467043,33
Brazil,new_maybe_4_bad,2.515151515151515,1.4815788057257562,33
Brazil,new_maybe_4_1cut,2.257142857142857,1.5212776585113297,35
Brazil,yesline_D_badder,2.057142857142857,1.4130246478608168,35
Brazil,yesline_E_1cut,2.264705882352941,1.6013029454149683,34
Brazil,new_maybe_3_1cut,2.9722222222222223,1.5943849886597317,36
Brazil,maybe_4_1cut,3.7222222222222223,1.4660171722071844,36
Brazil,yesline_D_1cut,2.3823529411764706,1.3260720278977705,34
Brazil,new_yes_10_bad,1.7096774193548387,1.243477607011797,31
Brazil,new_no_3_1cut,2.8823529411764706,1.7191383656188362,34
Brazil,noline_B_1cut,3.526315789473684,1.5894388284780527,38
Brazil,new_maybe_2_1cut,3.1714285714285713,1.6536183905341058,35
Brazil,new_no_2_1cut,3.864864864864865,1.4368592709672596,37
Brazil,yesline_B_badder,2.0303030303030303,1.4466523529525088,33
Brazil,new_no_1_1cut,3.0588235294117645,1.6503659184811517,34
Brazil,yesline_F_1cut,3.282051282051282,1.716003894436722,39
Brazil,new_yes_9esque_1cut,2.864864864864865,1.601425791151299,37
Brazil,noline_C_1cut,3.03125,1.7317597799590656,32
Brazil,new_maybe_5_bad,2.4285714285714284,1.5201724802626508,35
Brazil,new_yes_10mod_1cut,1.9444444444444444,1.3080944580232392,36
Canada,noline_B_1cut,4.382352941176471,1.3260720278977707,34
Canada,new_maybe_3_badder,2.2142857142857144,1.4746535778287642,28
Canada,new_yes_9esque_1cut,3.793103448275862,1.3726749262669478,29
Canada,yesline_B_bad,2.8333333333333335,1.52127765851133,36
Canada,maybe_5_1cut,3.6875,1.6151999776318522,32
Canada,new_yes_10_1cut,2.272727272727273,1.586519919366112,33
Canada,yesline_D_bad,3.44,1.325393023471403,25
Canada,yesline_C_bad,3.466666666666667,1.4558640835892125,30
Canada,yesline_F_1cut,4.035714285714286,1.59819673514646,28
Canada,maybe_6_1cut,4.314285714285714,1.1316679145878277,35
Canada,yesline_D_badder,2.242424242424242,1.5417178533680989,33
Canada,new_maybe_4_1cut,3.206896551724138,1.544097293955912,29
Canada,new_maybe_4_bad,2.074074074074074,1.268734254951213,27
Canada,yesline_B_1cut,4.125,1.157026221578126,32
Canada,new_yes_8_1cut,2.7941176470588234,1.5526987603154725,34
Canada,yesline_D_1cut,3.1538461538461537,1.5150526774289452,26
Canada,yesline_B_badder,2.25,1.3505828645714688,28
Canada,yesline_C_1cut,3.4545454545454546,1.5225576567676569,33
Canada,maybe_4_1cut,4.15625,1.4392958627902608,32
Canada,new_yes_10_bad,1.8484848484848484,1.3946597282404616,33
Canada,new_yes_10mod_1cut,2.1875,1.490561704039248,32
Canada,new_yes_7_1cut,2.4074074074074074,1.4743775546952598,27
Canada,yesline_C_badder,2.6,1.3287276776598396,30
Canada,new_yes_9_1cut,3.5142857142857142,1.6155754496814578,35
Canada,new_maybe_3_bad,3.5714285714285716,1.5013221686128044,28
Canada,noline_D_1cut,3.8181818181818183,1.4885929903466195,33
Canada,noline_C_1cut,4.114285714285714,1.4094518870286914,35
Canada,new_yes_7esque_1cut,2.3125,1.674042817504591,32
Canada,new_maybe_5_1cut,3.7419354838709675,1.2640607035920353,31
Canada,new_maybe_3_1cut,3.2162162162162162,1.3770970904029958,37
Canada,yesline_E_1cut,2.0,1.3926212476455828,34
Canada,new_maybe_2_1cut,4.0,1.505545305418162,31
Canada,new_no_1_1cut,4.34375,1.2853862228666855,32
Canada,noline_A_1cut,4.04,1.5405626677721789,25
Canada,new_maybe_5_bad,2.0,1.4342743312012722,36
Canada,new_maybe_6_1cut,3.806451612903226,1.35201959647311,31
Canada,new_no_2_1cut,4.580645161290323,0.9228287507581278,31
Canada,new_no_3_1cut,3.878787878787879,1.4949409636666209,33
Canada,new_maybe_1_1cut,3.4375,1.522678031330581,32
Egypt,new_maybe_3_badder,1.5588235294117647,1.1062132095053536,34
Egypt,new_no_1_1cut,3.0,1.7656860023298393,35
Egypt,new_maybe_3_1cut,3.027027027027027,1.6242346314920573,37
Egypt,new_maybe_5_bad,1.6097560975609757,1.0458979104216577,41
Egypt,new_yes_9esque_1cut,2.6486486486486487,1.4379038798082324,37
Egypt,yesline_C_bad,2.4516129032258065,1.5882634054719291,31
Egypt,new_no_2_1cut,3.641025641025641,1.630098148274958,39
Egypt,yesline_D_badder,1.8571428571428572,1.1917080461366747,35
Egypt,new_maybe_3_bad,2.5,1.3064825110670784,30
Egypt,new_yes_10mod_1cut,1.4864864864864864,0.9609492304088825,37
Egypt,new_maybe_4_1cut,2.864864864864865,1.6526437097061275,37
Egypt,new_maybe_5_1cut,2.871794871794872,1.6251232694862383,39
Egypt,new_yes_10_1cut,1.2727272727272727,0.8393720596645177,33
Egypt,new_maybe_2_1cut,3.361111111111111,1.5884004133139331,36
Egypt,maybe_4_1cut,3.5277777777777777,1.5943849886597317,36
Egypt,new_yes_7esque_1cut,1.2121212121212122,0.5998737240857319,33
Egypt,yesline_B_1cut,3.1315789473684212,1.5625871241712856,38
Egypt,noline_D_1cut,2.65625,1.428045698193525,32
Egypt,noline_C_1cut,3.121212121212121,1.745665628019434,33
Egypt,new_yes_8_1cut,2.1944444444444446,1.5458598059599518,36
Egypt,yesline_D_bad,2.2,1.2148506364839742,30
Egypt,new_no_3_1cut,3.6470588235294117,1.5547064994606667,34
Egypt,new_maybe_6_1cut,2.9473684210526314,1.5236401721242956,38
Egypt,maybe_6_1cut,2.9047619047619047,1.6499744833137655,42
Egypt,yesline_D_1cut,2.4878048780487805,1.3439112920783163,41
Egypt,new_maybe_1_1cut,2.625,1.5962696899574718,40
