country,iso2,iso3,stimulus,judgment_mean,judgment_stdev,sample_size
Canada,CA,CAN,yesline_e,1.25,0.163663418,8
United States,US,USA,noline_c,3.882352941,0.362612588,17
Canada,CA,CAN,new_maybe_5,3.833333333,0.344509606,12
Israel,IL,ISR,yesline_d_bad,2.5,0.358870281,12
United States,US,USA,new_no_2,4.615384615,0.212990355,13
United Kingdom,GB,GBR,new_yes_8,2.333333333,0.376050717,12
Turkey,TR,TUR,new_yes_9esque,2.692307692,0.414243447,13
United States,US,USA,new_maybe_5_bad,1.888888889,0.266775577,18
Canada,CA,CAN,new_yes_10_bad,1.375,0.26305214,8
United Kingdom,GB,GBR,new_yes_7esque,1.666666667,0.440958552,9
United Kingdom,GB,GBR,new_maybe_3_bad,3.3,0.422952585,10
Canada,CA,CAN,new_maybe_6,4.166666667,0.440958552,12
Ukraine,UA,UKR,noline_c,4.444444444,0.258479999,18
India,IN,IND,noline_b,4,0.516397779,10
Spain,ES,ESP,new_maybe_4_bad,2,0.440958552,9
Canada,CA,CAN,noline_d,4.272727273,0.383545875,11
Spain,ES,ESP,noline_b,4.066666667,0.330463839,15
United States,US,USA,yesline_b_badder,2.5,0.388714421,14
United States,US,USA,new_maybe_6,3.083333333,0.434468211,12
Israel,IL,ISR,new_no_2,3.75,0.371830036,12
United States,US,USA,yesline_e,1.5,0.182574186,16
United Kingdom,GB,GBR,yesline_c_bad,3.818181818,0.422507274,11
Canada,CA,CAN,new_yes_10,2,0.486172435,11
Turkey,TR,TUR,new_maybe_4_bad,2.166666667,0.654047229,6
Israel,IL,ISR,new_maybe_5,2.777777778,0.400616808,9
Ukraine,UA,UKR,new_no_1,4,0.43852901,13
United States,US,USA,new_maybe_2,3.5,0.43519414,12
United States,US,USA,new_no_1,3.266666667,0.452155332,15
India,IN,IND,new_yes_8,3.875,0.548943791,8
Canada,CA,CAN,maybe_4,4,0.471404521,10
Ukraine,UA,UKR,new_maybe_4,3,0.40824829,13
Israel,IL,ISR,new_yes_10,1.625,0.375,8
Ukraine,UA,UKR,new_yes_9esque,3.875,0.295048422,8
India,IN,IND,new_yes_7esque,2.444444444,0.412011027,9
Canada,CA,CAN,new_maybe_4,3.4,0.498887652,10
India,IN,IND,yesline_e,1.777777778,0.464811126,9
Turkey,TR,TUR,maybe_5,3.444444444,0.580017028,9
India,IN,IND,new_maybe_3_bad,4.25,0.411877236,8
Turkey,TR,TUR,new_maybe_3_bad,2.25,0.350864733,12
Turkey,TR,TUR,noline_c,3.363636364,0.543937284,11
India,IN,IND,yesline_f,3.4,0.81240384,5
United States,US,USA,new_yes_10,2.3,0.356148993,20
Israel,IL,ISR,yesline_b_badder,2.333333333,0.449466575,12
Turkey,TR,TUR,new_maybe_5,2.375,0.532430411,8
Spain,ES,ESP,new_maybe_3_badder,1.909090909,0.368153759,11
Canada,CA,CAN,new_yes_9esque,4,0.5,9
United States,US,USA,new_maybe_4,3.222222222,0.521157307,9
Canada,CA,CAN,new_maybe_3_bad,3.3,0.472581563,10
Israel,IL,ISR,new_maybe_2,3.75,0.371830036,12
Spain,ES,ESP,new_yes_8,2.538461538,0.461538462,13
India,IN,IND,new_yes_10_bad,2.333333333,0.449466575,12
Ukraine,UA,UKR,yesline_d,3.25,0.41056133,12
Canada,CA,CAN,new_yes_7,2.777777778,0.464811126,9
Israel,IL,ISR,yesline_f,3.333333333,0.440958552,9
Spain,ES,ESP,new_no_3,3.6,0.289498746,15
Israel,IL,ISR,yesline_e,1.125,0.125,8
Canada,CA,CAN,yesline_f,4.5,0.5,8
United States,US,USA,maybe_5,3.25,0.403112887,16
Ukraine,UA,UKR,yesline_d_badder,1.714285714,0.359515925,7
