stimulus,joe_context,univ_judgment_mean,univ_judgment_sd,n_univ,moral_judgment_mean,moral_judgment_sd,n_moral
10esque,New Yes 10,-23.023255813953487,25.447881726882148,43,-21.794871794871796,22.755195459012604,39
7esque,New Yes 7,-19.6046511627907,26.85068016774721,43,-22.710526315789473,29.20191394573108,38
9esque,New Yes 9,10.30232558139535,23.379411866529193,43,9.64102564102564,30.754107281952624,39
maybe_4,Maybe 1,35.74418604651163,24.447312661016856,43,34.15384615384615,22.819126859003337,39
maybe_5,Maybe 2,15.186046511627907,22.061878146049093,43,35.02564102564103,20.013794163404267,39
maybe_6,Maybe 3,22.441860465116278,21.58074795206465,43,32.51282051282051,23.561645678910367,39
new_maybe_1,New Maybe 1,0.3023255813953488,25.6222883663729,43,13.128205128205128,31.007791454797026,39
new_maybe_2,New Maybe 2,17.41860465116279,19.829310386082437,43,30.58974358974359,24.0402271956139,39
new_maybe_3,New Maybe 3,-3.7906976744186047,26.2329837269028,43,8.179487179487179,28.006457709148172,39
new_maybe_4,New Maybe 4,-12.395348837209303,25.75908488363051,43,-0.5897435897435898,33.591758034185425,39
new_maybe_5,New Maybe 5,-32.04651162790697,22.95020851484495,43,-10.179487179487179,33.38599753353255,39
new_maybe_6,New Maybe 6,-12.232558139534884,24.85944987448466,43,17.46153846153846,30.379915589992358,39
no_line_1,No 1,15.0,29.14414096145145,43,19.102564102564102,30.500038715933037,39
no_line_2,No 2,23.837209302325583,24.530768078125245,43,36.794871794871796,20.405339197040778,39
no_line_3,No 3,11.325581395348838,24.559665859981312,43,26.512820512820515,26.14320058011642,39
no_line_A,No A,39.69767441860465,23.951871269695072,43,37.84615384615385,18.71888781775251,39
no_line_B,No B,43.02325581395349,19.108074050233096,43,39.76923076923077,20.169624815107156,39
no_line_C,No C,40.44186046511628,19.752398679631646,43,35.48717948717949,24.367657377062002,39
no_line_D,No D,28.348837209302324,24.001868698013446,43,39.64102564102564,18.12455034576492,39
yes_line_10,Yes 4,-36.395348837209305,22.039077345310034,43,-27.743589743589745,30.285238673510083,39
yes_line_7,Yes 1,-28.953488372093023,21.43978665535743,43,-20.794871794871796,31.399111190219422,39
yes_line_8,Yes 2,-33.04651162790697,19.703702200314314,43,-16.128205128205128,29.4316151953889,39
yes_line_9,Yes 3,-18.162790697674417,25.466065406039334,43,2.6666666666666665,32.908432236749015,39
yes_line_B,Yes B,-7.069767441860465,27.433378477805718,43,31.28205128205128,22.370032489387413,39
yes_line_C,Yes C,8.581395348837209,26.948127029305706,43,31.0,26.312894577614063,39
yes_line_D,Yes D,1.0232558139534884,29.799719055956782,43,11.666666666666666,33.775055676710764,39
yes_line_E,Yes E,-33.48837209302326,24.592267554605407,43,-25.23076923076923,32.70961675623976,39
yes_line_F,Yes F,-7.511627906976744,25.296689123680885,43,41.07692307692308,17.31805357876817,39
