stimulus,joe_context,univ_judgment_mean,univ_judgment_sd,n
10esque,New Yes 10,-23.023255813953487,25.447881726882148,43
7esque,New Yes 7,-19.6046511627907,26.85068016774721,43
9esque,New Yes 9,10.30232558139535,23.379411866529193,43
maybe_4,Maybe 1,35.74418604651163,24.447312661016856,43
maybe_5,Maybe 2,15.186046511627907,22.061878146049093,43
maybe_6,Maybe 3,22.441860465116278,21.58074795206465,43
new_maybe_1,New Maybe 1,0.3023255813953488,25.6222883663729,43
new_maybe_2,New Maybe 2,17.41860465116279,19.829310386082437,43
new_maybe_3,New Maybe 3,-3.7906976744186047,26.2329837269028,43
new_maybe_4,New Maybe 4,-12.395348837209303,25.75908488363051,43
new_maybe_5,New Maybe 5,-32.04651162790697,22.95020851484495,43
new_maybe_6,New Maybe 6,-12.232558139534884,24.85944987448466,43
no_line_1,No 1,15.0,29.14414096145145,43
no_line_2,No 2,23.837209302325583,24.530768078125245,43
no_line_3,No 3,11.325581395348838,24.559665859981312,43
no_line_A,No A,39.69767441860465,23.951871269695072,43
no_line_B,No B,43.02325581395349,19.108074050233096,43
no_line_C,No C,40.44186046511628,19.752398679631646,43
no_line_D,No D,28.348837209302324,24.001868698013446,43
yes_line_10,Yes 4,-36.395348837209305,22.039077345310034,43
yes_line_7,Yes 1,-28.953488372093023,21.43978665535743,43
yes_line_8,Yes 2,-33.04651162790697,19.703702200314314,43
yes_line_9,Yes 3,-18.162790697674417,25.466065406039334,43
yes_line_B,Yes B,-7.069767441860465,27.433378477805718,43
yes_line_C,Yes C,8.581395348837209,26.948127029305706,43
yes_line_D,Yes D,1.0232558139534884,29.799719055956782,43
yes_line_E,Yes E,-33.48837209302326,24.592267554605407,43
yes_line_F,Yes F,-7.511627906976744,25.296689123680885,43
