participant_id,joe_context,stimulus,condition,univ_judgment,excluded
R_26kYaGxKqcDzQh2,No 1,no_line_1,1cut,50.0,False
R_26kYaGxKqcDzQh2,No 2,no_line_2,1cut,50.0,False
R_26kYaGxKqcDzQh2,No 3,no_line_3,1cut,31.0,False
R_26kYaGxKqcDzQh2,Yes 1,yes_line_7,1cut,-50.0,False
R_26kYaGxKqcDzQh2,Yes 2,yes_line_8,1cut,-50.0,False
R_26kYaGxKqcDzQh2,Yes 3,yes_line_9,1cut,-50.0,False
R_26kYaGxKqcDzQh2,Yes 4,yes_line_10,1cut,-50.0,False
R_26kYaGxKqcDzQh2,New Yes 7,7esque,1cut,-50.0,False
R_26kYaGxKqcDzQh2,New Yes 9,9esque,1cut,50.0,False
R_26kYaGxKqcDzQh2,New Yes 10,10esque,1cut,-50.0,False
R_26kYaGxKqcDzQh2,Maybe 1,maybe_4,1cut,50.0,False
R_26kYaGxKqcDzQh2,Maybe 2,maybe_5,1cut,50.0,False
R_26kYaGxKqcDzQh2,Maybe 3,maybe_6,1cut,50.0,False
R_26kYaGxKqcDzQh2,New Maybe 1,new_maybe_1,1cut,50.0,False
R_26kYaGxKqcDzQh2,New Maybe 2,new_maybe_2,1cut,50.0,False
R_26kYaGxKqcDzQh2,New Maybe 3,new_maybe_3,1cut,20.0,False
R_26kYaGxKqcDzQh2,New Maybe 4,new_maybe_4,1cut,30.0,False
R_26kYaGxKqcDzQh2,New Maybe 5,new_maybe_5,1cut,-50.0,False
R_26kYaGxKqcDzQh2,New Maybe 6,new_maybe_6,1cut,22.0,False
R_26kYaGxKqcDzQh2,No A,no_line_A,1cut,50.0,False
R_26kYaGxKqcDzQh2,No B,no_line_B,1cut,50.0,False
R_26kYaGxKqcDzQh2,No C,no_line_C,1cut,50.0,False
R_26kYaGxKqcDzQh2,No D,no_line_D,1cut,50.0,False
R_26kYaGxKqcDzQh2,Yes B,yes_line_B,1cut,34.0,False
R_26kYaGxKqcDzQh2,Yes C,yes_line_C,1cut,50.0,False
R_26kYaGxKqcDzQh2,Yes D,yes_line_D,1cut,50.0,False
R_26kYaGxKqcDzQh2,Yes E,yes_line_E,1cut,-50.0,False
R_26kYaGxKqcDzQh2,Yes F,yes_line_F,1cut,50.0,False
R_1rIDbUD7D19jHwL,No 1,no_line_1,1cut,-23.0,False
R_1rIDbUD7D19jHwL,No 2,no_line_2,1cut,23.0,False
R_1rIDbUD7D19jHwL,No 3,no_line_3,1cut,5.0,False
R_1rIDbUD7D19jHwL,Yes 1,yes_line_7,1cut,-42.0,False
R_1rIDbUD7D19jHwL,Yes 2,yes_line_8,1cut,-24.0,False
R_1rIDbUD7D19jHwL,Yes 3,yes_line_9,1cut,-21.0,False
R_1rIDbUD7D19jHwL,Yes 4,yes_line_10,1cut,-38.0,False
R_1rIDbUD7D19jHwL,New Yes 7,7esque,1cut,-50.0,False
R_1rIDbUD7D19jHwL,New Yes 9,9esque,1cut,4.0,False
R_1rIDbUD7D19jHwL,New Yes 10,10esque,1cut,-18.0,False
R_1rIDbUD7D19jHwL,Maybe 1,maybe_4,1cut,50.0,False
R_1rIDbUD7D19jHwL,Maybe 2,maybe_5,1cut,5.0,False
R_1rIDbUD7D19jHwL,Maybe 3,maybe_6,1cut,46.0,False
R_1rIDbUD7D19jHwL,New Maybe 1,new_maybe_1,1cut,-21.0,False
R_1rIDbUD7D19jHwL,New Maybe 2,new_maybe_2,1cut,14.0,False
R_1rIDbUD7D19jHwL,New Maybe 3,new_maybe_3,1cut,27.0,False
R_1rIDbUD7D19jHwL,New Maybe 4,new_maybe_4,1cut,14.0,False
R_1rIDbUD7D19jHwL,New Maybe 5,new_maybe_5,1cut,-50.0,False
R_1rIDbUD7D19jHwL,New Maybe 6,new_maybe_6,1cut,14.0,False
R_1rIDbUD7D19jHwL,No A,no_line_A,1cut,50.0,False
R_1rIDbUD7D19jHwL,No B,no_line_B,1cut,50.0,False
R_1rIDbUD7D19jHwL,No C,no_line_C,1cut,50.0,False
R_1rIDbUD7D19jHwL,No D,no_line_D,1cut,50.0,False
R_1rIDbUD7D19jHwL,Yes B,yes_line_B,1cut,14.0,False
R_1rIDbUD7D19jHwL,Yes C,yes_line_C,1cut,50.0,False
R_1rIDbUD7D19jHwL,Yes D,yes_line_D,1cut,50.0,False
R_1rIDbUD7D19jHwL,Yes E,yes_line_E,1cut,-7.0,False
R_1rIDbUD7D19jHwL,Yes F,yes_line_F,1cut,-12.0,False
R_2zGesJmcZ2DxCol,No 1,no_line_1,1cut,30.0,False
R_2zGesJmcZ2DxCol,No 2,no_line_2,1cut,50.0,False
R_2zGesJmcZ2DxCol,No 3,no_line_3,1cut,26.0,False
R_2zGesJmcZ2DxCol,Yes 1,yes_line_7,1cut,-50.0,False
R_2zGesJmcZ2DxCol,Yes 2,yes_line_8,1cut,-30.0,False
