"context","n","mean","sd","se","error","CI.left","CI.right","name"
"Yes 10 Bad",38,-35.4210526315789,20.1073222899726,3.26183839701362,6.39308578153656,-41.8141384131155,-29.0279668500424,"1"
"Maybe 5 Bad",39,-28.974358974359,28.7058468090673,4.5966142529476,9.00919838660079,-37.9835573609598,-19.9651605877582,"2"
"Yes 4",39,-27.7435897435897,30.2852386735101,4.8495193563356,9.50488328074763,-37.2484730243374,-18.2387064628421,"3"
"Yes E",39,-25.2307692307692,32.7096167562398,5.23773054284861,10.2657632247087,-35.4965324554779,-14.9650060060605,"4"
"Yes C Badder",39,-25.2051282051282,26.0800180488914,4.17614514137232,8.18509407130169,-33.3902222764299,-17.0200341338265,"5"
"Yes D Badder",39,-24.3076923076923,24.0133228877921,3.84520906074759,7.53647127209237,-31.8441635797847,-16.7712210355999,"6"
"Yes B Badder",39,-23.1794871794872,29.5811744854835,4.73677885774662,9.28391596391416,-32.4634031434013,-13.895571215573,"7"
"New Yes 7",38,-22.7105263157895,29.2019139457311,4.73717598001473,9.2846943092571,-31.9952206250466,-13.4258320065324,"8"
"Maybe 4 Bad",39,-22.025641025641,27.1753440684045,4.35153767469164,8.52885711976478,-30.5544981454058,-13.4967839058762,"9"
"New Yes 10",39,-21.7948717948718,22.7551954590126,3.64374743832559,7.14161374787824,-28.93648554275,-14.6532580469936,"10"
"Yes 1",39,-20.7948717948718,31.3991111902194,5.02788170601049,9.85446706230836,-30.6493388571802,-10.9404047325634,"11"
"Maybe 3 Badder",39,-19.7435897435897,33.02209622974,5.28776730404219,10.3638334745512,-30.1074232181409,-9.37975626903859,"12"
"Yes 2",39,-16.1282051282051,29.4316151953889,4.71283020473937,9.2369774665417,-25.3651825947468,-6.89122766166343,"13"
"Yes B Bad",39,-10.7435897435897,26.8511667380708,4.29962775727985,8.42711555119722,-19.170705294787,-2.31647419239252,"14"
"New Maybe 5",39,-10.1794871794872,33.3859975335326,5.34603814798576,10.4780422300293,-20.6575294095165,0.298555050542122,"15"
"Yes D Bad",39,-7.33333333333333,25.739927343509,4.12168704459318,8.07835816294797,-15.4116914962813,0.745024829614633,"16"
"Yes C Bad",39,-4.8974358974359,26.5020305793973,4.24372122876485,8.31754076880717,-13.2149766662431,3.42010487137127,"17"
"Maybe 3 Bad",39,-4.84615384615385,30.2737844395361,4.84768521099609,9.50128842193979,-14.3474422680936,4.65513457578594,"18"
"New Maybe 4",39,-0.58974358974359,33.5917580341854,5.37898619708131,10.5426192196174,-11.132362809361,9.95287562987385,"19"
"Yes 3",39,2.66666666666667,32.908432236749,5.26956649869043,10.3281605515721,-7.66149388490542,12.9948272182387,"20"
"New Maybe 3",39,8.17948717948718,28.0064577091482,4.48462236758615,8.78969832473159,-0.610211145244413,16.9691855042188,"21"
"New Yes 9",39,9.64102564102564,30.7541072819526,4.92459842098266,9.65203554344883,-0.01100990242319,19.2930611844745,"22"
"Yes D",39,11.6666666666667,33.7750556767108,5.40833731017572,10.6001463441886,1.06652032247802,22.2668130108553,"23"
"New Maybe 1",39,13.1282051282051,31.007791454797,4.9652203992298,9.731653157794,3.39655197041112,22.8598582859991,"24"
"New Maybe 6",39,17.4615384615385,30.3799155899924,4.86467979617986,9.53459719683218,7.92694126470628,26.9961356583706,"25"
"No 1",39,19.1025641025641,30.500038715933,4.88391489056604,9.57229728906831,9.53026681349579,28.6748613916324,"26"
"No 3",39,26.5128205128205,26.1432005801164,4.18626244345013,8.20492361899489,18.3078968938256,34.7177441318154,"27"
"New Maybe 2",39,30.5897435897436,24.0402271956139,3.8495171978885,7.54491506572901,23.0448285240146,38.1346586554726,"28"
"Yes C",39,31,26.3128945776141,4.21343522998123,8.25818130195545,22.7418186980446,39.2581813019554,"29"
"Yes B",39,31.2820512820513,22.3700324893874,3.58207200308542,7.02073211607668,24.2613191659746,38.302783398128,"30"
"Maybe 3",39,32.5128205128205,23.5616456789104,3.77288282317353,7.39471445130991,25.1181060615106,39.9075349641304,"31"
"Maybe 1",39,34.1538461538462,22.8191268590033,3.65398465537628,7.16167832459951,26.9921678292466,41.3155244784457,"32"
"Maybe 2",39,35.025641025641,20.0137941634043,3.20477191002095,6.28123752230671,28.7444035033343,41.3068785479477,"33"
"No C",39,35.4871794871795,24.367657377062,3.90194798834385,7.64767752670246,27.839501960477,43.134857013882,"34"
"No 2",39,36.7948717948718,20.4053391970408,3.26746929338872,6.40412213563243,30.3907496592394,43.1989939305042,"35"
"No A",39,37.8461538461538,18.7188878177525,2.99742094754125,5.87483710368676,31.9713167424671,43.7209909498406,"36"
"No D",39,39.6410256410256,18.1245503457649,2.90225078541469,5.68830701351588,33.9527186275098,45.3293326545415,"37"
"No B",39,39.7692307692308,20.1696248151071,3.22972478458438,6.33014425776177,33.439086511469,46.0993750269925,"38"
"Yes F",39,41.0769230769231,17.3180535787682,2.77310794706573,5.43519170149063,35.6417313754324,46.5121147784137,"39"
