participant_id,joe_context,stimulus,condition,moral_judgment,excluded
R_26fBGxSQgYvYNxn,No 1,no_line_1,1cut,50.0,False
R_26fBGxSQgYvYNxn,No 2,no_line_2,1cut,50.0,False
R_26fBGxSQgYvYNxn,No 3,no_line_3,1cut,50.0,False
R_26fBGxSQgYvYNxn,Yes 1,yes_line_7,1cut,-50.0,False
R_26fBGxSQgYvYNxn,Yes 2,yes_line_8,1cut,-50.0,False
R_26fBGxSQgYvYNxn,Yes 3,yes_line_9,1cut,-40.0,False
R_26fBGxSQgYvYNxn,Yes 4,yes_line_10,1cut,-50.0,False
R_26fBGxSQgYvYNxn,New Yes 7,7esque,1cut,50.0,False
R_26fBGxSQgYvYNxn,New Yes 9,9esque,1cut,-40.0,False
R_26fBGxSQgYvYNxn,New Yes 10,10esque,1cut,-50.0,False
R_26fBGxSQgYvYNxn,Maybe 1,maybe_4,1cut,50.0,False
R_26fBGxSQgYvYNxn,Maybe 2,maybe_5,1cut,50.0,False
R_26fBGxSQgYvYNxn,Maybe 3,maybe_6,1cut,50.0,False
R_26fBGxSQgYvYNxn,New Maybe 1,new_maybe_1,1cut,46.0,False
R_26fBGxSQgYvYNxn,New Maybe 2,new_maybe_2,1cut,50.0,False
R_26fBGxSQgYvYNxn,New Maybe 3,new_maybe_3,1cut,1.0,False
R_26fBGxSQgYvYNxn,New Maybe 4,new_maybe_4,1cut,45.0,False
R_26fBGxSQgYvYNxn,New Maybe 5,new_maybe_5,1cut,-10.0,False
R_26fBGxSQgYvYNxn,New Maybe 6,new_maybe_6,1cut,50.0,False
R_26fBGxSQgYvYNxn,No A,no_line_A,1cut,50.0,False
R_26fBGxSQgYvYNxn,No B,no_line_B,1cut,50.0,False
R_26fBGxSQgYvYNxn,No C,no_line_C,1cut,50.0,False
R_26fBGxSQgYvYNxn,No D,no_line_D,1cut,50.0,False
R_26fBGxSQgYvYNxn,Yes B,yes_line_B,1cut,41.0,False
R_26fBGxSQgYvYNxn,Yes C,yes_line_C,1cut,50.0,False
R_26fBGxSQgYvYNxn,Yes D,yes_line_D,1cut,50.0,False
R_26fBGxSQgYvYNxn,Yes E,yes_line_E,1cut,-50.0,False
R_26fBGxSQgYvYNxn,Yes F,yes_line_F,1cut,50.0,False
R_28GSc0Rco68Uv5i,No 1,no_line_1,1cut,-10.0,False
R_28GSc0Rco68Uv5i,No 2,no_line_2,1cut,20.0,False
R_28GSc0Rco68Uv5i,No 3,no_line_3,1cut,21.0,False
R_28GSc0Rco68Uv5i,Yes 1,yes_line_7,1cut,10.0,False
R_28GSc0Rco68Uv5i,Yes 2,yes_line_8,1cut,-20.0,False
R_28GSc0Rco68Uv5i,Yes 3,yes_line_9,1cut,10.0,False
R_28GSc0Rco68Uv5i,Yes 4,yes_line_10,1cut,-4.0,False
R_28GSc0Rco68Uv5i,New Yes 7,7esque,1cut,-10.0,False
R_28GSc0Rco68Uv5i,New Yes 9,9esque,1cut,-10.0,False
