"subject.code","answer","context","condition","badness"
"R_1C1imvB2enmJg5x",10,"No 1","no","original"
"R_1iqI5OFDsiPKqu7",-42,"No 1","no","original"
"R_1KvtQ1nlOpQFnff",50,"No 1","no","original"
"R_1LHjLnJ1DNh9y09",10,"No 1","no","original"
"R_1N9pNdZTr6ARHVF",-10,"No 1","no","original"
"R_1o70w1n0MzNVfSV",50,"No 1","no","original"
"R_1ogK7Naa8lQS4yJ",20,"No 1","no","original"
"R_1OP1GWuMU42FwL6",-16,"No 1","no","original"
"R_1rBylZKPsSjeFTk",41,"No 1","no","original"
"R_1rHR7zpFqXrXtZG",-7,"No 1","no","original"
"R_26fBGxSQgYvYNxn",50,"No 1","no","original"
"R_28CDZMw1NDVmQbT",50,"No 1","no","original"
"R_28GSc0Rco68Uv5i",-10,"No 1","no","original"
"R_2fepZ6v9IDKahaK",-20,"No 1","no","original"
"R_2foL5HECX5qlmBQ",-10,"No 1","no","original"
"R_2SAhsBTPpZ4VBGG",50,"No 1","no","original"
"R_2X6xFQ3Jhk2J4wJ",41,"No 1","no","original"
"R_2zAXnNMftbG4u74",10,"No 1","no","original"
"R_2ZIa35DvZmTCJd4",0,"No 1","no","original"
"R_32OY3OC79dPgrDK",50,"No 1","no","original"
"R_32RX26yFG4ORMHK",49,"No 1","no","original"
"R_33wLlnO6rzqZJ6g",-10,"No 1","no","original"
"R_3GvO1DJNWWclMBt",-20,"No 1","no","original"
"R_3jTcEaifOT97ZA3",50,"No 1","no","original"
"R_3KrmVnbAUYGSyit",30,"No 1","no","original"
"R_3MoDZiunbjMptzg",45,"No 1","no","original"
"R_3Rk1wdtJeBgqPQy",-30,"No 1","no","original"
"R_3RqOHyZIxaJpwPQ",-31,"No 1","no","original"
"R_4UD1SJ72Xn7NZfz",42,"No 1","no","original"
"R_AcCHryVM0Whjyfv",43,"No 1","no","original"
"R_DUYdwTpwljiCtWN",50,"No 1","no","original"
"R_pFMgJZTq21Ao6Dn",45,"No 1","no","original"
"R_sjbmtkmO0J9EwX7",41,"No 1","no","original"
"R_sOuiHjogNjYIyjv",50,"No 1","no","original"
"R_vYxLFO1RkAsm0ed",2,"No 1","no","original"
"R_WkEX8lBjn1LlF61",-6,"No 1","no","original"
"R_XSaQ33BVtKt0VMJ",-20,"No 1","no","original"
"R_yKpMu88bjiyiZkB",50,"No 1","no","original"
"R_yUWSIViX283K4rD",48,"No 1","no","original"
"R_1C1imvB2enmJg5x",30,"No 2","no","original"
"R_1iqI5OFDsiPKqu7",50,"No 2","no","original"
"R_1KvtQ1nlOpQFnff",44,"No 2","no","original"
"R_1LHjLnJ1DNh9y09",14,"No 2","no","original"
"R_1N9pNdZTr6ARHVF",41,"No 2","no","original"
"R_1o70w1n0MzNVfSV",50,"No 2","no","original"
"R_1ogK7Naa8lQS4yJ",50,"No 2","no","original"
"R_1OP1GWuMU42FwL6",40,"No 2","no","original"
"R_1rBylZKPsSjeFTk",46,"No 2","no","original"
"R_1rHR7zpFqXrXtZG",-41,"No 2","no","original"
"R_26fBGxSQgYvYNxn",50,"No 2","no","original"
