"context","n","mean","sd","se","error","CI.left","CI.right","moral","name","CI.contains.zero"
"Maybe 1",41,19.3170731707317,19.3124817467749,3.01610292579887,5.91145310823166,13.4056200625,25.2285262789634,34.1538461538462,"32",0
"Maybe 2",41,13.6829268292683,21.1995743169412,3.31081727151378,6.48908261156018,7.19384421770812,20.1720094408285,35.025641025641,"33",0
"Maybe 3",41,17.2682926829268,18.0111415382867,2.81286772994236,5.51311944396197,11.7551732389649,22.7814121268888,32.5128205128205,"31",0
"Maybe 3 Bad",41,1.63414634146341,21.7620726236737,3.39866474813217,6.66126050186495,-5.02711416040153,8.29540684332836,-4.84615384615385,"18",1
"Maybe 3 Badder",41,-12.7317073170732,21.784196554204,3.40211992559085,6.66803252524416,-19.3997398423173,-6.06367479182901,-19.7435897435897,"12",0
"Maybe 4 Bad",41,-11.2439024390244,25.0167748598864,3.90696384018876,7.65750841567028,-18.9014108546947,-3.58639402335411,-22.025641025641,"9",0
"Maybe 5 Bad",41,-23.0487804878049,21.0617558853864,3.28929364860029,6.44689708583291,-29.4956775736378,-16.601883401972,-28.974358974359,"2",0
"New Maybe 1",41,10.390243902439,16.6160736168032,2.59499472455418,5.08609620019762,5.3041477022414,15.4763401026366,13.1282051282051,"24",0
"New Maybe 2",41,14.8292682926829,15.7605558896639,2.46138530274444,4.82422654545532,10.0050417472276,19.6534948381382,30.5897435897436,"28",0
"New Maybe 3",41,2.31707317073171,19.2956459135089,3.01347361038319,5.90629974471294,-3.58922657398123,8.22337291544465,8.17948717948718,"21",1
"New Maybe 4",41,-3.78048780487805,23.9671777595131,3.74304431255609,7.33623204514742,-11.1167198500255,3.55574424026937,-0.58974358974359,"19",1
"New Maybe 5",41,-9.29268292682927,23.7573608618876,3.71027641834613,7.27200815264668,-16.564691079476,-2.02067477418259,-10.1794871794872,"15",0
"New Maybe 6",41,14.390243902439,16.9806920482949,2.65193855665415,5.19770406025526,9.19253984218376,19.5879479626943,17.4615384615385,"25",0
"New Yes 10",41,-4.21951219512195,13.3332520322725,2.08230412808889,4.08124109591331,-8.30075329103526,-0.138271099208645,-21.7948717948718,"10",0
"New Yes 7",41,2.29268292682927,12.2254732064633,1.90929814152173,3.74215559313184,-1.44947266630258,6.03483851996111,-22.7105263157895,"8",1
"New Yes 9",41,10.5609756097561,16.3906204587987,2.55978485673894,5.01708612737935,5.54388948237675,15.5780617371354,9.64102564102564,"22",0
"No 1",41,16.8780487804878,21.7901297861569,3.40304654074509,6.66984865757398,10.2082001229138,23.5478974380618,19.1025641025641,"26",0
"No 2",41,10.8048780487805,26.6291377181041,4.15877261328609,8.15104454193226,2.65383350684823,18.9559225907127,36.7948717948718,"35",0
"No 3",41,15.2439024390244,20.5216720661413,3.20494672681361,6.2815801569242,8.96232228210019,21.5254825959486,26.5128205128205,"27",0
"No A",41,19.8292682926829,14.902856167568,2.32743511057391,4.56168899307886,15.2675792996041,24.3909572857618,37.8461538461538,"36",0
"No B",41,17.3170731707317,16.5958413832958,2.59183498053591,5.07990321572145,12.2371699550103,22.3969763864532,39.7692307692308,"38",0
"No C",41,18.2682926829268,20.1457494155019,3.14623747228412,6.1665121324872,12.1017805504396,24.434804815414,35.4871794871795,"34",0
"No D",41,18.1707317073171,17.6520571591874,2.756788171623,5.4032055293871,12.76752617793,23.5739372367042,39.6410256410256,"37",0
"Yes 1",41,-3.5609756097561,17.1450412371738,2.67760558774471,5.24801051678284,-8.80898612653894,1.68703490702674,-20.7948717948718,"11",1
"Yes 10 Bad",41,-22.0487804878049,22.0782146238234,3.44803783358654,6.75802997116112,-28.806810458966,-15.2907505166438,-35.4210526315789,"1",0
"Yes 2",41,-0.24390243902439,21.8583856766744,3.41370631993826,6.69074144087576,-6.93464387990015,6.44683900185137,-16.1282051282051,"13",1
"Yes 3",41,7.75609756097561,17.0891493173371,2.66887673636464,5.2309022824515,2.52519527852411,12.9869998434271,2.66666666666667,"20",0
"Yes 4",41,-18.1707317073171,19.7254942131045,3.08060463637246,6.03787413789713,-24.2086058452142,-12.1328575694199,-27.7435897435897,"3",0
"Yes B",41,11.5365853658537,19.1925735129185,2.9973764058361,5.87474980354887,5.66183556230479,17.4113351694025,31.2820512820513,"30",0
"Yes B Bad",41,-0.609756097560976,20.4204285566935,3.18913514707635,6.25059003010048,-6.86034612766146,5.64083393253951,-10.7435897435897,"14",1
"Yes B Badder",41,-12.4878048780488,23.3410817564434,3.64526454445328,7.14458722124924,-19.632392099298,-5.34321765679954,-23.1794871794872,"7",0
"Yes C",41,14.1219512195122,19.9589517785269,3.11706458260583,6.10933431939279,8.0126169001194,20.231285538905,31,"29",0
"Yes C Bad",41,3.97560975609756,15.183029679346,2.37119086188983,4.64744868977455,-0.671838933676987,8.62305844587211,-4.8974358974359,"17",1
"Yes C Badder",41,-11.3658536585366,21.1491797684461,3.30294696529662,6.47365709482725,-17.8395107533638,-4.89219656370934,-25.2051282051282,"5",0
"Yes D",41,11.9268292682927,16.3070387316374,2.54673158398301,4.99150218289735,6.93532708539533,16.91833145119,11.6666666666667,"23",0
"Yes D Bad",41,-3.51219512195122,18.3998939551557,2.87358065732809,5.63211459503399,-9.14430971698521,2.11991947308277,-7.33333333333333,"16",1
"Yes D Badder",41,-0.24390243902439,18.7999740529141,2.93606267125178,5.75457709200595,-5.99847953103034,5.51067465298156,-24.3076923076923,"6",1
"Yes E",41,-23.390243902439,27.8135560912125,4.34374768626441,8.51358902300744,-31.9038329254465,-14.8766548794316,-25.2307692307692,"4",0
"Yes F",41,14.5853658536585,19.0957791275403,2.9822596625419,5.84512153112869,8.74024432252985,20.4304873847872,41.0769230769231,"39",0
