"subject.code","answer","context","condition","badness"
"R_0TbvEJOOdRE8Po5",-11,"No 1","no","original"
"R_10NQO6ofuvssLna",22,"No 1","no","original"
"R_125YC954CGborqS",10,"No 1","no","original"
"R_1FKepxOiPxYVQHz",50,"No 1","no","original"
"R_1igi8iqWfkvrcc1",40,"No 1","no","original"
"R_1jwjzf7E6IsgZqq",-20,"No 1","no","original"
"R_1jwUh0dtFWDuT4x",30,"No 1","no","original"
"R_1mL9sBksGn4Chrc",-20,"No 1","no","original"
"R_1ooRxXWrJBeti3l",12,"No 1","no","original"
"R_1pmV7CCbwnNL4bs",20,"No 1","no","original"
"R_1qg5zxG4OHT34gX",9,"No 1","no","original"
"R_1rwYAjoube9ImlK",-16,"No 1","no","original"
"R_22DGikbZewcoEkH",30,"No 1","no","original"
"R_22R1B5mN0RA0RMU",26,"No 1","no","original"
"R_2aQ6gax5O03RSIv",42,"No 1","no","original"
"R_2dlINIzP1v3FX0g",-20,"No 1","no","original"
"R_2ebd9LcKLlwFO5v",-20,"No 1","no","original"
"R_2h5GlipyzZ47VLj",11,"No 1","no","original"
"R_2QrLW0BHAjWVg7Q",50,"No 1","no","original"
"R_2rAt1AD0sqk7yPG",9,"No 1","no","original"
"R_2rkgUKYk3bYGIoF",40,"No 1","no","original"
"R_2uCFCg6xVDEY02q",14,"No 1","no","original"
"R_2XizCOMyNrGa7Az",-19,"No 1","no","original"
"R_31zuDrqUATmHgFI",12,"No 1","no","original"
"R_32KqOo2AEj0tVdX",-13,"No 1","no","original"
"R_3D77jkyASlRGTqD",8,"No 1","no","original"
"R_3dDE8OS7jARHVcT",45,"No 1","no","original"
"R_3G3S0l7VxciaIWg",6,"No 1","no","original"
"R_3iI892aKIzlTCm3",36,"No 1","no","original"
"R_3KW9H9FC1ifo1YV",25,"No 1","no","original"
"R_3MRne9JybULuGPX",10,"No 1","no","original"
"R_a90wt16hQIHhsRj",30,"No 1","no","original"
"R_Aaiu7NwZQoFdazT",30,"No 1","no","original"
"R_AhSldTz7xNWz7SF",5,"No 1","no","original"
"R_ANeTIXcBIwyfggV",15,"No 1","no","original"
"R_BDEiiuol7PCm5od",7,"No 1","no","original"
"R_PwfHbOWesn6tR0l",40,"No 1","no","original"
"R_sChbmfdhKx3fYFb",27,"No 1","no","original"
"R_SIBMbeTFd37lOY9",50,"No 1","no","original"
"R_XLNB6At9fKflzG1",50,"No 1","no","original"
"R_z6C8dk0TuG2cq2t",20,"No 1","no","original"
"R_0TbvEJOOdRE8Po5",3,"No 2","no","original"
"R_10NQO6ofuvssLna",36,"No 2","no","original"
"R_125YC954CGborqS",-40,"No 2","no","original"
"R_1FKepxOiPxYVQHz",50,"No 2","no","original"
"R_1igi8iqWfkvrcc1",0,"No 2","no","original"
"R_1jwjzf7E6IsgZqq",-36,"No 2","no","original"
"R_1jwUh0dtFWDuT4x",-25,"No 2","no","original"
"R_1mL9sBksGn4Chrc",-45,"No 2","no","original"
"R_1ooRxXWrJBeti3l",12,"No 2","no","original"
"R_1pmV7CCbwnNL4bs",27,"No 2","no","original"
