duration,date,subject.code,prolific.id,comprehension1,comprehension2,comprehension3,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,za,zb,zc,zd,ze,zf,zg,zh,zi,zj,zk,zl,zm,norm1,norm2,norm3,norm4,norm5,norm6,age,gender,gender.text,race,race.text,race.text2,education,education.text,income,language,language.text,political,religion,religion.text,religiosity,birthplace,birthcity,birth.other,grew.up,grew.up.city,grew.up.other,years.here,comments
813,1/24/23 11:20,R_2e8uztwirCPL4Rd,60f76003b80ed2391faccd28,collect one bucket of water,1,so waiting,-50,-50,-50,-50,-49,-50,-50,50,-32,-47,50,-30,48,50,50,-50,-49,-50,50,-49,50,-50,50,50,50,50,50,50,-50,-50,-50,-50,-50,50,50,50,50,-50,-50,6,6,6,6,6,6,36,2,,1,,,3,,3,1,,1,12,christian,5,1,tx,,1,texas36,,36,
1233,1/24/23 11:25,R_26kYaGxKqcDzQh2,575854536200e3000656bb3f,To collect one bucket of water for each scene quickly.,one,get water faster instead of staying in line,50,50,31,-50,-50,-50,-50,-50,50,-50,50,50,50,50,50,20,30,-50,22,50,50,50,50,34,50,50,-50,50,-31,50,50,-50,-50,50,31,50,50,50,50,3,3,3,4,4,4,36,2,,1,,,8,,4,1,,6,1,,5,2,,England,1,Maryland,,26,"It wasn't abundantly clear whether line-leavers would coordinate efficiently or not. Were they perfect logicians, or would they unnecessarily clog up the works and thus slow themselves down?"
855,1/24/23 11:25,R_1rIDbUD7D19jHwL,60fcd15f32250136091bd57e,players must collect water and bring it back to the buckets,one square,"leave the line, wait",-23,23,5,-42,-24,-21,-38,-50,4,-18,50,5,46,-21,14,27,14,-50,14,50,50,50,50,14,50,50,-7,-12,21,24,6,-16,-14,5,6,50,50,50,50,4,5,4,5,5,4,19,1,,1,,,4,,2,1,,2,11,,1,1,texas,,1,texas,,19,
722,1/24/23 11:30,R_2zGesJmcZ2DxCol,63d008d68b5cc2e9dd811024,to collect a bucket of water,one square per time step,leave the line instead of staying in line,30,50,26,-50,-30,-41,-40,-50,11,-31,50,16,50,14,7,9,11,-50,7,50,50,50,50,22,10,15,-16,-8,12,7,9,-50,-36,7,8,15,6,11,9,4,5,4,4,5,3,29,2,,4,Asian/White,,7,,1,1,,3,11,,1,1,Washington,,1,Washington,,29,
2096,1/24/23 11:35,R_3dLWRwgFtRAUU16,628fb6f7127c221f4b8f46e3,Players collect water from a water source and put it into a bucket. The players who collect the most water win the most points.,one square per time step,"leave the line and go straight to the water source, instead of stay in line and wait their turn.",-10,20,-20,-40,-40,-20,-50,-10,10,-40,40,-10,10,-30,20,-31,-30,-41,-30,50,10,42,-10,-31,15,-20,-50,15,-17,-25,-31,15,5,15,-20,-30,10,21,-25,5,4,5,5,4,3,31,2,,1,,,7,,2,1,,2,11,,1,1,Texas,,1,Texas,,31,
1629,1/24/23 11:38,R_cViRCkYfxRgcTkd,614f95fdc3c3e5b08fd0c60a,"to collect a bucket of water, per scene, to receive as many points as they can",one square,the same    waiting their turn,42,50,50,0,7,32,-50,0,50,0,50,41,50,26,50,17,4,12,1,50,-50,-50,-50,-15,-27,-42,-23,13,21,16,8,-13,-5,0,0,50,50,50,33,6,5,5,6,5,2,56,1,,1,,,7,,5,1,,1,10,,1,1,Washington DC,,2,,n/a,56,
1054,1/24/23 11:40,R_2YRJa3vIbwJ9jsl,5d649652adc4e8001a2d258d,They are to collect water from a source and bring it back to the wooden bucket.,one square per time,leave the line and try to  get water faster for themselves  instead of everyone staying in line,50,-9,-16,-32,-50,-46,-50,40,28,-50,31,20,-43,-35,-43,28,-45,-50,-36,-50,50,10,-18,-44,-42,-49,25,-46,-41,-38,-50,-49,-48,-49,26,42,43,28,9,6,6,6,6,6,5,57,1,,1,,,4,,4,1,,5,12,Baptist,4,1,Georgia,,1,Georgia,,57,none
667,1/24/23 11:41,R_1gpcMqQw3MgxmQj,610750013517943e8030c637,"collect one bucket of water for each ""scene"" of the video game.",1,"leave the line, staying in line",50,50,50,-21,-50,-50,-50,-41,41,-50,50,40,9,7,9,18,19,-50,-50,50,50,50,50,7,27,2,-8,8,22,6,5,-49,-50,7,9,20,19,21,25,5,5,4,5,4,4,33,1,,1,,,3,,4,1,,6,3,,3,1,cA,,1,CA,,33,no
2767,1/24/23 11:43,R_3g0FAV2qa3JazkP,62a720d11331233ff4d813d5,collect buckets of water,one,"to leave the line to get water faster, instead of waiting for their turn to get water",35,20,-10,-50,-50,-50,-50,-50,20,-50,50,15,35,12,40,-40,-45,-50,-40,50,50,50,25,-45,5,-40,-50,-45,-50,-50,-45,-50,-50,-40,-40,10,10,-50,-50,5,3,2,5,5,2,50,2,,1,,,7,,3,1,,2,1,,1,1,California,,1,Delaware,,50,
3021,1/24/23 11:46,R_2AEz7gp2X7S0kDc,6100481dd1b1b838ba53030f,the goal of the people in the game is to collect buckets of water to earn points,one,leave and stay,39,30,32,-43,-41,-29,-50,-48,25,-44,46,31,-16,-13,-23,-41,-41,-50,-50,46,50,30,41,-45,10,-37,-50,5,-38,4,-11,-50,-50,-16,-22,11,-13,-6,-18,6,5,5,4,5,3,26,1,,4,,,6,,3,"1,3",,2,2,,1,1,Connecticut,,1,Connecticut,,26,
1972,1/24/23 11:49,R_1kIcX7Z0ftlxVr6,5f5107258dac162ba31673d1,They are trying to collect water from a water source and bring it back to the wooden storage bucket.,one square per time step,leave the line instead of staying in line,-10,-11,-19,-36,-31,-18,-49,0,-18,-27,42,21,27,10,19,0,-18,-50,-42,50,50,50,25,-17,-14,-11,-41,-50,-38,-35,-8,-50,-49,-27,-22,-21,-21,-31,-24,6,5,5,4,6,5,44,1,,2,,,8,,6,1,,1,10,,1,1,Florida,,2,,Germany,30,
1915,1/24/23 11:49,R_1EYCOF0MawdNwGL,63cfe582f6e51cd4ca556e0f,"Everyone in the game is trying to collect water from a water source (wells, streams, ponds, etc.), and bring it back to the wooden storage buckets. Each person needs to collect one bucket of water for each ""scene"" of the video game. The faster a person collects the bucket of water, the more points they receive",one square," leave the line and try to get water faster for themselves, instead of everyone staying in line.",-20,-10,-11,-9,-40,10,-10,-19,-9,-3,-10,-7,-4,-14,-10,-5,-20,-20,-20,-20,-20,-20,32,30,50,0,0,27,17,50,27,0,27,-22,0,0,0,26,-10,4,5,4,5,3,5,35,2,,1,,,7,,5,1,,4,2,,5,1,new york,,1,new york,,35,
1381,1/24/23 11:50,R_2WCjAMrzmDLSd1H,5c55faafb571e7000119e576,collect water,one,leave everyone staying in line,23,23,25,24,18,16,19,21,25,23,12,15,18,21,22,20,20,-18,-7,45,44,45,32,-13,14,-6,-8,-19,-18,-31,-16,-27,-22,-18,-23,23,-6,-18,-4,1,1,1,5,1,1,32,1,,5,,native,7,,3,1,,4,5,,5,1,pennsylvania,,1,pennsylvania,,32,
2064,1/24/23 11:51,R_d71WN2oRhe3kdrP,63cdba9e0c27bf2817c222d0, Each person needs to collect one bucket of water to fill a storage bucket,one square,"leave, staying",50,50,20,-50,-50,48,-40,-45,-50,-50,50,50,-20,-50,21,-47,-10,-35,-50,50,50,20,-50,-25,11,-49,-49,-50,11,-50,-46,-35,-50,-50,-26,-50,-50,-50,-50,6,6,6,6,6,6,50,2,,2,,,8,,4,1,,4,2,,5,1,Georgia,,1,Virginia,,50,no
1301,1/24/23 11:52,R_yDAXwlOgsRhNQ7n,5e30a19861ac040a4355a96d,Collect water from a water source and bring it back to the wooden storage bucket,One,Leave the line instead of wait their turn,-10,35,-22,-50,-45,-47,-50,-36,12,-32,50,6,-8,8,19,-36,-50,-50,-45,50,50,50,22,-23,-40,-47,-50,17,24,16,-14,-50,-40,-50,-50,-50,-50,-38,-35,5,5,6,4,5,2,40,2,,"1,4",American Indian,,6,,2,1,,4,10,,1,1,California,,1,California ,,40,
965,1/24/23 11:53,R_3istlOYztRUWLYY,5d7047d764b37b0017ffa710,To collect water as fast as you can.,one,leave the line instead of staying in line,41,16,17,-50,-50,-43,-50,-50,5,-46,50,20,50,-9,18,46,42,-50,-31,50,50,50,50,-36,50,50,-50,-46,8,40,10,-50,-50,31,31,20,22,31,31,5,5,4,5,4,4,51,1,,1,,,7,,5,1,,6,1,,5,1,Virginia,,1,Virginia,,51,
1656,1/24/23 11:54,R_2TBm9RblyDfXDNy,62711f73b2dbf1f1867a703c,Collect one bucket of water from source and bring it to wooden storage bucket.,One stepm,Faster water acquisition instead of standing in line,30,30,30,-50,-30,15,-40,-50,40,10,0,29,33,0,42,15,12,0,19,40,50,44,50,16,37,31,9,9,4,5,21,9,0,14,10,30,36,40,30,4,5,5,4,4,5,34,2,,1,,,4,,2,1,,5,10,,1,1,Tennessee,,1,Tennessee ,,34,N/A
1257,1/24/23 11:54,R_1OAJ7HJqKJdsnK8,58641c3bdb3e720001e22831,To collect one bucket of water per scene,1,To leave the line to get water instead of waiting,50,40,39,0,-50,-50,-50,0,0,-50,50,10,25,-10,30,-20,-40,10,-20,50,50,50,50,0,-20,-20,-50,-10,20,-10,10,-50,-50,10,10,-5,-10,-20,-20,4,4,5,5,4,4,26,1,,1,,,7,,4,1,,1,10,,1,1,Ohio,,1,Virginia,,26,
1711,1/24/23 11:58,R_el1TUQvCIAwDR5L,63d00f1db18f9fd2aa1762e6,to collect a bucket of water as fast as possible,one,"leave the line to get water, staying in line",24,50,17,-41,-27,-17,-50,-15,26,0,50,15,15,5,39,-5,-25,5,-5,50,50,50,47,0,11,15,-33,-5,3,-14,-31,1,-28,5,-41,14,6,22,17,6,6,4,4,5,4,25,3,non-binary,1,,,7,,1,1,,1,10,,1,1,Connecticut,,1,Connecticut,,25,
1885,1/24/23 11:59,R_2aLg1pNUmyUyafN,5b6142d1f5bc590001184814,"To collect at least one bucket of water from a source for each ""scene"" and bring it back to the storage buckets quickly.",one,"at liberty to (do doesn't work) - leave the line, instead of staying in the line. ",10,-30,-15,-10,-15,10,-20,0,10,-5,30,15,20,10,15,0,-5,-35,10,20,40,46,25,-10,10,5,-40,10,-20,-28,-20,-7,-30,-26,-26,12,12,-15,-15,5,4,3,5,4,3,48,1,,1,,,7,,5,1,,6,1,,4,1,Texas,,1,Indiana,,48,"It seemed straightforward to me. It was unclear if we were to watch the entire video. After several seconds of each, it was easy to decide my answer."
2256,1/24/23 12:00,R_1hTodwWx3dCHEuv,566af48e7da035000fb39c66,to collect water from a source and bring it back to a bucket,one square,leave the line to get water faster or to stay in line waiting their turn,44,40,26,-10,-5,-17,-45,-5,15,-5,50,45,45,15,41,-33,5,0,20,50,50,50,42,12,-3,11,-39,-7,-14,-18,-4,-50,-50,-35,-41,-7,-36,21,12,5,3,4,3,2,3,52,1,,4,black/white,,7,,2,1,,1,12,spiritual,1,1,ny,,1,ny,,52,This was painfully dumb for some reason and left me more annoyed than satisfied that I actually accomplished something of relevance
2528,1/24/23 12:01,R_yOe552T3O8bum1H,5adbbdf1cd58990001e46912,"To collect water from various sources and bring it back via wooden buckets, as fast as possible.",One.,"get water faster, waiting in line for their turn.",20,50,30,-50,-50,-30,-50,50,-20,50,-50,-20,20,30,-40,40,50,50,50,-50,-50,-50,-40,50,40,50,50,40,50,40,50,50,50,50,50,50,50,40,50,5,5,5,4,6,5,51,2,,1,,,2,,2,1,,6,12,Non-religious/spiritual,1,1,Massachusetts,,1,Massachusetts,,51,
2103,1/24/23 12:01,R_2Y55QH959rCKwBe,5d26bcea1275800015ccd653,Collecting water and putting it in storage buckets; faster times more points and they must collect one bucket per scene.,One square per each time step in one cardinal direction.,Leave the line and collect water for themselves faster instead of waiting in line.,-20,20,-26,-50,-50,-30,-50,-10,15,-20,50,30,40,30,0,-40,-50,-40,30,50,40,50,10,15,-30,20,-50,0,-30,-40,-35,-50,-50,-30,-30,-20,-35,-14,-10,6,6,6,5,6,4,25,2,,1,,,3,,2,"1,3",,4,13,,2,2,,Mexico,1,Oregon,,24,The scale was a little confusing to me because of how much a -20 was worst than a -15 so I just used the values listed on the line and it’s a little unclear how impactful the values were compared to each other.
3217,1/24/23 12:01,R_9sh4pIR37U64lfb,60fdba29b052ac0601a52873,To collect one bucket of water in each scene of the video game as quickly as possible,1,"leave the line and try to get water faster, staying in line",15,30,5,-25,-25,-14,-30,-25,5,-29,40,15,10,4,10,7,-3,-10,-20,20,50,45,7,-40,5,4,-50,-15,-5,-5,-20,-50,-50,-30,-35,-5,-5,-20,-15,4,5,4,5,5,4,21,1,,1,,,6,,2,1,,1,11,,1,1,Georgia,,1,Arizona,,21,"No, directions were very clear"
1995,1/24/23 12:02,R_3fdF6udlM8Cxmn2,60d8c3f7b29ef0af10d9203b,To collect water and bring it to wooden storage buckets,one,"leave the line, staying in line",35,35,10,0,-5,0,-40,0,40,-40,50,15,50,-40,10,5,-10,-50,5,50,50,50,35,25,35,10,-50,0,-35,-35,0,-50,-50,-10,-10,25,25,20,20,6,1,4,5,6,4,37,2,,1,,,4,,2,1,,4,10,,1,1,New York,,1,New York,,37,
1661,1/24/23 12:02,R_1i9eQNz0x41R0gv,5bcfa2f23288fb000103f682,Each person needs to collect one bucket of water,one,to leave the line and try to get water faster for themselves instead of everyone staying in line,-17,22,7,-40,-41,0,-42,-31,0,-41,45,39,37,0,18,-11,-31,-31,0,39,40,40,6,0,28,28,-39,0,-31,-31,-10,-50,-30,-29,-32,29,33,17,0,4,4,4,4,3,3,40,1,,1,,,6,,2,1,,3,11,,1,1,Oregon,,1,Oregon,,40,No
