map,condition,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
no_line_1,line,17,21,25,29,33,37,41,45
no_line_1,1cut,17,21,25,29,33,37,24,41
no_line_2,line,14,18,22,26,30,34,38,42
no_line_2,1cut,14,18,22,26,30,34,11,38
no_line_3,line,15,19,23,27,31,35,39,43
no_line_3,1cut,15,19,23,27,31,35,24,39
yes_line_7,line,17,21,25,29,33,37,41,45
yes_line_7,1cut,17,21,29,33,37,41,25,45
yes_line_8,line,27,28,29,43,44,45,57,58
yes_line_8,1cut,30,31,32,43,44,56,42,57
yes_line_9,line,15,16,20,21,25,26,30,31
yes_line_9,1cut,15,19,20,24,25,29,30,14
yes_line_10,line,21,29,37,45,53,61,69,77
yes_line_10,1cut,31,39,47,55,63,71,30,79
yes_line_10,1cut_bad,42,50,60,68,77,85,49,93
7esque,line,17,21,25,29,33,37,41,45
7esque,1cut,17,21,29,33,25,37,41,45
9esque,line,14,15,25,26,36,37,47,48
9esque,1cut,14,15,27,28,38,39,49,17
10esque,line,21,29,37,45,53,61,69,77
10esque,1cut,21,29,45,53,61,69,37,77
maybe_4,line,15,19,23,27,31,35,39,43
maybe_4,1cut,15,19,23,27,31,35,17,39
maybe_5,line,16,22,28,34,40,46,52,58
maybe_5,1cut,16,22,28,34,40,46,23,52
maybe_6,line,23,27,31,35,39,43,47,51
maybe_6,1cut,23,27,31,35,39,43,31,47
new_maybe_1,line,15,19,23,27,31,35,39,43
new_maybe_1,1cut,15,19,23,27,31,35,39,14
new_maybe_2,line,16,20,24,28,32,36,40,44
new_maybe_2,1cut,16,20,24,28,32,36,29,40
new_maybe_3,line,17,23,29,35,41,47,53,59
new_maybe_3,1cut,19,23,29,35,41,47,27,53
new_maybe_3,1cut_bad,22,23,30,35,41,47,29,53
new_maybe_3,1cut_badder,32,30,40,46,52,58,34,64
new_maybe_4,line,28,32,36,40,44,48,52,56
new_maybe_4,1cut,32,33,36,31,40,44,48,52
new_maybe_4,1cut_bad,40,41,42,43,44,38,48,52
new_maybe_5,line,34,31,57,54,81,78,106,103
new_maybe_5,1cut,37,36,61,58,35,85,82,105
new_maybe_5,1cut_bad,45,44,69,66,93,43,90,113
new_maybe_6,line,32,33,37,38,42,43,47,48
new_maybe_6,1cut,32,33,30,37,38,42,43,47
no_line_A,line,14,18,22,26,30,34,38,42
no_line_A,1cut,14,18,22,26,30,34,18,38
no_line_B,line,18,22,26,30,34,38,42,46
no_line_B,1cut,18,22,26,30,34,38,17,42
no_line_C,line,22,26,30,34,38,42,46,50
no_line_C,1cut,22,26,30,34,38,42,17,46
no_line_D,line,9,13,17,21,25,29,33,37
no_line_D,1cut,9,13,17,21,25,29,19,33
yes_line_A,line,16,20,24,28,32,36,40,44
yes_line_A,1cut,16,20,24,32,36,28,40,44
yes_line_B,line,36,40,44,48,52,56,60,64
yes_line_B,1cut,36,40,44,48,52,56,60,39
yes_line_B,1cut_bad,41,42,44,49,48,52,56,60
yes_line_B,1cut_badder,40,42,49,51,57,59,60,64
yes_line_C,line,17,21,25,29,33,37,41,45
yes_line_C,1cut,17,21,25,29,33,37,41,12
yes_line_C,1cut_bad,18,21,25,29,17,33,37,41
yes_line_C,1cut_badder,21,30,31,32,28,36,40,44
yes_line_D,line,16,20,24,28,32,36,40,44
yes_line_D,1cut,16,20,24,28,32,36,40,19
yes_line_D,1cut_bad,18,23,27,31,35,39,43,22
yes_line_D,1cut_badder,23,24,28,32,36,40,44,22
yes_line_E,line,34,38,42,46,50,54,58,62
yes_line_E,1cut,52,56,58,62,64,65,68,73
yes_line_F,line,44,45,46,47,48,49,50,51
yes_line_F,1cut,43,44,45,46,47,48,49,34
