stimulus,focal_agent_position
demo_bad,7
maybe_4_1cut,6
maybe_5_1cut,6
maybe_6_1cut,6
new_maybe_1_1cut,7
new_maybe_2_1cut,6
new_maybe_3_1cut,6
new_maybe_3_bad,6
new_maybe_3_badder,6
new_maybe_4_1cut,3
new_maybe_4_bad,5
new_maybe_5_1cut,4
new_maybe_5_bad,5
new_maybe_6_1cut,2
new_no_1cut,6
new_no_2_1cut,6
new_no_3_1cut,6
new_yes_7_1cut,6
new_yes_7esque_1cut,4
new_yes_8_1cut,6
new_yes_9_1cut,7
new_yes_9esque_1cut,7
new_yes_10_1cut,6
new_yes_10_bad,6
new_yes_10mod_1cut,6
noline_A_1cut,6
noline_B_1cut,6
noline_C_1cut,6
noline_D_1cut,6
yes_line_7_0cut,6
yesline_B_1cut,7
yesline_B_bad,4
yesline_B_badder,4
yesline_C_1cut,7
yesline_C_bad,4
yesline_C_badder,4
yesline_D_1cut,7
yesline_D_bad,7
yesline_D_badder,7
yesline_E_1cut,6
yesline_F_1cut,7
