run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.0001,15,24,33,44,54,22,17,17,0.13953488372093023,12.0,1.2790697674418605,0.2558139534883721,0.07228410131217577
2,0.0001,15,24,33,54,43,21,17,17,0.18604651162790697,12.0,1.255813953488372,0.2558139534883721,0.07231373152709342
3,0.0001,15,24,33,42,28,19,17,17,0.8604651162790697,12.0,0.6976744186046512,-0.023255813953488372,0.015760389036250988
4,0.0001,15,24,33,42,59,19,17,17,0.13953488372093023,12.0,1.3488372093023255,0.37209302325581395,0.08777082697589256
5,0.0001,15,24,33,46,55,21,17,17,0.09302325581395349,12.0,1.3488372093023255,0.27906976744186046,0.07993042952208107
6,0.0001,15,24,33,44,51,19,17,17,0.27906976744186046,12.0,1.2093023255813953,0.18604651162790697,0.06896551724137923
7,0.0001,15,24,33,42,53,19,17,17,0.27906976744186046,12.0,1.2093023255813953,0.23255813953488372,0.07123824451410643
8,0.0001,15,24,33,44,34,19,17,17,0.6744186046511628,12.0,0.813953488372093,0.023255813953488372,0.02894088669950734
9,0.0001,15,24,33,42,55,22,17,17,0.16279069767441862,12.0,1.255813953488372,0.27906976744186046,0.071743295019157
10,0.0001,15,24,33,44,59,19,17,17,0.09302325581395349,12.0,1.3953488372093024,0.37209302325581395,0.09089534180278269
11,0.0001,15,24,33,42,51,19,17,17,0.32558139534883723,12.0,1.1627906976744187,0.18604651162790697,0.06552515026890227
12,0.0001,15,30,38,44,48,23,17,17,-0.0,12.0,1.3953488372093024,0.11627906976744186,0.0538793103448274
13,0.0001,15,24,33,42,56,25,17,17,0.06976744186046512,11.0,1.2790697674418605,0.3023255813953488,0.07060307182653203
14,0.0001,15,24,33,44,53,19,17,17,0.23255813953488372,12.0,1.255813953488372,0.23255813953488372,0.07459614787200985
15,0.0001,15,24,33,42,51,19,17,17,0.32558139534883723,12.0,1.1627906976744187,0.18604651162790697,0.06552515026890227
16,0.0001,15,24,53,34,43,19,17,17,0.23255813953488372,12.0,1.255813953488372,0.23255813953488372,0.07347002174588368
17,0.0001,15,25,33,42,55,19,17,17,0.20930232558139536,12.0,1.2790697674418605,0.27906976744186046,0.07625251275707434
18,0.0001,15,24,33,54,45,19,17,17,0.18604651162790697,12.0,1.302325581395349,0.2558139534883721,0.07901016009852202
19,0.0001,15,24,33,52,43,23,17,17,0.18604651162790697,12.0,1.2093023255813953,0.20930232558139536,0.06338516009852202
