run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.0001,20,21,16,19,16,16,29,18,2.1956521739130435,12.0,0.043478260869565216,-0.32608695652173914,-0.0600302419354839
2,0.0001,19,26,16,21,16,16,18,18,2.3043478260869565,14.0,0.10869565217391304,-0.391304347826087,-0.07739583333333333
3,0.0001,18,23,16,18,16,16,22,18,2.369565217391304,10.0,0.021739130434782608,-0.45652173913043476,-0.09178358843537415
4,0.0001,19,30,16,25,16,16,18,18,2.130434782608696,14.0,0.1956521739130435,-0.30434782608695654,-0.043809335443038
5,0.0001,20,22,20,17,16,16,26,18,2.1956521739130435,13.0,0.043478260869565216,-0.391304347826087,-0.07454637096774186
6,0.0001,20,27,20,17,16,16,24,18,2.130434782608696,13.0,0.15217391304347827,-0.3695652173913043,-0.06279667721518978
7,0.0001,19,21,16,19,16,16,27,18,2.260869565217391,12.0,0.021739130434782608,-0.3695652173913043,-0.07195723684210531
8,0.0001,20,30,19,17,16,16,19,22,2.108695652173913,12.0,0.21739130434782608,-0.30434782608695654,-0.05635809748427678
9,0.0001,20,22,20,17,16,16,28,18,2.152173913043478,13.0,0.043478260869565216,-0.34782608695652173,-0.06454020700636942
10,0.0001,18,21,19,17,16,16,24,18,2.3260869565217392,12.0,0.0,-0.43478260869565216,-0.09107592281879184
11,0.0001,20,24,16,19,16,16,25,18,2.217391304347826,12.0,0.08695652173913043,-0.41304347826086957,-0.0699066558441559
12,0.0001,18,21,16,21,16,16,27,18,2.239130434782609,11.0,0.0,-0.3695652173913043,-0.06847426470588225
13,0.0001,19,21,16,27,16,16,23,18,2.1739130434782608,12.0,0.021739130434782608,-0.3695652173913043,-0.061498397435897356
14,0.0001,18,22,20,17,16,16,21,25,2.1956521739130435,10.0,0.0,-0.41304347826086957,-0.07777217741935494
15,0.0001,20,20,16,23,16,16,31,18,2.0869565217391304,12.0,0.043478260869565216,-0.2826086956521739,-0.043749999999999956
16,0.0001,19,23,16,27,16,16,19,18,2.217391304347826,13.0,0.043478260869565216,-0.3695652173913043,-0.06503652597402598
17,0.0001,18,21,16,20,16,16,23,18,2.347826086956522,11.0,0.0,-0.45652173913043476,-0.09142736486486491
18,0.0001,20,22,20,17,16,16,27,18,2.1739130434782608,13.0,0.043478260869565216,-0.3695652173913043,-0.06951121794871784
19,0.0001,20,21,16,19,16,16,25,18,2.282608695652174,12.0,0.043478260869565216,-0.41304347826086957,-0.08045322847682113
20,0.0001,18,21,16,22,16,16,29,18,2.1739130434782608,11.0,0.0,-0.32608695652173914,-0.05508814102564097
21,0.0001,18,27,16,18,16,16,25,18,2.217391304347826,10.0,0.10869565217391304,-0.3695652173913043,-0.06016639610389607
22,0.0001,20,21,16,18,16,16,27,18,2.260869565217391,11.0,0.043478260869565216,-0.3695652173913043,-0.0703125
23,0.0001,20,24,20,17,16,16,20,18,2.282608695652174,13.0,0.08695652173913043,-0.43478260869565216,-0.09204263245033117
24,0.0001,18,25,16,23,16,16,19,18,2.282608695652174,12.0,0.06521739130434782,-0.41304347826086957,-0.07548634105960272
25,0.0001,18,23,16,21,16,16,18,18,2.391304347826087,12.0,0.021739130434782608,-0.45652173913043476,-0.09556934931506844
26,0.0001,18,25,16,19,16,16,18,18,2.391304347826087,12.0,0.06521739130434782,-0.41304347826086957,-0.09214469178082196
27,0.0001,18,25,20,17,16,16,24,18,2.217391304347826,12.0,0.06521739130434782,-0.41304347826086957,-0.07315340909090917
28,0.0001,18,21,16,22,16,16,27,18,2.217391304347826,11.0,0.0,-0.3695652173913043,-0.06503652597402598
29,0.0001,18,18,16,24,16,16,18,18,2.4347826086956523,10.0,0.0,-0.43478260869565216,-0.1015625
30,0.0001,20,28,20,17,16,16,27,18,2.0434782608695654,13.0,0.17391304347826086,-0.34782608695652173,-0.0483217592592593
31,0.0001,18,21,19,22,16,16,31,25,1.9130434782608696,9.0,0.0,-0.2826086956521739,-0.042038690476190466
32,0.0001,18,24,16,20,16,16,20,18,2.347826086956522,11.0,0.043478260869565216,-0.43478260869565216,-0.08973817567567566
33,0.0001,20,25,20,17,16,16,25,18,2.152173913043478,13.0,0.10869565217391304,-0.41304347826086957,-0.06931727707006363
34,0.0001,20,26,23,17,16,16,24,20,2.0434782608695654,12.0,0.13043478260869565,-0.391304347826087,-0.06529706790123457
35,0.0001,21,21,16,21,16,16,19,18,2.347826086956522,14.0,0.06521739130434782,-0.5,-0.09987331081081074
36,0.0001,22,23,16,29,16,16,23,18,2.0217391304347827,12.0,0.10869565217391304,-0.32608695652173914,-0.04826495398773001
37,0.0001,18,24,16,21,16,16,29,18,2.130434782608696,11.0,0.043478260869565216,-0.32608695652173914,-0.048556170886076
38,0.0001,20,33,16,19,16,16,25,18,2.0217391304347827,12.0,0.2826086956521739,-0.2391304347826087,-0.028326303680981546
39,0.0001,18,23,20,17,16,16,22,18,2.3043478260869565,12.0,0.021739130434782608,-0.45652173913043476,-0.09072916666666675
40,0.0001,21,21,20,17,16,16,27,18,2.1739130434782608,13.0,0.06521739130434782,-0.3695652173913043,-0.07111378205128216
41,0.0001,18,22,16,21,16,16,18,18,2.4130434782608696,12.0,0.0,-0.4782608695652174,-0.10113146551724128
42,0.0001,18,19,16,25,16,16,18,18,2.391304347826087,12.0,0.0,-0.41304347826086957,-0.09214469178082196
43,0.0001,18,24,17,19,16,16,26,18,2.217391304347826,11.0,0.043478260869565216,-0.391304347826087,-0.0699066558441559
44,0.0001,20,27,19,17,16,16,22,18,2.1956521739130435,13.0,0.15217391304347827,-0.3695652173913043,-0.06970766129032269
45,0.0001,26,21,16,19,16,16,21,18,2.239130434782609,12.0,0.17391304347826086,-0.391304347826087,-0.07337622549019618
46,0.0001,20,28,22,17,16,16,21,18,2.130434782608696,14.0,0.17391304347826086,-0.34782608695652173,-0.06279667721518978
47,0.0001,20,27,16,19,16,16,31,18,2.0217391304347827,12.0,0.15217391304347827,-0.2826086956521739,-0.031393788343558215
48,0.0001,20,20,16,29,16,16,20,18,2.1956521739130435,12.0,0.043478260869565216,-0.32608695652173914,-0.06325604838709675
49,0.0001,18,25,16,21,16,16,22,18,2.260869565217391,11.0,0.06521739130434782,-0.41304347826086957,-0.07524671052631571
50,0.0001,18,21,16,20,16,16,22,18,2.369565217391304,11.0,0.0,-0.4782608695652174,-0.09688562925170063
