run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.0001,17,33,26,39,65,52,47,52,-1.8444444444444446,4.0,1.8444444444444446,0.4444444444444444,0.031173862196666846
2,0.0001,19,24,30,33,47,54,70,53,-1.8222222222222222,2.0,1.8222222222222222,0.5111111111111111,0.054130009775170906
3,0.0001,23,60,48,31,25,44,54,65,-2.2666666666666666,7.0,2.4444444444444446,0.3111111111111111,0.024216589861751014
4,0.0001,19,24,44,33,41,54,59,65,-2.022222222222222,2.0,2.022222222222222,0.4,0.03824103149681224
5,0.0001,19,34,24,42,66,51,55,43,-1.9111111111111112,4.0,1.9777777777777779,0.4222222222222222,0.031243963685532172
6,0.0001,19,26,35,58,45,55,40,63,-2.066666666666667,3.0,2.088888888888889,0.35555555555555557,0.0260263929618767
7,0.0001,19,26,34,61,37,70,43,51,-2.066666666666667,5.0,2.066666666666667,0.5111111111111111,0.04655425219941334
8,0.0001,25,31,46,30,37,63,56,61,-2.2444444444444445,5.0,2.2444444444444445,0.2222222222222222,0.011519086791755173
9,0.0001,21,22,31,38,53,41,61,62,-1.8,1.0,1.8,0.28888888888888886,0.03999166584959313
10,0.0001,23,27,32,37,56,46,52,70,-2.111111111111111,2.0,2.111111111111111,0.4222222222222222,0.02853145866641582
11,0.0001,19,26,36,60,53,45,62,40,-2.066666666666667,5.0,2.1777777777777776,0.3333333333333333,0.02382697947214063
12,0.0001,19,24,31,51,37,42,50,65,-1.5777777777777777,3.0,1.5777777777777777,0.4,0.03401506724643544
13,0.0001,21,28,33,36,42,49,62,68,-2.022222222222222,0.0,2.022222222222222,0.4222222222222222,0.034553715862593926
14,0.0001,21,27,35,42,45,50,64,55,-2.022222222222222,1.0,2.022222222222222,0.3333333333333333,0.010954895803596765
15,0.0001,21,28,68,43,35,46,49,58,-2.2222222222222223,5.0,2.2222222222222223,0.4222222222222222,0.0188635520949203
16,0.0001,25,38,22,46,28,54,58,65,-1.9555555555555555,4.0,2.1333333333333333,0.3333333333333333,0.0360023041474653
17,0.0001,21,41,28,29,48,38,63,54,-1.6444444444444444,5.0,1.6444444444444444,0.3111111111111111,0.01853336004808659
18,0.0001,17,22,30,36,49,49,65,60,-1.7777777777777777,1.0,1.7777777777777777,0.4444444444444444,0.05777930763178585
19,0.0001,17,28,42,48,37,58,51,68,-2.2444444444444445,3.0,2.2444444444444445,0.5111111111111111,0.029427396247342585
20,0.0001,19,23,33,40,41,48,64,60,-1.7777777777777777,1.0,1.7777777777777777,0.37777777777777777,0.03872442958300537
21,0.0001,17,27,37,52,72,30,45,59,-2.022222222222222,6.0,2.1777777777777776,0.6,0.058889999048434616
22,0.0001,17,23,32,34,67,45,51,56,-1.711111111111111,3.0,1.711111111111111,0.4888888888888889,0.05487593052109174
23,0.0001,19,26,30,36,44,61,51,68,-1.9333333333333333,1.0,1.9333333333333333,0.4666666666666667,0.050421280693307535
24,0.0001,17,42,23,36,36,48,64,55,-1.6222222222222222,4.0,1.6666666666666667,0.4222222222222222,0.03742086222490193
25,0.0001,21,34,23,48,59,42,64,53,-2.1333333333333333,5.0,2.1777777777777776,0.3333333333333333,0.02831957989497358
26,0.0001,21,23,30,46,39,62,55,56,-1.8666666666666667,3.0,1.8666666666666667,0.28888888888888886,0.031699378157792335
27,0.0001,19,25,33,48,45,54,63,56,-2.111111111111111,2.0,2.111111111111111,0.35555555555555557,0.02342941785008934
28,0.0001,21,26,32,36,42,53,64,64,-2.0,0.0,2.0,0.3333333333333333,0.03774575300629879
29,0.0001,19,27,34,67,55,42,58,46,-2.2222222222222223,5.0,2.2222222222222223,0.4444444444444444,0.031076195773081183
30,0.0001,19,32,30,42,46,49,58,64,-2.0444444444444443,1.0,2.0444444444444443,0.37777777777777777,0.01814516129032251
31,0.0001,17,26,32,39,40,50,57,64,-1.711111111111111,0.0,1.711111111111111,0.4222222222222222,0.037952853598014924
