run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.0001,45,63,49,85,96,94,58,47,-2.140625,9.0,2.4375,0.359375,0.05910614525139657
2,0.0001,42,57,62,95,89,103,58,47,-2.390625,9.0,2.6875,0.515625,0.06837251356238694
3,0.0001,44,56,61,83,77,93,56,47,-1.828125,9.0,2.15625,0.328125,0.03789168278529975
4,0.0001,41,55,60,72,87,96,53,45,-1.703125,10.0,2.109375,0.421875,0.05634577603143409
5,0.0001,41,74,49,92,94,83,75,39,-2.296875,9.0,2.6875,0.421875,0.06478976234003664
6,0.0001,36,61,50,66,89,99,62,47,-1.71875,8.0,1.984375,0.546875,0.06656862745098047
7,0.0001,59,66,49,57,95,93,65,48,-2.0625,11.0,2.3125,0.296875,0.031748120300751914
8,0.0001,45,54,69,115,81,102,66,39,-2.671875,10.0,3.0625,0.75,0.09224168126094567
9,0.0001,54,77,49,62,110,86,54,45,-2.140625,11.0,2.53125,0.578125,0.06189944134078207
10,0.0001,44,51,58,85,96,93,64,43,-2.09375,9.0,2.421875,0.390625,0.06447565543071154
11,0.0001,41,61,47,93,73,99,55,48,-1.828125,9.0,2.15625,0.46875,0.0683558994197293
12,0.0001,35,49,74,64,93,57,102,52,-1.96875,7.0,2.171875,0.609375,0.0760836501901141
13,0.0001,42,61,52,88,91,97,54,44,-2.015625,9.0,2.421875,0.421875,0.0686767485822306
14,0.0001,43,53,56,88,86,93,56,47,-1.90625,8.0,2.234375,0.34375,0.0516091954022988
15,0.0001,41,64,55,83,85,92,53,45,-1.84375,10.0,2.25,0.359375,0.053301158301158225
16,0.0001,42,51,64,76,95,72,85,46,-2.046875,7.0,2.328125,0.390625,0.0477777777777777
17,0.0001,48,56,81,102,88,64,88,48,-2.734375,8.0,2.984375,0.40625,0.045217391304347876
18,0.0001,51,47,71,61,56,89,92,49,-1.8125,8.0,2.046875,0.265625,0.03550387596899229
19,0.0001,40,48,54,79,90,87,56,45,-1.546875,8.0,1.90625,0.34375,0.05907815631262525
20,0.0001,48,43,58,97,93,80,57,48,-1.9375,9.0,2.234375,0.40625,0.0619847328244274
21,0.0001,40,46,53,94,105,72,58,72,-2.1875,6.0,2.21875,0.578125,0.07231481481481494
22,0.0001,41,46,83,61,110,76,80,39,-2.125,9.0,2.515625,0.671875,0.08716417910447771
23,0.0001,50,66,60,58,98,105,68,46,-2.359375,9.0,2.640625,0.484375,0.051306715063520913
24,0.0001,43,51,60,86,98,82,60,47,-1.984375,8.0,2.25,0.421875,0.054629981024667984
25,0.0001,43,50,69,80,100,95,58,49,-2.25,9.0,2.515625,0.453125,0.0627389705882353
26,0.0001,39,58,75,101,66,86,57,46,-2.0,10.0,2.328125,0.53125,0.05977272727272731
27,0.0001,56,45,70,61,98,70,53,44,-1.515625,11.0,1.9375,0.40625,0.03559356136820924
28,0.0001,41,81,70,56,101,72,60,44,-1.953125,10.0,2.265625,0.5,0.052857142857142936
29,0.0001,55,45,64,80,88,88,57,48,-1.953125,10.0,2.25,0.234375,0.033809523809523734
30,0.0001,44,54,83,67,98,89,57,46,-2.15625,9.0,2.484375,0.40625,0.05531598513011149
31,0.0001,38,44,69,71,85,95,54,44,-1.5625,8.0,1.96875,0.453125,0.07000000000000006
32,0.0001,39,57,90,64,79,79,57,45,-1.71875,9.0,2.0625,0.359375,0.042058823529411704
33,0.0001,63,50,72,95,87,83,60,43,-2.390625,11.0,2.71875,0.375,0.03672694394213383
34,0.0001,54,77,42,59,86,83,53,45,-1.546875,12.0,1.984375,0.25,0.03903807615230459
35,0.0001,53,42,79,81,88,87,52,43,-1.953125,11.0,2.40625,0.28125,0.05095238095238086
36,0.0001,39,60,46,73,83,71,81,46,-1.546875,7.0,1.828125,0.25,0.03903807615230459
37,0.0001,40,82,57,70,81,108,58,49,-2.265625,9.0,2.53125,0.625,0.061284403669724874
38,0.0001,35,43,64,83,70,92,54,45,-1.34375,8.0,1.75,0.453125,0.07092592592592584
39,0.0001,37,46,55,81,89,87,56,46,-1.515625,7.0,1.859375,0.375,0.06476861167002013
40,0.0001,61,65,72,81,98,69,51,59,-2.4375,13.0,2.65625,0.296875,0.0020143884892085406
41,0.0001,38,47,61,87,90,64,71,55,-1.765625,7.0,1.90625,0.375,0.0448538011695907
42,0.0001,42,49,75,83,97,91,56,47,-2.1875,9.0,2.515625,0.421875,0.06305555555555564
43,0.0001,41,54,65,92,119,84,78,45,-2.78125,8.0,3.078125,0.78125,0.0861764705882353
44,0.0001,48,62,67,77,93,102,61,48,-2.46875,10.0,2.71875,0.40625,0.04195340501792111
45,0.0001,41,89,53,65,80,88,56,58,-2.03125,9.0,2.1875,0.3125,0.034150943396226374
46,0.0001,53,58,99,65,71,50,89,43,-2.0,11.0,2.421875,0.4375,0.048409090909090846
47,0.0001,36,43,66,72,88,80,51,44,-1.25,8.0,1.703125,0.375,0.06374999999999997
48,0.0001,59,83,50,65,72,75,65,45,-1.78125,10.0,2.078125,0.15625,-0.0004280155642022443
49,0.0001,40,68,71,81,105,69,79,41,-2.40625,9.0,2.765625,0.578125,0.05068592057761734
50,0.0001,39,54,44,96,80,89,61,46,-1.703125,8.0,1.984375,0.453125,0.07500982318271121
