run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.0001,31,98,45,83,61,85,57,34,-2.235294117647059,9.0,2.843137254901961,1.1764705882352942,0.1854251012145749
2,0.0001,26,59,73,49,89,90,58,46,-2.156862745098039,10.0,2.607843137254902,1.1176470588235294,0.1601235230934479
3,0.0001,26,81,61,44,107,57,85,34,-2.2549019607843137,9.0,3.0,1.4509803921568627,0.20898458266879327
4,0.0001,28,45,56,75,89,76,53,34,-1.4901960784313726,9.0,2.1372549019607843,1.0588235294117647,0.17247807017543848
5,0.0001,55,68,40,85,53,101,74,34,-2.549019607843137,11.0,3.0,1.1764705882352942,0.16109391124870998
6,0.0001,28,44,59,61,74,94,84,34,-1.9215686274509804,6.0,2.588235294117647,1.1568627450980393,0.18261946707773613
7,0.0001,29,60,43,74,95,79,55,34,-1.7450980392156863,9.0,2.4313725490196076,1.1568627450980393,0.1815901694534845
8,0.0001,35,80,43,62,84,103,60,35,-2.392156862745098,9.0,2.9411764705882355,1.196078431372549,0.18003774376179482
9,0.0001,28,42,64,76,87,103,57,34,-2.176470588235294,9.0,2.8823529411764706,1.3333333333333333,0.2012380748204523
10,0.0001,30,42,64,62,86,95,76,34,-2.1372549019607843,7.0,2.803921568627451,1.1372549019607843,0.1817242492734905
11,0.0001,28,41,61,71,57,88,95,34,-1.8627450980392157,7.0,2.588235294117647,1.1764705882352942,0.19157894736842107
12,0.0001,26,44,56,72,92,91,49,58,-2.1176470588235294,7.0,2.5098039215686274,1.1568627450980393,0.16908973252804138
13,0.0001,32,45,61,61,90,76,98,34,-2.2941176470588234,6.0,2.8627450980392157,1.1568627450980393,0.18237848141480462
14,0.0001,28,96,40,57,72,85,57,34,-1.7450980392156863,8.0,2.5098039215686274,1.196078431372549,0.19278419930423074
15,0.0001,28,46,60,91,79,84,60,39,-2.0980392156862746,8.0,2.6470588235294117,1.0980392156862746,0.1687236571922619
16,0.0001,26,99,51,83,90,67,60,34,-2.549019607843137,10.0,3.235294117647059,1.2941176470588236,0.1914860681114552
17,0.0001,27,38,92,61,76,81,55,34,-1.6470588235294117,9.0,2.450980392156863,1.1372549019607843,0.19057962794918337
18,0.0001,26,43,63,87,85,61,94,34,-2.215686274509804,8.0,2.9411764705882355,1.196078431372549,0.19270310665100876
19,0.0001,26,60,39,71,85,96,65,43,-2.0588235294117645,8.0,2.7058823529411766,1.2352941176470589,0.18087357569180673
20,0.0001,28,42,60,74,81,96,55,34,-1.7647058823529411,9.0,2.4705882352941178,1.196078431372549,0.18832586786114214
21,0.0001,30,45,104,61,78,83,61,37,-2.3333333333333335,8.0,2.8823529411764706,1.3137254901960784,0.18454276975002637
22,0.0001,38,44,58,80,93,79,57,38,-2.0980392156862746,9.0,2.4901960784313726,0.9411764705882353,0.15229655246946927
23,0.0001,33,43,108,61,79,86,56,34,-2.3529411764705883,9.0,2.9411764705882355,1.3333333333333333,0.19686842105263147
24,0.0001,30,40,55,72,96,81,58,34,-1.6862745098039216,8.0,2.392156862745098,1.1568627450980393,0.18588773435735262
