run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,16,23,64,46,90,93,32,63
2,0.0001,32,28,32,63,56,51,44,23
3,0.0001,16,19,47,59,41,36,25,22
4,0.0001,14,20,46,31,58,38,49,31
5,0.0001,16,19,53,38,34,46,44,23
6,0.0001,16,26,43,50,34,61,43,20
7,0.0001,16,19,32,65,35,46,37,30
8,0.0001,27,29,19,49,57,67,43,35
9,0.0001,16,21,51,59,39,45,41,35
10,0.0001,30,31,38,83,49,58,34,24
11,0.0001,16,20,54,35,48,41,30,23
12,0.0001,46,25,58,31,59,43,36,31
13,0.0001,46,18,34,51,56,41,36,30
14,0.0001,14,41,43,55,63,42,64,29
15,0.0001,20,23,50,60,73,35,58,29
16,0.0001,20,26,42,46,46,69,34,32
17,0.0001,14,17,28,55,42,47,34,31
18,0.0001,33,22,40,57,30,66,44,43
19,0.0001,31,23,40,74,69,56,38,17
20,0.0001,27,17,60,71,32,47,39,35
21,0.0001,20,24,32,55,60,63,44,38
22,0.0001,16,34,20,68,54,40,36,44
23,0.0001,26,47,29,40,93,49,74,19
24,0.0001,22,28,43,51,55,62,67,17
25,0.0001,16,19,37,61,48,66,42,32
26,0.0001,17,21,40,49,56,36,28,25
27,0.0001,37,23,37,47,73,32,41,17
28,0.0001,26,21,42,67,48,35,54,17
29,0.0001,36,20,41,33,48,54,58,17
30,0.0001,18,48,85,59,37,49,34,38
31,0.0001,34,25,51,75,45,65,29,19
32,0.0001,16,29,24,64,39,55,60,31
33,0.0001,18,36,22,38,48,61,41,29
34,0.0001,15,18,37,49,36,54,26,40
35,0.0001,16,19,30,54,57,49,33,30
36,0.0001,16,21,66,51,46,37,45,25
37,0.0001,30,21,38,60,69,48,48,17
38,0.0001,17,23,57,67,47,41,48,23
39,0.0001,32,24,56,43,61,38,39,17
40,0.0001,20,28,33,48,63,44,67,37
41,0.0001,36,25,39,57,60,66,48,19
42,0.0001,14,27,30,54,60,40,41,31
43,0.0001,17,29,51,45,59,33,38,22
44,0.0001,37,27,37,50,71,64,29,32
45,0.0001,14,39,54,63,32,46,38,23
46,0.0001,15,20,53,46,37,38,47,26
47,0.0001,34,27,21,43,39,53,55,31
48,0.0001,61,20,34,35,53,41,64,17
49,0.0001,14,30,42,64,51,72,55,43
50,0.0001,16,58,25,45,50,52,33,20
