run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,29,59,46,73,122,49,89,102
2,0.0001,155,42,30,98,68,153,55,82
3,0.0001,54,37,45,108,63,75,84,99
4,0.0001,40,61,30,47,71,85,117,94
5,0.0001,36,47,30,91,80,75,110,95
6,0.0001,41,69,33,51,56,97,113,78
7,0.0001,133,120,30,46,100,58,87,72
8,0.0001,56,43,30,74,77,87,102,114
9,0.0001,184,43,30,118,149,56,72,85
10,0.0001,37,55,30,78,101,133,122,94
11,0.0001,58,70,30,51,92,82,102,120
12,0.0001,35,84,30,95,46,74,115,59
13,0.0001,109,67,30,100,44,53,80,120
14,0.0001,36,47,30,63,71,87,117,96
15,0.0001,76,43,30,70,55,95,113,103
16,0.0001,80,74,60,38,103,56,93,112
17,0.0001,45,58,35,52,110,102,97,76
18,0.0001,38,50,30,117,66,90,101,77
19,0.0001,37,130,30,50,79,92,116,62
20,0.0001,135,45,30,100,72,61,119,83
21,0.0001,63,71,54,38,86,80,118,101
22,0.0001,37,50,30,69,65,108,79,92
23,0.0001,51,57,38,61,80,157,93,104
24,0.0001,37,126,30,79,50,99,64,108
25,0.0001,67,108,30,45,88,112,55,94
26,0.0001,120,57,30,117,89,42,69,105
27,0.0001,98,115,30,53,42,113,77,64
28,0.0001,86,43,30,74,117,58,92,103
29,0.0001,37,52,30,70,119,101,71,93
30,0.0001,34,63,46,100,82,81,50,107
31,0.0001,65,43,30,57,76,138,113,92
32,0.0001,28,93,46,43,118,68,80,111
33,0.0001,34,66,30,85,51,77,92,106
34,0.0001,47,42,30,59,87,103,119,71
35,0.0001,45,63,30,81,74,100,110,88
36,0.0001,28,64,46,102,48,67,91,116
37,0.0001,46,61,37,88,113,54,99,74
38,0.0001,38,64,30,84,48,74,115,98
39,0.0001,42,84,30,59,73,59,97,110
40,0.0001,45,66,30,103,84,90,69,117
41,0.0001,55,108,30,124,42,88,73,75
42,0.0001,39,72,30,65,88,49,106,120
43,0.0001,40,91,31,51,56,84,113,127
44,0.0001,36,117,30,61,73,49,103,86
45,0.0001,34,54,30,102,96,117,80,67
46,0.0001,53,42,30,106,70,69,118,95
47,0.0001,83,41,53,71,102,67,114,104
48,0.0001,33,105,30,46,85,106,58,72
49,0.0001,132,43,54,71,104,68,82,116
50,0.0001,34,74,48,54,118,89,62,105
