run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,11,15,14,26,18,10,21,12
2,0.0001,10,15,18,17,22,10,23,12
3,0.0001,11,15,22,18,18,10,21,12
4,0.0001,12,15,14,21,17,10,19,12
5,0.0001,10,15,22,17,17,10,21,12
6,0.0001,11,15,14,21,17,10,19,12
7,0.0001,11,15,14,23,16,10,19,12
8,0.0001,10,15,22,18,18,10,21,12
9,0.0001,11,17,14,22,20,10,17,12
10,0.0001,10,15,22,18,18,10,21,12
11,0.0001,10,15,18,25,21,10,17,12
12,0.0001,11,15,22,18,16,10,17,12
13,0.0001,10,15,17,25,18,10,19,12
14,0.0001,10,15,22,18,16,10,21,12
15,0.0001,10,15,18,23,16,10,19,12
16,0.0001,11,15,15,23,17,10,21,12
17,0.0001,11,15,22,19,16,10,19,12
18,0.0001,10,15,22,17,17,10,21,12
19,0.0001,10,15,18,24,18,10,21,12
20,0.0001,10,15,17,22,21,10,20,12
21,0.0001,12,15,16,25,17,10,21,12
22,0.0001,11,15,22,18,20,10,21,12
23,0.0001,10,15,18,18,20,10,19,12
24,0.0001,10,15,22,19,17,10,19,12
25,0.0001,13,15,14,24,18,10,19,12
26,0.0001,10,15,25,19,16,10,19,12
27,0.0001,10,15,24,17,17,11,19,12
28,0.0001,10,15,16,29,20,10,22,12
29,0.0001,10,15,22,18,17,10,21,12
30,0.0001,10,15,20,25,18,10,21,12
31,0.0001,10,15,19,23,19,10,19,12
32,0.0001,10,15,18,20,15,11,21,12
33,0.0001,10,15,22,18,19,10,21,12
34,0.0001,10,16,18,22,17,10,19,12
35,0.0001,10,15,22,17,19,10,21,12
36,0.0001,10,15,28,18,18,10,21,12
37,0.0001,11,15,14,21,15,11,19,12
38,0.0001,10,15,21,17,19,10,21,12
39,0.0001,10,15,22,17,17,10,19,12
40,0.0001,10,16,20,23,22,11,17,12
41,0.0001,10,15,17,21,17,10,19,12
42,0.0001,10,15,19,21,16,10,21,12
43,0.0001,11,15,24,20,15,11,19,12
44,0.0001,11,15,14,21,17,10,17,12
45,0.0001,10,15,22,18,18,10,21,12
46,0.0001,12,15,14,22,19,10,19,12
47,0.0001,11,15,17,21,16,11,19,12
48,0.0001,10,15,17,22,16,10,19,12
49,0.0001,10,15,22,19,17,10,22,12
50,0.0001,10,15,18,30,18,10,21,12
