run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,20,21,16,19,16,16,29,18
2,0.0001,19,26,16,21,16,16,18,18
3,0.0001,18,23,16,18,16,16,22,18
4,0.0001,19,30,16,25,16,16,18,18
5,0.0001,20,22,20,17,16,16,26,18
6,0.0001,20,27,20,17,16,16,24,18
7,0.0001,19,21,16,19,16,16,27,18
8,0.0001,20,30,19,17,16,16,19,22
9,0.0001,20,22,20,17,16,16,28,18
10,0.0001,18,21,19,17,16,16,24,18
11,0.0001,20,24,16,19,16,16,25,18
12,0.0001,18,21,16,21,16,16,27,18
13,0.0001,19,21,16,27,16,16,23,18
14,0.0001,18,22,20,17,16,16,21,25
15,0.0001,20,20,16,23,16,16,31,18
16,0.0001,19,23,16,27,16,16,19,18
17,0.0001,18,21,16,20,16,16,23,18
18,0.0001,20,22,20,17,16,16,27,18
19,0.0001,20,21,16,19,16,16,25,18
20,0.0001,18,21,16,22,16,16,29,18
21,0.0001,18,27,16,18,16,16,25,18
22,0.0001,20,21,16,18,16,16,27,18
23,0.0001,20,24,20,17,16,16,20,18
24,0.0001,18,25,16,23,16,16,19,18
25,0.0001,18,23,16,21,16,16,18,18
26,0.0001,18,25,16,19,16,16,18,18
27,0.0001,18,25,20,17,16,16,24,18
28,0.0001,18,21,16,22,16,16,27,18
29,0.0001,18,18,16,24,16,16,18,18
30,0.0001,20,28,20,17,16,16,27,18
31,0.0001,18,21,19,22,16,16,31,25
32,0.0001,18,24,16,20,16,16,20,18
33,0.0001,20,25,20,17,16,16,25,18
34,0.0001,20,26,23,17,16,16,24,20
35,0.0001,21,21,16,21,16,16,19,18
36,0.0001,22,23,16,29,16,16,23,18
37,0.0001,18,24,16,21,16,16,29,18
38,0.0001,20,33,16,19,16,16,25,18
39,0.0001,18,23,20,17,16,16,22,18
40,0.0001,21,21,20,17,16,16,27,18
41,0.0001,18,22,16,21,16,16,18,18
42,0.0001,18,19,16,25,16,16,18,18
43,0.0001,18,24,17,19,16,16,26,18
44,0.0001,20,27,19,17,16,16,22,18
45,0.0001,26,21,16,19,16,16,21,18
46,0.0001,20,28,22,17,16,16,21,18
47,0.0001,20,27,16,19,16,16,31,18
48,0.0001,20,20,16,29,16,16,20,18
49,0.0001,18,25,16,21,16,16,22,18
50,0.0001,18,21,16,20,16,16,22,18
