run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,9,13,24,32,15,18,18,31
2,0.0001,9,14,14,21,20,35,25,26
3,0.0001,9,13,18,16,17,18,28,25
4,0.0001,9,14,15,15,20,31,27,22
5,0.0001,9,13,15,19,39,21,36,24
6,0.0001,9,13,16,16,24,15,23,35
7,0.0001,9,13,15,19,30,22,29,32
8,0.0001,9,13,13,16,20,31,38,22
9,0.0001,9,14,14,16,28,41,46,25
10,0.0001,9,12,17,15,20,39,29,20
11,0.0001,9,33,14,29,19,18,44,24
12,0.0001,9,24,14,19,17,20,33,26
13,0.0001,9,13,15,21,36,43,41,18
14,0.0001,9,12,14,17,40,18,33,26
15,0.0001,9,13,13,21,32,32,25,20
16,0.0001,9,14,14,29,24,22,25,30
17,0.0001,9,13,16,16,59,15,34,29
18,0.0001,9,13,15,21,26,22,33,34
19,0.0001,9,13,18,16,19,39,35,26
20,0.0001,9,14,14,19,40,26,40,24
21,0.0001,9,13,16,16,26,24,17,26
22,0.0001,9,14,19,15,18,34,25,26
23,0.0001,9,13,15,17,35,22,17,29
24,0.0001,9,18,14,19,17,22,41,29
25,0.0001,9,13,26,24,17,26,33,18
26,0.0001,9,14,14,17,23,37,29,18
27,0.0001,9,14,14,19,26,18,27,44
28,0.0001,9,13,16,16,24,26,29,27
29,0.0001,9,14,14,21,31,16,40,24
30,0.0001,9,13,15,20,20,31,29,27
31,0.0001,9,13,15,21,27,35,33,22
32,0.0001,9,14,14,19,29,31,34,18
33,0.0001,9,13,15,21,26,20,39,30
34,0.0001,9,14,14,17,19,35,30,24
35,0.0001,9,14,24,15,41,34,27,34
36,0.0001,9,24,30,15,41,25,19,38
37,0.0001,9,14,14,19,22,34,17,33
38,0.0001,9,14,14,21,29,37,19,23
39,0.0001,9,13,16,22,17,25,17,35
40,0.0001,9,13,16,14,26,18,29,22
41,0.0001,9,13,22,32,42,16,39,20
42,0.0001,9,13,15,19,31,20,29,24
43,0.0001,9,24,14,17,19,21,30,45
44,0.0001,9,12,19,16,16,31,27,40
45,0.0001,9,14,26,15,15,21,33,47
46,0.0001,9,13,16,14,17,34,44,30
47,0.0001,9,14,14,17,31,29,19,26
48,0.0001,9,14,19,15,18,24,37,36
49,0.0001,9,13,16,16,15,42,25,37
50,0.0001,9,15,15,16,33,30,26,22
