run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,45,63,49,85,96,94,58,47
2,0.0001,42,57,62,95,89,103,58,47
3,0.0001,44,56,61,83,77,93,56,47
4,0.0001,41,55,60,72,87,96,53,45
5,0.0001,41,74,49,92,94,83,75,39
6,0.0001,36,61,50,66,89,99,62,47
7,0.0001,59,66,49,57,95,93,65,48
8,0.0001,45,54,69,115,81,102,66,39
9,0.0001,54,77,49,62,110,86,54,45
10,0.0001,44,51,58,85,96,93,64,43
11,0.0001,41,61,47,93,73,99,55,48
12,0.0001,35,49,74,64,93,57,102,52
13,0.0001,42,61,52,88,91,97,54,44
14,0.0001,43,53,56,88,86,93,56,47
15,0.0001,41,64,55,83,85,92,53,45
16,0.0001,42,51,64,76,95,72,85,46
17,0.0001,48,56,81,102,88,64,88,48
18,0.0001,51,47,71,61,56,89,92,49
19,0.0001,40,48,54,79,90,87,56,45
20,0.0001,48,43,58,97,93,80,57,48
21,0.0001,40,46,53,94,105,72,58,72
22,0.0001,41,46,83,61,110,76,80,39
23,0.0001,50,66,60,58,98,105,68,46
24,0.0001,43,51,60,86,98,82,60,47
25,0.0001,43,50,69,80,100,95,58,49
26,0.0001,39,58,75,101,66,86,57,46
27,0.0001,56,45,70,61,98,70,53,44
28,0.0001,41,81,70,56,101,72,60,44
29,0.0001,55,45,64,80,88,88,57,48
30,0.0001,44,54,83,67,98,89,57,46
31,0.0001,38,44,69,71,85,95,54,44
32,0.0001,39,57,90,64,79,79,57,45
33,0.0001,63,50,72,95,87,83,60,43
34,0.0001,54,77,42,59,86,83,53,45
35,0.0001,53,42,79,81,88,87,52,43
36,0.0001,39,60,46,73,83,71,81,46
37,0.0001,40,82,57,70,81,108,58,49
38,0.0001,35,43,64,83,70,92,54,45
39,0.0001,37,46,55,81,89,87,56,46
40,0.0001,61,65,72,81,98,69,51,59
41,0.0001,38,47,61,87,90,64,71,55
42,0.0001,42,49,75,83,97,91,56,47
43,0.0001,41,54,65,92,119,84,78,45
44,0.0001,48,62,67,77,93,102,61,48
45,0.0001,41,89,53,65,80,88,56,58
46,0.0001,53,58,99,65,71,50,89,43
47,0.0001,36,43,66,72,88,80,51,44
48,0.0001,59,83,50,65,72,75,65,45
49,0.0001,40,68,71,81,105,69,79,41
50,0.0001,39,54,44,96,80,89,61,46
