run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,28,22,32,57,49,45,80,12
2,0.0001,31,40,57,36,60,50,29,12
3,0.0001,54,22,43,67,61,38,48,12
4,0.0001,20,41,63,70,52,50,33,12
5,0.0001,32,41,39,50,57,32,24,12
6,0.0001,32,43,51,69,55,25,37,12
7,0.0001,17,23,39,51,59,31,41,12
8,0.0001,32,34,55,66,41,23,45,12
9,0.0001,31,32,67,49,56,23,52,12
10,0.0001,29,37,37,68,46,29,18,50
11,0.0001,34,51,40,25,64,42,35,12
12,0.0001,27,34,42,32,59,65,37,12
13,0.0001,33,44,83,45,52,65,23,12
14,0.0001,40,46,46,38,26,70,96,12
15,0.0001,31,44,59,68,26,45,36,12
16,0.0001,32,38,45,41,56,22,32,12
17,0.0001,19,43,37,43,53,72,31,12
18,0.0001,20,32,47,48,38,27,59,12
19,0.0001,28,29,46,67,79,40,22,12
20,0.0001,29,32,55,57,38,50,21,13
21,0.0001,20,35,41,56,45,30,75,12
22,0.0001,57,65,42,39,59,39,23,12
23,0.0001,20,65,35,44,29,62,54,12
24,0.0001,49,28,31,49,59,22,40,12
25,0.0001,28,46,55,55,39,67,23,12
26,0.0001,45,23,26,37,67,79,73,12
27,0.0001,31,50,54,65,73,37,22,12
28,0.0001,29,32,45,34,62,75,23,12
29,0.0001,31,36,55,40,33,43,24,12
30,0.0001,21,40,36,105,29,50,63,12
31,0.0001,18,34,51,75,60,44,67,12
32,0.0001,43,23,62,45,63,58,34,12
33,0.0001,17,55,32,48,29,40,89,12
34,0.0001,31,38,31,75,68,57,23,15
35,0.0001,35,37,44,48,55,66,23,12
36,0.0001,35,37,41,63,23,33,54,12
37,0.0001,18,39,33,40,55,50,29,12
38,0.0001,31,29,45,41,53,71,23,12
39,0.0001,28,40,36,61,57,49,23,12
40,0.0001,26,42,49,63,58,33,22,12
41,0.0001,31,35,28,57,46,48,23,12
42,0.0001,33,35,38,44,56,27,64,12
43,0.0001,39,29,35,24,59,44,34,12
44,0.0001,29,32,42,58,49,23,33,12
45,0.0001,28,39,36,47,71,22,59,12
46,0.0001,36,45,63,42,36,68,22,12
47,0.0001,19,38,59,36,30,86,50,12
48,0.0001,33,40,36,51,63,25,33,12
49,0.0001,33,31,70,49,24,74,44,12
50,0.0001,26,41,31,36,62,46,21,12
