run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,45,41,59,52,78,91,69,95
2,0.0001,45,37,61,61,93,83,103,97
3,0.0001,37,46,38,58,64,75,96,75
4,0.0001,50,62,45,71,78,90,86,107
5,0.0001,38,34,74,94,84,59,89,64
6,0.0001,38,45,72,50,83,62,75,94
7,0.0001,38,36,59,105,115,57,114,97
8,0.0001,37,42,55,65,80,98,90,71
9,0.0001,37,41,56,66,80,86,73,100
10,0.0001,36,47,38,69,66,90,94,102
11,0.0001,34,38,67,92,104,60,77,84
12,0.0001,36,48,43,64,55,75,76,104
13,0.0001,38,33,51,62,94,94,84,59
14,0.0001,36,39,89,60,106,56,94,87
15,0.0001,35,39,53,62,75,73,102,89
16,0.0001,42,36,67,61,82,108,84,117
17,0.0001,42,34,69,106,59,97,72,88
18,0.0001,37,43,56,73,75,93,81,95
19,0.0001,44,63,52,65,95,108,111,117
20,0.0001,39,34,62,68,85,95,108,94
21,0.0001,40,77,45,86,60,97,92,88
22,0.0001,42,34,98,85,101,118,73,86
23,0.0001,41,46,64,79,76,89,51,95
24,0.0001,37,33,60,68,94,73,82,100
25,0.0001,34,50,43,61,87,71,82,92
26,0.0001,40,51,43,75,68,60,83,87
27,0.0001,35,43,66,88,69,54,100,85
28,0.0001,36,42,54,71,85,95,68,98
29,0.0001,34,45,41,69,62,85,93,77
30,0.0001,38,34,59,64,108,94,78,97
31,0.0001,37,50,39,65,72,80,85,99
32,0.0001,34,47,39,70,77,62,92,96
33,0.0001,42,73,59,80,49,83,92,95
34,0.0001,36,40,38,76,70,95,86,97
35,0.0001,55,51,75,71,66,93,99,86
36,0.0001,38,43,109,74,90,66,104,93
37,0.0001,44,33,50,62,77,66,99,85
38,0.0001,44,59,38,72,73,66,108,99
39,0.0001,35,37,86,66,68,87,104,116
40,0.0001,36,46,44,73,61,64,84,89
41,0.0001,39,45,75,80,69,61,88,101
42,0.0001,34,41,56,65,85,72,82,95
43,0.0001,38,33,93,120,112,106,127,102
44,0.0001,42,69,52,72,81,56,98,88
45,0.0001,51,65,41,78,91,78,63,106
46,0.0001,37,50,44,75,85,93,65,71
47,0.0001,59,65,52,78,94,98,120,79
48,0.0001,42,34,110,62,63,91,102,95
49,0.0001,37,49,44,77,65,54,82,89
50,0.0001,61,49,71,114,61,75,95,102
