run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.0001,18,23,47,50,52,50,37,30,-1.2291666666666667,8.0,1.8125,0.0,-0.043415729746768994
2,0.0001,14,60,67,28,44,38,69,51,-2.5625,9.0,2.5625,0.4375,-0.0037768454916964345
3,0.0001,16,50,38,47,78,40,39,25,-1.7708333333333333,10.0,2.4166666666666665,0.5833333333333334,-0.0034449772352997954
4,0.0001,14,18,38,46,59,26,83,25,-1.2708333333333333,7.0,1.9791666666666667,0.7291666666666666,0.0848666353481573
5,0.0001,38,65,69,25,53,59,28,21,-2.2916666666666665,13.0,3.2708333333333335,0.2916666666666667,0.001070012614885485
6,0.0001,32,32,50,22,59,43,54,26,-1.4583333333333333,10.0,2.0,0.0625,-0.04140038547372704
7,0.0001,14,25,45,29,48,47,40,27,-0.5625,7.0,1.1458333333333333,0.0,-0.0360630498533725
8,0.0001,15,35,32,65,55,58,26,32,-1.4583333333333333,9.0,2.2291666666666665,0.3333333333333333,0.004983262325015225
9,0.0001,14,35,53,66,49,32,37,47,-1.7708333333333333,10.0,2.1041666666666665,0.375,-0.02821975201007465
10,0.0001,16,20,31,50,45,59,37,31,-0.8541666666666666,6.0,1.4166666666666667,0.1875,-0.007959872753655617
11,0.0001,14,33,42,56,37,42,64,29,-1.4375,7.0,1.8333333333333333,0.3333333333333333,-0.019925969268342447
12,0.0001,22,59,31,55,51,39,40,19,-1.4166666666666667,11.0,2.1666666666666665,0.125,-0.023632094732543907
13,0.0001,16,21,65,32,50,74,42,31,-1.7291666666666667,7.0,2.1875,0.5,0.037916626059838254
14,0.0001,27,32,73,35,76,45,42,30,-2.3333333333333335,8.0,2.8125,0.3125,-0.014068100358423097
15,0.0001,33,21,30,53,30,80,48,25,-1.5,9.0,2.1041666666666665,0.5208333333333334,0.01449092741935476
16,0.0001,30,24,70,47,34,61,38,43,-2.0625,9.0,2.3958333333333335,0.25,-0.03611020730686998
17,0.0001,15,19,45,56,42,44,51,33,-1.1875,7.0,1.5,0.14583333333333334,-0.02501983077736658
18,0.0001,32,24,64,39,62,80,46,19,-2.4583333333333335,9.0,3.0833333333333335,0.5625,0.023477436982196398
19,0.0001,16,19,56,31,45,58,41,36,-1.125,7.0,1.5,0.16666666666666666,-0.0060750907925657405
20,0.0001,56,27,41,66,58,31,38,36,-2.1875,13.0,2.75,0.10416666666666667,-0.05700562003107024
21,0.0001,22,67,54,91,50,45,40,26,-3.0625,12.0,3.6666666666666665,0.7291666666666666,0.008804614128215427
22,0.0001,27,23,18,47,55,50,32,34,-0.7916666666666666,8.0,1.5416666666666667,0.0625,-0.02448962327994586
23,0.0001,15,19,59,44,52,54,34,26,-1.1458333333333333,8.0,1.875,0.20833333333333334,0.011770733524965271
24,0.0001,18,71,43,23,50,37,31,25,-1.0416666666666667,11.0,1.9166666666666667,0.3958333333333333,0.013625784801905017
25,0.0001,32,26,49,41,60,42,59,19,-1.6666666666666667,8.0,2.2708333333333335,0.14583333333333334,-0.03171715184893786
26,0.0001,18,20,37,64,40,56,45,31,-1.3125,6.0,1.7083333333333333,0.25,-0.0039350171144072466
27,0.0001,15,24,66,36,47,31,41,35,-0.9791666666666666,8.0,1.5,0.3541666666666667,-0.010654729360306314
28,0.0001,14,34,53,51,60,29,42,18,-1.1041666666666667,11.0,2.0,0.25,0.01333592326653088
29,0.0001,37,25,70,56,90,40,57,19,-3.0416666666666665,10.0,3.6458333333333335,0.7708333333333334,0.02938226625184215
30,0.0001,26,21,51,34,69,60,40,17,-1.4583333333333333,9.0,2.25,0.375,0.02778200446337986
31,0.0001,16,20,41,49,60,63,26,32,-1.2291666666666667,8.0,2.0,0.2708333333333333,0.023359514552905303
32,0.0001,17,21,52,33,60,30,46,30,-0.8541666666666666,8.0,1.3958333333333333,0.1875,-0.0044996651411988164
33,0.0001,15,34,24,57,50,43,26,28,-0.6041666666666666,9.0,1.4791666666666667,0.16666666666666666,-0.006732560847793279
34,0.0001,14,29,65,43,71,45,34,26,-1.6458333333333333,9.0,2.375,0.4791666666666667,0.025062888428529106
35,0.0001,42,31,69,78,39,54,27,21,-2.3541666666666665,13.0,3.3333333333333335,0.4791666666666667,0.012013001519077804
36,0.0001,16,20,36,49,50,64,38,31,-1.1666666666666667,7.0,1.7083333333333333,0.2916666666666667,-0.0009284804753821874
37,0.0001,36,44,24,62,70,47,67,36,-2.875,8.0,3.1458333333333335,0.25,-0.04309084071536029
38,0.0001,60,17,34,52,62,34,67,22,-2.0833333333333335,9.0,2.6875,0.3333333333333333,0.008249907304412218
39,0.0001,16,20,61,44,30,70,36,22,-1.0625,8.0,1.9583333333333333,0.4166666666666667,0.05003910885748186
40,0.0001,14,24,37,42,57,50,38,30,-0.9166666666666666,7.0,1.4791666666666667,0.1875,-0.023447856827220503
41,0.0001,18,48,22,65,55,47,26,31,-1.3333333333333333,10.0,2.1875,0.2708333333333333,0.0069789081885855975
42,0.0001,23,27,50,57,70,61,43,17,-2.0833333333333335,10.0,2.8125,0.3958333333333333,0.012560252131998517
43,0.0001,29,17,37,48,64,51,30,22,-1.0416666666666667,10.0,1.9375,0.2708333333333333,0.001880818358952041
44,0.0001,14,28,32,64,63,45,65,30,-1.9375,6.0,2.3125,0.3541666666666667,0.014112903225806273
45,0.0001,15,40,38,46,54,79,29,31,-1.75,10.0,2.4791666666666665,0.625,0.009643412359113812
46,0.0001,18,64,26,51,47,45,44,26,-1.5208333333333333,10.0,2.0416666666666665,0.25,-0.024802783639835235
47,0.0001,17,22,42,69,74,47,35,27,-1.7708333333333333,8.0,2.4583333333333335,0.4791666666666667,0.03934781555749289
48,0.0001,16,34,34,58,67,47,37,42,-1.8125,6.0,2.1458333333333335,0.3541666666666667,-0.029387337506018296
49,0.0001,24,25,53,42,50,70,33,17,-1.375,10.0,2.3125,0.3958333333333333,0.015063180604068194
50,0.0001,66,17,37,36,75,48,39,24,-1.9583333333333333,10.0,2.625,0.5,0.015244765138652916
