run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.0001,19,27,36,40,43,55,43,30,0.1864406779661017,5.0,0.4745762711864407,-0.1016949152542373,-0.047253906951679525
2,0.0001,19,26,36,44,54,37,42,31,0.2542372881355932,7.0,0.576271186440678,-0.11864406779661017,-0.04763476598069549
3,0.0001,17,28,37,46,52,43,41,30,0.1694915254237288,7.0,0.5932203389830508,-0.11864406779661017,-0.04652255639097724
4,0.0001,17,27,36,67,44,56,46,30,-0.3220338983050847,6.0,0.9322033898305084,0.13559322033898305,0.005998452012383915
5,0.0001,23,25,35,39,48,45,38,32,0.3220338983050847,7.0,0.423728813559322,-0.288135593220339,-0.07609649122807016
6,0.0001,17,31,44,54,41,44,38,31,0.06779661016949153,8.0,0.711864406779661,-0.0847457627118644,-0.05473684210526297
7,0.0001,20,28,52,35,46,41,40,33,0.15254237288135594,7.0,0.6101694915254238,-0.1694915254237288,-0.061897859054415694
8,0.0001,24,52,78,55,41,44,31,30,-0.864406779661017,12.0,1.7796610169491525,0.2033898305084746,-0.006884729429206704
9,0.0001,21,32,56,42,68,42,38,30,-0.423728813559322,9.0,1.2542372881355932,0.0847457627118644,-0.019926811710126335
10,0.0001,21,27,40,33,45,41,50,32,0.2542372881355932,5.0,0.3898305084745763,-0.22033898305084745,-0.06580085594609342
11,0.0001,19,27,43,56,51,40,39,30,-0.01694915254237288,9.0,0.864406779661017,-0.0847457627118644,-0.03551553062985313
12,0.0001,17,26,40,49,59,46,36,32,-0.01694915254237288,8.0,0.7796610169491526,0.0,-0.020761432269197577
13,0.0001,22,30,40,54,51,42,43,30,-0.13559322033898305,7.0,0.8813559322033898,-0.1694915254237288,-0.05899966261808354
14,0.0001,27,45,68,64,54,39,43,30,-1.11864406779661,12.0,1.9152542372881356,-0.01694915254237288,-0.036966571834992745
15,0.0001,17,27,56,48,40,45,42,30,-0.01694915254237288,8.0,0.7457627118644068,-0.05084745762711865,-0.03305651423641054
16,0.0001,21,30,55,44,57,41,44,30,-0.3050847457627119,8.0,1.0508474576271187,-0.1016949152542373,-0.04341696632886549
17,0.0001,17,28,42,35,47,35,31,30,0.6610169491525424,8.0,0.4067796610169492,-0.2033898305084746,-0.0661991062562064
18,0.0001,21,32,40,53,51,44,56,30,-0.3898305084745763,7.0,0.9322033898305084,-0.11864406779661017,-0.0463041203927248
