run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.0001,14,14,14,15,15,17,24,21,2.142857142857143,1.0,0.0,-0.42857142857142855,-0.08115671641791056
2,0.0001,14,14,14,16,21,17,24,35,1.6428571428571428,1.0,0.0,-0.16666666666666666,-0.010887096774193639
3,0.0001,14,14,14,14,22,17,46,19,1.5238095238095237,3.0,0.19047619047619047,0.09523809523809523,0.03281249999999991
4,0.0001,14,14,14,15,16,17,24,19,2.1666666666666665,1.0,0.0,-0.42857142857142855,-0.08881578947368429
5,0.0001,14,14,14,15,15,17,27,23,2.0238095238095237,1.0,0.0,-0.35714285714285715,-0.057104316546762623
6,0.0001,14,14,14,15,15,17,24,21,2.142857142857143,1.0,0.0,-0.42857142857142855,-0.08115671641791056
7,0.0001,14,14,14,14,19,22,19,25,1.9761904761904763,1.0,0.0,-0.40476190476190477,-0.06604609929078009
8,0.0001,14,14,14,15,16,21,22,24,2.0,0.0,0.0,-0.42857142857142855,-0.06964285714285712
9,0.0001,14,14,14,14,21,17,30,22,1.8571428571428572,2.0,0.0,-0.2857142857142857,-0.03681506849315075
10,0.0001,14,14,14,14,21,17,24,23,1.9761904761904763,2.0,0.0,-0.42857142857142855,-0.06427304964539005
11,0.0001,14,14,14,14,18,17,39,28,1.5714285714285714,2.0,0.023809523809523808,-0.07142857142857142,0.018196202531645556
12,0.0001,14,14,14,14,16,17,23,25,2.0714285714285716,0.0,0.0,-0.40476190476190477,-0.06614963503649629
13,0.0001,14,14,14,14,21,17,28,19,1.9761904761904763,3.0,0.0,-0.3333333333333333,-0.05363475177304955
14,0.0001,14,14,14,18,15,18,24,27,1.9047619047619047,1.0,0.0,-0.35714285714285715,-0.05208333333333326
15,0.0001,14,14,14,18,16,17,22,21,2.0952380952380953,3.0,0.0,-0.47619047619047616,-0.09191176470588225
16,0.0001,14,14,14,15,16,16,29,22,2.0,1.0,0.0,-0.30952380952380953,-0.051785714285714324
17,0.0001,14,14,14,17,15,18,27,21,2.0,2.0,0.0,-0.35714285714285715,-0.0625
18,0.0001,14,14,14,14,16,17,26,27,1.9523809523809523,0.0,0.0,-0.35714285714285715,-0.04489436619718301
19,0.0001,14,14,14,14,17,17,28,26,1.9047619047619047,1.0,0.0,-0.3333333333333333,-0.03993055555555558
20,0.0001,14,14,14,14,16,17,20,21,2.238095238095238,0.0,0.0,-0.5,-0.10096153846153855
21,0.0001,14,14,14,16,16,17,27,29,1.8333333333333333,0.0,0.0,-0.30952380952380953,-0.03528911564625847
22,0.0001,14,14,14,14,16,17,21,22,2.1904761904761907,0.0,0.0,-0.47619047619047616,-0.09090909090909083
23,0.0001,14,14,14,15,15,17,18,26,2.1666666666666665,0.0,0.0,-0.38095238095238093,-0.08129699248120303
24,0.0001,14,14,14,15,16,17,25,22,2.0714285714285716,1.0,0.0,-0.40476190476190477,-0.07162408759124084
25,0.0001,14,14,14,14,17,18,20,23,2.142857142857143,0.0,0.0,-0.4523809523809524,-0.08675373134328357
26,0.0001,14,14,14,15,16,19,28,24,1.9047619047619047,1.0,0.0,-0.3333333333333333,-0.04513888888888884
27,0.0001,14,14,14,14,18,24,19,31,1.8095238095238095,1.0,0.0,-0.2619047619047619,-0.028716216216216228
28,0.0001,14,14,14,14,16,21,24,19,2.0952380952380953,2.0,0.0,-0.42857142857142855,-0.0753676470588236
29,0.0001,14,14,14,17,17,28,26,25,1.6428571428571428,2.0,0.0,-0.3333333333333333,-0.03346774193548385
