run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.0001,22,28,14,18,15,20,19,22,2.6,11.0,0.04,-0.28,-0.03032700421940926
2,0.0001,22,23,14,16,23,26,23,26,2.3,5.0,0.0,-0.32,-0.04684489402697478
3,0.0001,22,24,14,18,15,20,23,28,2.48,9.0,0.0,-0.28,-0.02388211382113803
4,0.0001,22,25,14,27,15,23,19,21,2.44,13.0,0.0,-0.3,-0.029869477911646403
5,0.0001,22,26,14,24,29,21,19,22,2.22,13.0,0.0,-0.26,-0.04060734463276838
6,0.0001,22,24,14,16,15,26,23,20,2.56,11.0,0.0,-0.32,-0.027083333333333348
7,0.0001,22,25,14,17,15,18,28,21,2.56,11.0,0.0,-0.28,-0.016145833333333304
8,0.0001,22,35,14,17,15,24,23,24,2.28,9.0,0.18,-0.14,0.007902298850574807
9,0.0001,22,23,14,16,19,18,25,27,2.48,8.0,0.0,-0.3,-0.028455284552845406
10,0.0001,22,26,14,20,15,18,23,25,2.5,10.0,0.0,-0.32,-0.030035787321063268
11,0.0001,22,31,14,16,24,17,26,20,2.36,11.0,0.1,-0.22,-0.004656862745098023
12,0.0001,22,25,14,16,15,28,21,24,2.46,11.0,0.0,-0.28,-0.01477272727272716
13,0.0001,22,32,14,16,24,22,19,25,2.28,10.0,0.12,-0.2,-0.012212643678160884
14,0.0001,22,27,14,17,22,29,32,30,1.9,6.0,0.02,-0.2,-0.005289291882556002
15,0.0001,22,28,14,18,20,18,23,21,2.48,11.0,0.04,-0.28,-0.042174796747967314
16,0.0001,22,24,14,26,15,31,20,20,2.32,13.0,0.0,-0.22,-0.009205426356589053
17,0.0001,22,23,14,18,27,17,22,30,2.3,9.0,0.0,-0.24,-0.01794315992292872
18,0.0001,22,27,14,17,15,21,36,32,2.08,9.0,0.02,-0.12,0.03759057971014501
19,0.0001,22,25,14,16,31,20,20,21,2.38,13.0,0.0,-0.22,-0.019354043392504794
20,0.0001,22,27,14,16,15,20,23,23,2.56,10.0,0.02,-0.3,-0.025520833333333215
21,0.0001,22,24,14,17,15,19,22,30,2.5,9.0,0.0,-0.24,-0.011630879345603251
22,0.0001,22,25,14,22,15,18,29,24,2.38,10.0,0.0,-0.26,-0.01787475345167655
23,0.0001,22,26,14,16,15,26,20,22,2.54,11.0,0.0,-0.32,-0.022386128364389135
24,0.0001,22,27,14,19,22,17,33,23,2.22,9.0,0.02,-0.18,-0.008121468926553632
25,0.0001,22,24,14,16,15,21,37,22,2.34,10.0,0.0,-0.1,0.018640350877193068
26,0.0001,22,26,14,17,15,19,26,22,2.54,10.0,0.0,-0.32,-0.02393892339544501
27,0.0001,22,27,14,25,15,18,22,21,2.48,13.0,0.02,-0.3,-0.028455284552845406
28,0.0001,22,25,14,16,15,21,21,26,2.56,10.0,0.0,-0.32,-0.027083333333333348
29,0.0001,22,33,14,19,15,19,23,28,2.3,10.0,0.14,-0.18,0.008068400770713025
30,0.0001,22,29,14,17,15,24,24,20,2.46,10.0,0.06,-0.26,-0.01477272727272716
31,0.0001,22,29,14,16,15,21,26,22,2.46,10.0,0.06,-0.26,-0.010227272727272751
32,0.0001,22,24,14,16,15,19,28,22,2.56,10.0,0.0,-0.28,-0.017708333333333215
33,0.0001,22,22,14,16,28,21,22,25,2.36,9.0,0.0,-0.28,-0.03848039215686261
34,0.0001,22,26,14,16,15,20,24,29,2.44,9.0,0.0,-0.26,-0.005773092369477872
35,0.0001,22,24,14,22,15,23,19,26,2.46,9.0,0.0,-0.32,-0.039015151515151336
36,0.0001,22,26,14,16,21,17,20,26,2.52,10.0,0.0,-0.32,-0.03009259259259256
37,0.0001,22,27,14,16,15,19,21,25,2.58,11.0,0.02,-0.3,-0.019261006289308158
38,0.0001,22,23,14,24,15,21,19,29,2.42,11.0,0.0,-0.26,-0.02382734530938113
39,0.0001,22,25,14,16,15,19,22,31,2.48,9.0,0.0,-0.22,-0.00101626016260159
40,0.0001,22,28,14,17,26,18,20,29,2.28,10.0,0.04,-0.26,-0.012212643678160884
41,0.0001,22,24,14,26,15,20,21,23,2.46,13.0,0.0,-0.32,-0.04053030303030303
42,0.0001,23,33,14,16,15,18,23,23,2.46,10.0,0.16,-0.18,0.004924242424242609
43,0.0001,22,25,14,21,22,17,22,28,2.34,8.0,0.0,-0.28,-0.042763157894736725
44,0.0001,22,25,14,16,15,19,21,26,2.6,10.0,0.0,-0.32,-0.023997890295358593
45,0.0001,22,28,14,16,19,20,26,28,2.3,9.0,0.04,-0.28,-0.015052986512523958
46,0.0001,22,29,14,22,29,21,21,21,2.18,14.0,0.06,-0.26,-0.041783054003724285
47,0.0001,22,26,14,20,15,25,19,27,2.4,9.0,0.0,-0.3,-0.022321428571428603
48,0.0001,22,29,14,17,15,21,20,22,2.56,11.0,0.06,-0.26,-0.023958333333333304
49,0.0001,22,23,14,19,15,20,23,32,2.4,8.0,0.0,-0.2,-0.011904761904761862
50,0.0001,22,24,14,20,15,21,26,31,2.3,8.0,0.0,-0.22,-0.010717726396917149
