run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.0001,9,13,15,24,65,22,31,34,-0.7837837837837838,4.0,1.162162162162162,0.7567567567567568,0.0927485201061442
2,0.0001,9,12,16,32,34,52,29,18,-0.4864864864864865,6.0,1.162162162162162,0.40540540540540543,0.06258071459319847
3,0.0001,9,13,18,29,22,30,17,32,0.3783783783783784,4.0,0.2702702702702703,-0.13513513513513514,-0.017966751918158552
4,0.0001,9,13,15,20,19,25,37,37,0.24324324324324326,1.0,0.10810810810810811,0.0,0.01959627329192548
5,0.0001,9,14,14,17,34,32,24,39,0.02702702702702703,2.0,0.40540540540540543,0.05405405405405406,0.025154430981230824
6,0.0001,9,13,24,44,16,29,50,39,-1.0810810810810811,5.0,1.3243243243243243,0.35135135135135137,0.05968555900621131
7,0.0001,9,14,25,15,33,25,37,32,-0.16216216216216217,4.0,0.5675675675675675,0.0,-0.003260869565217206
8,0.0001,9,14,14,17,37,28,19,26,0.5405405405405406,4.0,0.35135135135135137,0.0,0.0034464475079534207
9,0.0001,9,13,20,16,41,26,23,28,0.21621621621621623,4.0,0.5135135135135135,0.10810810810810811,0.007534584980237291
10,0.0001,9,13,18,16,17,25,45,26,0.40540540540540543,3.0,0.35135135135135137,0.21621621621621623,0.026916645227682112
11,0.0001,9,14,14,17,33,32,28,37,-0.0,2.0,0.32432432432432434,0.0,0.013586956521739246
12,0.0001,9,14,18,15,26,33,32,49,-0.32432432432432434,2.0,0.5135135135135135,0.32432432432432434,0.048524844720496896
13,0.0001,9,14,17,15,20,28,39,23,0.5135135135135135,3.0,0.1891891891891892,0.05405405405405406,0.004314888010540363
14,0.0001,9,21,14,26,30,30,47,20,-0.35135135135135137,6.0,0.8918918918918919,0.2702702702702703,0.013490399470315717
15,0.0001,9,35,21,16,55,24,55,28,-1.5945945945945945,7.0,2.108108108108108,0.4864864864864865,0.06134818393272501
16,0.0001,9,12,22,15,41,33,40,28,-0.43243243243243246,4.0,0.8648648648648649,0.10810810810810811,0.03673913043478261
17,0.0001,9,13,16,22,25,31,29,21,0.4864864864864865,4.0,0.08108108108108109,-0.16216216216216217,-0.03097171293871126
18,0.0001,9,14,19,14,28,40,25,33,0.05405405405405406,4.0,0.4594594594594595,0.08108108108108109,0.018991877687529968
19,0.0001,9,13,19,31,19,36,19,27,0.2972972972972973,5.0,0.5135135135135135,-0.02702702702702703,-0.009330233727067094
20,0.0001,9,17,14,20,17,37,46,40,-0.43243243243243246,3.0,0.7567567567567568,0.24324324324324326,0.05423913043478268
21,0.0001,9,13,19,28,45,23,19,41,-0.35135135135135137,5.0,0.8918918918918919,0.21621621621621623,0.040140145663209115
22,0.0001,9,14,14,15,27,34,24,41,0.16216216216216217,2.0,0.32432432432432434,0.10810810810810811,0.03297508549096251
23,0.0001,9,14,14,23,29,37,25,18,0.40540540540540543,5.0,0.40540540540540543,0.0,0.00028942629277084464
24,0.0001,9,13,17,18,30,37,27,28,0.13513513513513514,4.0,0.35135135135135137,0.0,-0.002702210347340195
25,0.0001,9,13,15,39,40,18,35,38,-0.6216216216216216,6.0,0.972972972972973,0.08108108108108109,0.033212560386473466
