run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.0001,16,24,59,45,28,39,32,56,-1.3409090909090908,7.0,1.6136363636363635,0.3409090909090909,0.041973244147157196
2,0.0001,16,45,26,30,60,62,39,67,-2.3863636363636362,5.0,2.409090909090909,0.5227272727272727,0.05434782608695654
3,0.0001,16,40,37,25,54,54,77,35,-2.227272727272727,7.0,2.5,0.75,0.0587278106508875
4,0.0001,16,25,59,33,38,71,62,47,-2.522727272727273,5.0,2.522727272727273,0.6136363636363636,0.05897435897435899
5,0.0001,16,47,26,30,37,82,54,67,-2.7045454545454546,5.0,2.7045454545454546,0.8636363636363636,0.08579387186629517
6,0.0001,16,25,54,28,71,59,38,37,-2.0,7.0,2.2045454545454546,0.6136363636363636,0.06661585365853662
7,0.0001,16,33,49,26,34,43,58,74,-2.1136363636363638,4.0,2.159090909090909,0.6818181818181818,0.058858858858858776
8,0.0001,16,25,45,37,67,34,52,61,-2.2045454545454546,5.0,2.25,0.5227272727272727,0.047181008902077215
9,0.0001,16,28,24,31,53,42,61,68,-1.8863636363636365,2.0,1.8863636363636365,0.5454545454545454,0.07074303405572757
10,0.0001,16,25,48,28,35,65,53,60,-2.0454545454545454,4.0,2.0454545454545454,0.4772727272727273,0.05454545454545445
11,0.0001,16,39,27,31,37,58,46,70,-1.9090909090909092,4.0,1.9090909090909092,0.5909090909090909,0.04876543209876538
12,0.0001,16,27,40,30,66,76,54,38,-2.4318181818181817,6.0,2.5681818181818183,0.7272727272727273,0.07319884726224779
13,0.0001,16,26,30,37,55,62,43,79,-2.4545454545454546,2.0,2.4545454545454546,0.7954545454545454,0.0771551724137931
14,0.0001,16,48,58,30,25,65,84,38,-2.8181818181818183,8.0,3.1136363636363638,0.9090909090909091,0.08942307692307683
15,0.0001,16,23,42,33,56,86,30,61,-2.4318181818181817,5.0,2.659090909090909,0.9545454545454546,0.10129682997118161
16,0.0001,16,26,29,49,66,38,56,42,-1.8636363636363635,5.0,1.9090909090909092,0.5,0.043944099378881996
17,0.0001,16,48,32,58,77,73,40,33,-3.1136363636363638,9.0,3.3636363636363638,0.75,0.06206896551724128
18,0.0001,16,23,27,47,38,72,41,57,-1.8409090909090908,4.0,1.8409090909090908,0.6363636363636364,0.06838006230529592
19,0.0001,16,25,48,34,62,53,45,69,-2.5454545454545454,4.0,2.5454545454545454,0.5681818181818182,0.043749999999999956
20,0.0001,16,22,27,63,97,39,53,72,-3.3863636363636362,5.0,3.3863636363636362,1.2045454545454546,0.12673521850899738
21,0.0001,16,22,40,33,64,56,45,52,-2.0,5.0,2.0,0.45454545454545453,0.04146341463414638
22,0.0001,16,29,26,36,56,63,44,73,-2.340909090909091,3.0,2.340909090909091,0.6590909090909091,0.07026239067055395
23,0.0001,16,54,25,50,32,75,40,65,-2.659090909090909,7.0,2.659090909090909,0.7045454545454546,0.06624649859943976
24,0.0001,16,30,28,61,49,41,53,68,-2.409090909090909,4.0,2.409090909090909,0.5454545454545454,0.043930635838150156
25,0.0001,16,25,28,43,53,42,90,122,-4.068181818181818,2.0,4.068181818181818,1.7727272727272727,0.16599045346062047
26,0.0001,16,39,23,28,89,42,48,56,-2.2954545454545454,5.0,2.3181818181818183,1.0227272727272727,0.09589442815249272
27,0.0001,16,40,37,26,29,52,68,74,-2.3181818181818183,4.0,2.4318181818181817,0.6818181818181818,0.07646198830409356
