run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.0001,21,68,33,74,62,57,32,12,-2.466666666666667,12.0,3.4,0.7555555555555555,0.10327747326803838
2,0.0001,18,38,47,60,53,30,41,12,-1.1333333333333333,12.0,2.022222222222222,0.4444444444444444,0.06684917466824891
3,0.0001,18,25,41,28,55,65,39,12,-0.7777777777777778,9.0,1.5777777777777777,0.5555555555555556,0.10228827083095848
4,0.0001,21,46,36,60,28,52,58,12,-1.4444444444444444,9.0,2.2888888888888888,0.4444444444444444,0.07145985777594555
5,0.0001,34,29,62,44,37,53,24,12,-1.0444444444444445,12.0,2.1555555555555554,0.4888888888888889,0.06072990705303427
6,0.0001,38,20,39,84,69,74,31,12,-2.6444444444444444,11.0,3.6222222222222222,0.9777777777777777,0.13343807682165765
7,0.0001,36,31,49,61,65,23,44,12,-1.6222222222222222,13.0,2.6666666666666665,0.5555555555555556,0.07324640739624155
8,0.0001,44,22,51,74,102,64,108,12,-5.088888888888889,8.0,5.822222222222222,1.511111111111111,0.13855920741191574
9,0.0001,54,22,38,67,61,34,46,12,-1.9111111111111112,12.0,2.7111111111111112,0.6,0.07316013135020283
10,0.0001,36,33,58,49,55,43,26,12,-1.4222222222222223,13.0,2.488888888888889,0.4,0.03977977667493793
11,0.0001,33,32,65,58,54,25,44,12,-1.6666666666666667,13.0,2.6666666666666665,0.5555555555555556,0.06787426345750514
12,0.0001,38,33,52,70,64,34,23,12,-1.7333333333333334,14.0,2.933333333333333,0.6666666666666666,0.0883138729467643
13,0.0001,23,43,35,48,62,20,34,25,-0.9333333333333333,13.0,1.9111111111111112,0.3111111111111111,0.03495550611790876
14,0.0001,48,31,41,56,35,24,45,12,-0.9777777777777777,13.0,2.0,0.35555555555555557,0.034412284577993724
15,0.0001,43,38,35,77,28,71,65,12,-2.688888888888889,11.0,3.533333333333333,0.8222222222222222,0.08979150275373704
16,0.0001,17,35,34,55,64,60,29,12,-1.288888888888889,11.0,2.2888888888888888,0.5333333333333333,0.09943601096352506
17,0.0001,34,37,61,50,59,28,73,12,-2.3555555555555556,11.0,3.2888888888888888,0.7333333333333333,0.07075815564060495
18,0.0001,30,44,53,63,38,65,24,12,-1.8,13.0,2.911111111111111,0.5555555555555556,0.0741861947249729
19,0.0001,20,38,38,49,45,31,81,12,-1.4666666666666666,10.0,2.3333333333333335,0.9111111111111111,0.09736490651325247
20,0.0001,38,33,53,63,48,29,33,12,-1.3555555555555556,14.0,2.4444444444444446,0.5111111111111111,0.0438328635556946
21,0.0001,18,40,52,60,64,47,30,12,-1.6666666666666667,12.0,2.6444444444444444,0.5333333333333333,0.08103215819434717
22,0.0001,17,34,37,43,62,30,49,12,-0.8,10.0,1.6888888888888889,0.4888888888888889,0.07360290776919576
23,0.0001,19,39,54,41,49,72,29,12,-1.488888888888889,11.0,2.488888888888889,0.7111111111111111,0.09135944700460819
24,0.0001,29,32,49,58,44,36,22,12,-0.7555555555555555,13.0,1.9333333333333333,0.4,0.0549359414321664
25,0.0001,31,35,61,89,75,69,23,12,-3.2666666666666666,12.0,4.4,1.0888888888888888,0.12779706002449975
26,0.0001,34,54,30,53,65,24,46,12,-1.5555555555555556,13.0,2.577777777777778,0.5555555555555556,0.0672803814161087
27,0.0001,36,29,43,23,51,58,41,12,-1.0,11.0,1.8666666666666667,0.4,0.04779533193878671
28,0.0001,36,51,42,68,54,24,37,12,-1.6888888888888889,14.0,2.8,0.6222222222222222,0.059040223018717475
29,0.0001,17,23,45,63,38,52,53,12,-1.2222222222222223,8.0,1.9555555555555555,0.5111111111111111,0.0909586926434578
30,0.0001,21,43,39,52,76,30,65,12,-2.0,10.0,2.888888888888889,0.8,0.10357415537316284
31,0.0001,19,32,38,58,70,50,31,12,-1.3777777777777778,11.0,2.3333333333333335,0.6666666666666666,0.09838709677419355
32,0.0001,22,33,61,68,54,42,27,12,-1.5777777777777777,12.0,2.6222222222222222,0.6222222222222222,0.0959272929517645
33,0.0001,27,41,29,49,42,57,24,12,-0.7333333333333333,12.0,1.8444444444444446,0.37777777777777777,0.05173057054299157
34,0.0001,29,40,31,43,54,24,44,12,-0.6444444444444445,11.0,1.6666666666666667,0.3111111111111111,0.03145743565855352
35,0.0001,30,48,29,49,47,95,22,12,-1.8666666666666667,12.0,3.022222222222222,1.2222222222222223,0.12808492032646712
36,0.0001,30,38,49,57,41,56,22,29,-1.6444444444444444,12.0,2.422222222222222,0.15555555555555556,0.0014526147064715111
37,0.0001,40,47,35,51,57,43,24,12,-1.3555555555555556,13.0,2.466666666666667,0.37777777777777777,0.028460695270905
38,0.0001,29,34,35,54,45,23,63,12,-1.0444444444444445,11.0,2.088888888888889,0.5111111111111111,0.06835702569710222
39,0.0001,34,32,56,87,58,43,26,14,-2.2666666666666666,13.0,3.2888888888888888,1.0,0.09921658986175097
40,0.0001,22,44,38,52,75,29,74,12,-2.1777777777777776,10.0,3.088888888888889,0.7777777777777778,0.11099198209957106
41,0.0001,50,32,68,43,40,61,24,12,-1.8222222222222222,13.0,2.933333333333333,0.6222222222222222,0.07079667644183774
42,0.0001,29,24,29,58,46,39,21,12,-0.2222222222222222,12.0,1.4,0.4,0.0690172543135783
43,0.0001,34,31,58,60,53,42,23,12,-1.4444444444444444,13.0,2.577777777777778,0.4444444444444444,0.06427135937338968
44,0.0001,30,37,59,50,42,31,25,12,-0.8444444444444444,14.0,2.066666666666667,0.4222222222222222,0.04742837807353939
45,0.0001,39,27,32,55,50,24,62,12,-1.1777777777777778,11.0,2.2,0.4888888888888889,0.07192423105776435
46,0.0001,48,36,49,40,27,38,59,12,-1.3555555555555556,12.0,2.2222222222222223,0.4222222222222222,0.023606326338866168
47,0.0001,40,46,23,34,46,68,72,12,-2.066666666666667,9.0,2.8444444444444446,0.7111111111111111,0.08247800586510268
48,0.0001,18,42,55,51,33,58,45,12,-1.4666666666666666,11.0,2.2,0.4,0.05516745428395309
49,0.0001,29,30,52,38,73,46,22,12,-1.2,12.0,2.3555555555555556,0.7333333333333333,0.09389019440290536
50,0.0001,36,33,72,61,63,45,24,12,-2.1777777777777776,13.0,3.2888888888888888,0.7111111111111111,0.08642550811113181
