run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.0001,23,34,44,64,34,51,56,28,-2.1363636363636362,7.0,2.5,0.29545454545454547,0.007634730538922163
2,0.0001,25,42,54,53,47,32,32,27,-1.6363636363636365,12.0,2.2954545454545454,0.022727272727272728,-0.019551282051282204
3,0.0001,23,32,34,55,27,50,47,24,-1.1818181818181819,9.0,1.75,0.09090909090909091,0.003082191780821919
4,0.0001,18,28,32,54,50,34,38,24,-0.8636363636363636,8.0,1.4090909090909092,0.18181818181818182,0.011151079136690667
5,0.0001,23,33,34,47,56,52,27,23,-1.25,10.0,2.022727272727273,0.11363636363636363,0.01016949152542379
6,0.0001,32,28,30,43,42,56,24,19,-0.7727272727272727,12.0,1.7045454545454546,0.20454545454545456,0.006569343065693456
7,0.0001,23,34,35,46,62,42,28,23,-1.2045454545454546,10.0,1.9545454545454546,0.25,0.00887372013651877
8,0.0001,25,36,34,50,28,52,25,35,-1.0227272727272727,10.0,1.6590909090909092,-0.022727272727272728,-0.026315789473684292
9,0.0001,34,28,30,58,46,42,39,24,-1.3863636363636365,9.0,1.8636363636363635,0.13636363636363635,-0.021760797342192717
10,0.0001,18,28,37,59,52,46,62,22,-1.9090909090909092,7.0,2.409090909090909,0.36363636363636365,0.0464506172839505
11,0.0001,33,28,40,45,53,40,42,22,-1.4318181818181819,9.0,1.9318181818181819,0.06818181818181818,-0.03927392739273938
12,0.0001,23,39,50,52,37,28,24,33,-1.0454545454545454,12.0,1.8409090909090908,0.022727272727272728,-0.01328671328671338
13,0.0001,18,43,57,45,33,38,38,42,-1.6818181818181819,12.0,1.7727272727272727,0.25,-0.03487261146496823
14,0.0001,32,28,52,30,42,41,23,20,-0.6363636363636364,12.0,1.5681818181818181,0.09090909090909091,-0.0070895522388059184
15,0.0001,33,28,47,50,44,56,34,29,-1.8409090909090908,10.0,2.3181818181818183,0.0,-0.03753894080996889
16,0.0001,30,38,48,39,42,41,58,23,-1.7954545454545454,8.0,2.272727272727273,0.1590909090909091,-0.03824451410658303
17,0.0001,18,30,32,45,51,33,36,21,-0.5909090909090909,8.0,1.2727272727272727,0.11363636363636363,-0.0011278195488721998
18,0.0001,23,35,41,39,32,60,63,21,-1.6818181818181819,9.0,2.2045454545454546,0.3181818181818182,0.028025477707006363
19,0.0001,32,28,49,48,41,27,46,23,-1.2272727272727273,12.0,1.9090909090909092,-0.045454545454545456,-0.02619047619047632
20,0.0001,23,45,44,36,56,42,29,21,-1.2727272727272727,12.0,2.0454545454545454,0.1590909090909091,-0.0035472972972974137
21,0.0001,29,49,49,37,51,69,37,30,-2.522727272727273,10.0,2.909090909090909,0.2727272727272727,-0.020797720797720798
22,0.0001,18,42,46,44,58,39,52,24,-1.8863636363636365,9.0,2.340909090909091,0.2727272727272727,-0.003560371517027816
23,0.0001,23,33,45,53,47,45,23,29,-1.3181818181818181,10.0,2.0454545454545454,0.045454545454545456,-0.01140939597315449
24,0.0001,23,34,43,35,44,53,54,44,-2.0454545454545454,3.0,2.0454545454545454,0.06818181818181818,-0.04621212121212115
25,0.0001,23,33,33,56,43,27,46,21,-0.9545454545454546,10.0,1.6818181818181819,0.1590909090909091,0.005851063829787284
26,0.0001,23,36,48,34,56,39,41,21,-1.3181818181818181,10.0,1.8409090909090908,0.1590909090909091,-0.009731543624161176
27,0.0001,23,35,46,50,34,39,47,22,-1.2727272727272727,10.0,1.7727272727272727,0.0,-0.024662162162162105
28,0.0001,19,28,41,42,42,39,54,38,-1.4318181818181819,7.0,1.5681818181818181,0.1590909090909091,-0.03927392739273938
29,0.0001,23,40,44,36,30,58,40,21,-1.1818181818181819,10.0,1.75,0.20454545454545456,-0.0046232876712328785
30,0.0001,37,28,35,50,31,48,27,31,-1.0681818181818181,12.0,1.6818181818181819,-0.11363636363636363,-0.051742160278745786
31,0.0001,22,30,54,41,37,36,52,45,-1.75,6.0,1.75,0.09090909090909091,-0.03107255520504726
32,0.0001,23,32,46,58,54,41,26,19,-1.3409090909090908,12.0,2.227272727272727,0.25,0.032775919732441317
33,0.0001,24,35,65,51,62,28,49,23,-2.2045454545454546,12.0,2.8636363636363638,0.3181818181818182,0.03531157270029661
34,0.0001,23,33,45,49,47,41,24,19,-0.9318181818181818,12.0,1.8636363636363635,0.045454545454545456,0.003380782918149361
35,0.0001,22,33,65,39,50,26,41,54,-2.0454545454545454,7.0,2.272727272727273,0.3409090909090909,0.012121212121211977
36,0.0001,23,38,40,59,62,45,33,25,-1.9318181818181819,10.0,2.522727272727273,0.25,0.010000000000000009
37,0.0001,23,32,35,62,52,30,52,25,-1.6136363636363635,9.0,2.1818181818181817,0.25,0.0167202572347267
38,0.0001,23,35,52,49,59,47,27,22,-1.6818181818181819,12.0,2.477272727272727,0.20454545454545456,0.016878980891719797
39,0.0001,21,28,46,52,33,40,44,39,-1.4318181818181819,8.0,1.5454545454545454,0.06818181818181818,-0.03432343234323443
40,0.0001,31,30,45,48,36,27,23,32,-0.7272727272727273,13.0,1.5909090909090908,-0.06818181818181818,-0.04448529411764701
41,0.0001,18,31,36,64,53,61,35,25,-1.8863636363636365,9.0,2.4318181818181817,0.4090909090909091,0.045201238390092824
42,0.0001,18,37,27,53,41,35,48,24,-0.9772727272727273,8.0,1.4545454545454546,0.1590909090909091,0.00565371024734973
43,0.0001,35,30,33,40,49,52,45,25,-1.5681818181818181,8.0,2.0,-0.022727272727272728,-0.04352750809061501
44,0.0001,35,28,47,46,45,33,28,21,-0.9772727272727273,13.0,1.8409090909090908,-0.045454545454545456,-0.03144876325088353
45,0.0001,23,39,36,47,24,29,45,43,-1.0454545454545454,8.0,1.4090909090909092,-0.09090909090909091,-0.03601398601398609
46,0.0001,23,37,42,56,51,43,31,43,-1.9545454545454546,8.0,2.1818181818181817,0.11363636363636363,-0.040797546012270036
47,0.0001,18,28,36,43,59,41,49,25,-1.3409090909090908,7.0,1.7727272727272727,0.29545454545454547,0.016053511705685475
48,0.0001,23,32,31,46,44,48,26,21,-0.7045454545454546,11.0,1.5454545454545454,-0.022727272727272728,-0.00940959409594111
49,0.0001,25,30,35,43,64,48,35,19,-1.3409090909090908,9.0,2.022727272727273,0.38636363636363635,0.02107023411371234
50,0.0001,18,28,38,48,43,48,42,22,-1.0681818181818181,8.0,1.5681818181818181,0.045454545454545456,-0.0055749128919861946
