run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,0.0001,39,34,68,93,83,115,73,105,-3.6451612903225805,5.0,3.7096774193548385,0.8548387096774194,0.09185450819672125
2,0.0001,40,62,47,94,113,97,79,80,-3.6774193548387095,7.0,3.6774193548387095,0.7258064516129032,0.06587009803921573
3,0.0001,37,54,46,99,61,82,67,85,-2.370967741935484,5.0,2.370967741935484,0.5483870967741935,0.059881120527306875
4,0.0001,38,33,111,88,75,63,79,91,-3.129032258064516,8.0,3.2096774193548385,0.8064516129032258,0.08309904844290661
5,0.0001,50,55,75,88,69,94,111,99,-4.145161290322581,3.0,4.145161290322581,0.532258064516129,0.03395573322932921
6,0.0001,38,43,56,78,93,127,90,67,-3.3548387096774195,5.0,3.3548387096774195,0.9838709677419355,0.09881756756756754
7,0.0001,43,46,65,67,94,86,98,106,-3.564516129032258,1.0,3.564516129032258,0.5645161290322581,0.05736053719008272
8,0.0001,38,34,64,75,93,87,80,111,-3.193548387096774,3.0,3.2580645161290325,0.7903225806451613,0.08134664948453607
9,0.0001,39,33,81,96,69,106,89,62,-3.0806451612903225,8.0,3.161290322580645,0.7258064516129032,0.08388586956521737
10,0.0001,36,33,61,89,81,97,64,109,-3.0,4.0,3.0806451612903225,0.7741935483870968,0.09632675438596494
11,0.0001,38,65,52,95,74,70,111,93,-3.4516129032258065,5.0,3.4516129032258065,0.7258064516129032,0.060775501672240884
12,0.0001,38,35,79,74,66,97,90,107,-3.2580645161290325,4.0,3.306451612903226,0.7096774193548387,0.07748506825938573
13,0.0001,41,64,44,92,84,101,123,109,-4.419354838709677,3.0,4.419354838709677,0.8709677419354839,0.08401405775075999
14,0.0001,36,36,64,85,63,115,91,101,-3.338709677419355,4.0,3.370967741935484,0.8225806451612904,0.09853532148900168
15,0.0001,38,50,44,87,75,83,73,98,-2.6451612903225805,4.0,2.6451612903225805,0.5161290322580645,0.05850821167883202
16,0.0001,40,37,63,95,77,77,109,91,-3.306451612903226,5.0,3.3225806451612905,0.7096774193548387,0.07377440577249583
17,0.0001,42,36,63,89,67,105,101,109,-3.6774193548387095,3.0,3.7096774193548385,0.7258064516129032,0.08711192810457513
18,0.0001,36,42,51,65,92,66,81,85,-2.161290322580645,3.0,2.161290322580645,0.45161290322580644,0.059061293436293516
19,0.0001,36,46,48,70,69,94,100,105,-2.967741935483871,1.0,2.967741935483871,0.6612903225806451,0.0869278169014085
20,0.0001,40,35,64,98,63,70,94,80,-2.5806451612903225,6.0,2.629032258064516,0.5645161290322581,0.06709558823529416
21,0.0001,49,61,43,67,93,110,121,86,-3.967741935483871,5.0,3.967741935483871,0.8064516129032258,0.08229166666666665
22,0.0001,53,75,107,97,112,132,137,124,-7.306451612903226,3.0,7.306451612903226,0.9032258064516129,0.03384483273596173
23,0.0001,40,34,60,74,97,69,87,104,-2.9193548387096775,4.0,2.9838709677419355,0.6774193548387096,0.08111172566371683
24,0.0001,53,61,74,78,84,88,105,95,-4.096774193548387,1.0,4.096774193548387,0.3870967741935484,0.00465321316614431
25,0.0001,36,54,43,64,102,81,84,95,-2.8225806451612905,4.0,2.8225806451612905,0.6129032258064516,0.07600067084078721
