run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,34,16,32,44,24,36,33,26
2,0.0001,42,15,25,32,49,40,29,25
3,0.0001,27,15,57,43,35,48,31,26
4,0.0001,38,15,36,27,46,43,34,31
5,0.0001,38,15,35,26,47,39,31,22
6,0.0001,34,15,33,23,47,42,31,24
7,0.0001,36,15,23,37,51,37,29,22
8,0.0001,34,16,49,36,23,36,31,24
9,0.0001,34,16,33,26,47,36,29,26
10,0.0001,39,15,24,32,45,35,31,24
11,0.0001,40,15,32,26,48,37,31,28
12,0.0001,26,15,35,52,54,48,27,25
13,0.0001,46,15,24,35,53,53,31,24
14,0.0001,36,15,23,31,48,39,34,22
15,0.0001,38,15,35,23,48,39,35,32
16,0.0001,36,16,47,34,24,38,33,27
17,0.0001,35,16,39,24,52,37,33,23
18,0.0001,34,16,50,23,37,36,31,23
19,0.0001,36,16,34,51,24,38,28,24
20,0.0001,36,15,25,31,48,36,33,30
21,0.0001,42,15,24,49,36,37,30,24
22,0.0001,38,15,24,35,37,48,29,22
23,0.0001,41,15,25,31,50,41,29,26
24,0.0001,34,16,34,38,21,48,31,24
25,0.0001,50,15,24,38,64,38,33,23
26,0.0001,37,15,33,49,24,42,33,27
27,0.0001,46,15,28,33,39,50,33,22
28,0.0001,36,15,23,33,49,33,31,26
29,0.0001,36,15,23,35,36,52,32,22
30,0.0001,34,16,33,23,45,34,31,26
31,0.0001,46,15,24,33,46,38,31,24
32,0.0001,36,15,22,47,33,38,31,22
33,0.0001,38,15,27,66,52,47,31,21
34,0.0001,41,15,52,34,26,44,28,22
35,0.0001,34,15,35,22,47,36,34,24
36,0.0001,34,16,35,23,48,38,31,21
37,0.0001,34,15,23,51,35,37,32,22
38,0.0001,35,16,34,24,38,56,31,22
39,0.0001,38,15,23,33,36,45,32,28
40,0.0001,34,16,37,25,37,49,29,24
41,0.0001,36,15,27,37,54,38,27,24
42,0.0001,38,16,50,24,37,37,31,22
43,0.0001,36,15,23,35,51,35,32,22
44,0.0001,34,16,34,23,52,43,31,26
45,0.0001,34,16,34,43,25,45,34,27
46,0.0001,37,15,27,30,32,44,37,24
47,0.0001,39,15,34,24,46,48,30,20
48,0.0001,40,15,43,24,46,36,34,21
49,0.0001,40,15,53,23,37,44,33,25
50,0.0001,34,16,35,25,46,35,29,23
