run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,14,14,14,15,15,17,24,21
2,0.0001,14,14,14,16,21,17,24,35
3,0.0001,14,14,14,14,22,17,46,19
4,0.0001,14,14,14,15,16,17,24,19
5,0.0001,14,14,14,15,15,17,27,23
6,0.0001,14,14,14,15,15,17,24,21
7,0.0001,14,14,14,14,19,22,19,25
8,0.0001,14,14,14,15,16,21,22,24
9,0.0001,14,14,14,14,21,17,30,22
10,0.0001,14,14,14,14,21,17,24,23
11,0.0001,14,14,14,14,18,17,39,28
12,0.0001,14,14,14,14,16,17,23,25
13,0.0001,14,14,14,14,21,17,28,19
14,0.0001,14,14,14,18,15,18,24,27
15,0.0001,14,14,14,18,16,17,22,21
16,0.0001,14,14,14,15,16,16,29,22
17,0.0001,14,14,14,17,15,18,27,21
18,0.0001,14,14,14,14,16,17,26,27
19,0.0001,14,14,14,14,17,17,28,26
20,0.0001,14,14,14,14,16,17,20,21
21,0.0001,14,14,14,16,16,17,27,29
22,0.0001,14,14,14,14,16,17,21,22
23,0.0001,14,14,14,15,15,17,18,26
24,0.0001,14,14,14,15,16,17,25,22
25,0.0001,14,14,14,14,17,18,20,23
26,0.0001,14,14,14,15,16,19,28,24
27,0.0001,14,14,14,14,18,24,19,31
28,0.0001,14,14,14,14,16,21,24,19
29,0.0001,14,14,14,17,17,28,26,25
30,0.0001,14,14,14,14,17,22,18,22
31,0.0001,14,14,14,15,16,19,25,21
32,0.0001,14,14,14,14,16,21,18,23
33,0.0001,14,14,14,14,16,17,22,26
34,0.0001,14,14,14,14,17,30,18,25
35,0.0001,14,14,14,15,16,24,31,22
36,0.0001,14,14,14,14,16,17,30,30
37,0.0001,14,14,14,14,17,17,22,23
38,0.0001,14,14,14,14,22,25,19,21
39,0.0001,14,14,14,17,16,20,18,25
40,0.0001,14,14,14,15,16,17,26,23
41,0.0001,14,14,14,14,16,17,22,22
42,0.0001,14,14,14,14,16,17,20,28
43,0.0001,14,14,14,18,16,22,18,22
44,0.0001,14,14,14,15,16,17,18,23
45,0.0001,14,14,14,15,16,18,18,23
46,0.0001,14,14,14,15,16,21,17,29
47,0.0001,14,14,14,15,16,21,24,24
48,0.0001,14,14,14,14,16,17,21,23
49,0.0001,14,14,14,14,17,19,22,25
50,0.0001,14,14,14,14,18,17,21,26
