run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,22,28,14,18,15,20,19,22
2,0.0001,22,23,14,16,23,26,23,26
3,0.0001,22,24,14,18,15,20,23,28
4,0.0001,22,25,14,27,15,23,19,21
5,0.0001,22,26,14,24,29,21,19,22
6,0.0001,22,24,14,16,15,26,23,20
7,0.0001,22,25,14,17,15,18,28,21
8,0.0001,22,35,14,17,15,24,23,24
9,0.0001,22,23,14,16,19,18,25,27
10,0.0001,22,26,14,20,15,18,23,25
11,0.0001,22,31,14,16,24,17,26,20
12,0.0001,22,25,14,16,15,28,21,24
13,0.0001,22,32,14,16,24,22,19,25
14,0.0001,22,27,14,17,22,29,32,30
15,0.0001,22,28,14,18,20,18,23,21
16,0.0001,22,24,14,26,15,31,20,20
17,0.0001,22,23,14,18,27,17,22,30
18,0.0001,22,27,14,17,15,21,36,32
19,0.0001,22,25,14,16,31,20,20,21
20,0.0001,22,27,14,16,15,20,23,23
21,0.0001,22,24,14,17,15,19,22,30
22,0.0001,22,25,14,22,15,18,29,24
23,0.0001,22,26,14,16,15,26,20,22
24,0.0001,22,27,14,19,22,17,33,23
25,0.0001,22,24,14,16,15,21,37,22
26,0.0001,22,26,14,17,15,19,26,22
27,0.0001,22,27,14,25,15,18,22,21
28,0.0001,22,25,14,16,15,21,21,26
29,0.0001,22,33,14,19,15,19,23,28
30,0.0001,22,29,14,17,15,24,24,20
31,0.0001,22,29,14,16,15,21,26,22
32,0.0001,22,24,14,16,15,19,28,22
33,0.0001,22,22,14,16,28,21,22,25
34,0.0001,22,26,14,16,15,20,24,29
35,0.0001,22,24,14,22,15,23,19,26
36,0.0001,22,26,14,16,21,17,20,26
37,0.0001,22,27,14,16,15,19,21,25
38,0.0001,22,23,14,24,15,21,19,29
39,0.0001,22,25,14,16,15,19,22,31
40,0.0001,22,28,14,17,26,18,20,29
41,0.0001,22,24,14,26,15,20,21,23
42,0.0001,23,33,14,16,15,18,23,23
43,0.0001,22,25,14,21,22,17,22,28
44,0.0001,22,25,14,16,15,19,21,26
45,0.0001,22,28,14,16,19,20,26,28
46,0.0001,22,29,14,22,29,21,21,21
47,0.0001,22,26,14,20,15,25,19,27
48,0.0001,22,29,14,17,15,21,20,22
49,0.0001,22,23,14,19,15,20,23,32
50,0.0001,22,24,14,20,15,21,26,31
