run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,28,42,96,50,88,88,117,69
2,0.0001,30,34,73,64,58,101,112,121
3,0.0001,34,63,43,57,84,103,118,91
4,0.0001,46,35,71,66,86,126,117,101
5,0.0001,36,125,44,63,126,140,96,91
6,0.0001,49,52,42,135,108,81,120,88
7,0.0001,39,62,27,51,83,118,90,107
8,0.0001,46,39,136,69,75,84,113,122
9,0.0001,25,33,63,105,57,81,120,96
10,0.0001,30,65,41,99,51,106,68,88
11,0.0001,31,45,85,118,105,72,82,125
12,0.0001,35,48,53,88,101,130,117,75
13,0.0001,61,71,71,92,90,134,111,139
14,0.0001,28,44,35,79,121,63,107,123
15,0.0001,28,93,40,62,96,118,54,98
16,0.0001,30,38,66,56,120,88,90,114
17,0.0001,34,48,74,94,98,56,116,77
18,0.0001,31,44,62,73,123,85,105,89
19,0.0001,35,85,52,36,56,114,69,104
20,0.0001,34,39,53,67,108,72,96,130
21,0.0001,33,38,57,103,70,68,96,91
22,0.0001,35,47,93,64,114,82,73,126
23,0.0001,29,40,53,65,106,86,60,111
24,0.0001,35,45,77,113,58,83,105,67
25,0.0001,29,39,88,69,48,49,121,98
26,0.0001,72,66,78,117,108,144,121,153
27,0.0001,37,39,59,97,79,116,129,90
28,0.0001,45,50,62,67,83,115,103,122
29,0.0001,33,81,39,51,126,56,88,115
30,0.0001,35,98,79,46,88,54,115,62
31,0.0001,51,64,74,116,108,130,121,137
32,0.0001,28,39,86,117,54,79,121,100
33,0.0001,33,41,70,120,101,76,127,71
34,0.0001,28,64,54,81,35,87,106,117
35,0.0001,38,40,49,113,77,85,106,127
36,0.0001,36,73,68,96,69,117,132,97
37,0.0001,29,41,50,113,68,104,80,91
38,0.0001,42,118,85,93,36,131,148,104
39,0.0001,32,34,53,100,56,90,71,116
40,0.0001,39,95,55,102,120,128,60,143
41,0.0001,41,68,45,60,104,87,122,108
42,0.0001,32,42,50,55,72,102,86,110
43,0.0001,35,39,52,115,80,71,95,120
44,0.0001,40,42,85,56,70,123,93,112
45,0.0001,29,67,64,48,88,60,106,125
46,0.0001,32,36,63,81,92,102,125,66
47,0.0001,53,56,65,121,135,93,106,88
48,0.0001,33,110,56,37,75,90,101,128
49,0.0001,30,42,77,128,59,75,112,106
50,0.0001,35,39,59,85,64,101,90,112
