run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,16,24,59,45,28,39,32,56
2,0.0001,16,45,26,30,60,62,39,67
3,0.0001,16,40,37,25,54,54,77,35
4,0.0001,16,25,59,33,38,71,62,47
5,0.0001,16,47,26,30,37,82,54,67
6,0.0001,16,25,54,28,71,59,38,37
7,0.0001,16,33,49,26,34,43,58,74
8,0.0001,16,25,45,37,67,34,52,61
9,0.0001,16,28,24,31,53,42,61,68
10,0.0001,16,25,48,28,35,65,53,60
11,0.0001,16,39,27,31,37,58,46,70
12,0.0001,16,27,40,30,66,76,54,38
13,0.0001,16,26,30,37,55,62,43,79
14,0.0001,16,48,58,30,25,65,84,38
15,0.0001,16,23,42,33,56,86,30,61
16,0.0001,16,26,29,49,66,38,56,42
17,0.0001,16,48,32,58,77,73,40,33
18,0.0001,16,23,27,47,38,72,41,57
19,0.0001,16,25,48,34,62,53,45,69
20,0.0001,16,22,27,63,97,39,53,72
21,0.0001,16,22,40,33,64,56,45,52
22,0.0001,16,29,26,36,56,63,44,73
23,0.0001,16,54,25,50,32,75,40,65
24,0.0001,16,30,28,61,49,41,53,68
25,0.0001,16,25,28,43,53,42,90,122
26,0.0001,16,39,23,28,89,42,48,56
27,0.0001,16,40,37,26,29,52,68,74
28,0.0001,16,25,37,46,72,54,67,50
29,0.0001,16,40,24,67,32,52,44,56
30,0.0001,16,30,37,59,53,24,47,48
31,0.0001,16,24,33,42,52,49,60,87
32,0.0001,16,32,23,38,48,57,30,54
33,0.0001,16,45,31,60,71,25,41,52
34,0.0001,16,83,26,33,51,36,44,65
35,0.0001,16,25,33,53,46,36,67,60
36,0.0001,16,24,30,46,78,36,61,50
37,0.0001,16,25,33,41,61,83,47,54
38,0.0001,16,68,56,27,41,51,43,31
39,0.0001,16,26,31,62,54,35,41,46
40,0.0001,16,34,25,66,44,57,79,50
41,0.0001,16,24,50,65,45,72,27,34
42,0.0001,16,26,36,48,57,38,65,74
43,0.0001,16,26,50,33,62,35,74,47
44,0.0001,16,66,52,22,116,44,32,36
45,0.0001,16,29,24,49,54,62,40,75
46,0.0001,16,30,39,23,73,65,45,53
47,0.0001,16,24,56,30,54,39,34,64
48,0.0001,16,41,57,27,33,47,69,60
49,0.0001,16,34,31,25,40,56,50,63
50,0.0001,16,45,51,23,70,36,30,59
