run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,23,34,44,64,34,51,56,28
2,0.0001,25,42,54,53,47,32,32,27
3,0.0001,23,32,34,55,27,50,47,24
4,0.0001,18,28,32,54,50,34,38,24
5,0.0001,23,33,34,47,56,52,27,23
6,0.0001,32,28,30,43,42,56,24,19
7,0.0001,23,34,35,46,62,42,28,23
8,0.0001,25,36,34,50,28,52,25,35
9,0.0001,34,28,30,58,46,42,39,24
10,0.0001,18,28,37,59,52,46,62,22
11,0.0001,33,28,40,45,53,40,42,22
12,0.0001,23,39,50,52,37,28,24,33
13,0.0001,18,43,57,45,33,38,38,42
14,0.0001,32,28,52,30,42,41,23,20
15,0.0001,33,28,47,50,44,56,34,29
16,0.0001,30,38,48,39,42,41,58,23
17,0.0001,18,30,32,45,51,33,36,21
18,0.0001,23,35,41,39,32,60,63,21
19,0.0001,32,28,49,48,41,27,46,23
20,0.0001,23,45,44,36,56,42,29,21
21,0.0001,29,49,49,37,51,69,37,30
22,0.0001,18,42,46,44,58,39,52,24
23,0.0001,23,33,45,53,47,45,23,29
24,0.0001,23,34,43,35,44,53,54,44
25,0.0001,23,33,33,56,43,27,46,21
26,0.0001,23,36,48,34,56,39,41,21
27,0.0001,23,35,46,50,34,39,47,22
28,0.0001,19,28,41,42,42,39,54,38
29,0.0001,23,40,44,36,30,58,40,21
30,0.0001,37,28,35,50,31,48,27,31
31,0.0001,22,30,54,41,37,36,52,45
32,0.0001,23,32,46,58,54,41,26,19
33,0.0001,24,35,65,51,62,28,49,23
34,0.0001,23,33,45,49,47,41,24,19
35,0.0001,22,33,65,39,50,26,41,54
36,0.0001,23,38,40,59,62,45,33,25
37,0.0001,23,32,35,62,52,30,52,25
38,0.0001,23,35,52,49,59,47,27,22
39,0.0001,21,28,46,52,33,40,44,39
40,0.0001,31,30,45,48,36,27,23,32
41,0.0001,18,31,36,64,53,61,35,25
42,0.0001,18,37,27,53,41,35,48,24
43,0.0001,35,30,33,40,49,52,45,25
44,0.0001,35,28,47,46,45,33,28,21
45,0.0001,23,39,36,47,24,29,45,43
46,0.0001,23,37,42,56,51,43,31,43
47,0.0001,18,28,36,43,59,41,49,25
48,0.0001,23,32,31,46,44,48,26,21
49,0.0001,25,30,35,43,64,48,35,19
50,0.0001,18,28,38,48,43,48,42,22
