run,noise,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
1,0.0001,28,66,78,48,103,86,59,34
2,0.0001,28,46,99,67,81,60,86,34
3,0.0001,28,74,40,61,91,86,58,35
4,0.0001,30,41,62,111,53,78,89,38
5,0.0001,26,105,49,85,87,69,59,37
6,0.0001,26,41,57,81,55,70,87,34
7,0.0001,30,41,90,55,75,76,42,52
8,0.0001,51,42,68,90,111,55,76,41
9,0.0001,28,43,60,93,78,59,83,36
10,0.0001,26,45,58,71,97,79,57,40
11,0.0001,28,62,45,82,105,74,58,35
12,0.0001,28,45,89,62,80,79,55,34
13,0.0001,26,36,76,92,59,57,86,38
14,0.0001,34,46,66,83,106,82,58,36
15,0.0001,30,41,74,62,100,56,86,34
16,0.0001,26,38,60,78,76,54,99,34
17,0.0001,26,45,60,89,74,58,81,34
18,0.0001,28,66,45,84,84,103,59,35
19,0.0001,28,44,65,104,85,61,84,35
20,0.0001,26,42,63,101,81,90,56,34
21,0.0001,28,42,76,62,88,57,81,34
22,0.0001,28,45,64,82,88,115,57,34
23,0.0001,26,39,56,92,75,76,51,34
24,0.0001,28,39,80,77,61,103,56,34
25,0.0001,28,36,58,85,70,80,59,55
26,0.0001,28,36,72,58,90,56,94,35
27,0.0001,34,48,65,78,81,101,55,36
28,0.0001,28,61,38,70,85,96,62,41
29,0.0001,32,41,74,62,101,83,59,34
30,0.0001,26,44,68,82,107,82,57,34
31,0.0001,26,44,62,70,86,100,57,34
32,0.0001,26,44,69,84,87,59,104,34
33,0.0001,30,57,43,59,84,77,97,39
34,0.0001,32,40,56,76,79,54,91,34
35,0.0001,30,44,77,88,62,79,55,37
36,0.0001,28,64,48,78,99,76,57,35
37,0.0001,34,50,67,83,103,82,57,35
38,0.0001,30,64,42,79,98,57,83,34
39,0.0001,28,38,72,104,85,86,55,35
40,0.0001,26,42,63,75,99,84,57,37
41,0.0001,26,63,42,77,87,96,57,35
42,0.0001,28,78,46,64,98,61,87,34
43,0.0001,26,46,90,64,80,82,60,34
44,0.0001,28,43,68,80,89,96,59,34
45,0.0001,28,61,41,70,94,56,83,36
46,0.0001,29,44,58,86,72,76,53,36
47,0.0001,26,65,45,97,79,58,85,35
48,0.0001,30,47,61,84,60,74,97,35
49,0.0001,26,69,45,98,84,84,59,34
50,0.0001,28,59,42,84,80,98,55,34
