run,agent1,agent2,agent3,agent4,agent5,agent6,agent7,agent8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds
1,38,15,23,35,48,36,31,24,maybe_5,121235,0.0001,1000,8,281.668610167
2,38,15,22,35,44,36,33,26,maybe_5,121236,0.0001,1000,8,252.526984292
3,36,15,22,47,35,33,31,22,maybe_5,121237,0.0001,1000,8,257.453083542
4,36,15,22,36,40,52,29,27,maybe_5,121238,0.0001,1000,8,240.176416459
5,36,15,22,36,50,37,27,24,maybe_5,121239,0.0001,1000,8,247.460576625
6,36,15,22,33,45,38,33,26,maybe_5,121240,0.0001,1000,8,167.331442291
7,34,16,36,23,50,42,30,24,maybe_5,121241,0.0001,1000,8,262.674330666
8,34,15,23,32,47,38,27,24,maybe_5,121242,0.0001,1000,8,247.504940875
9,39,15,47,23,34,36,31,22,maybe_5,121243,0.0001,1000,8,285.205464208
10,38,15,22,38,34,47,31,22,maybe_5,121244,0.0001,1000,8,230.722399125
11,39,15,33,23,46,40,27,24,maybe_5,121245,0.0001,1000,8,260.530165625
12,36,15,23,34,47,36,30,23,maybe_5,121246,0.0001,1000,8,181.844039917
13,38,15,22,33,37,46,30,22,maybe_5,121247,0.0001,1000,8,214.343858334
14,40,15,23,36,38,46,33,26,maybe_5,121248,0.0001,1000,8,222.248002625
15,36,15,23,34,32,45,30,24,maybe_5,121249,0.0001,1000,8,168.714291542
16,36,15,22,47,34,34,31,22,maybe_5,121250,0.0001,1000,8,254.257234291
17,40,15,22,49,35,33,31,22,maybe_5,121251,0.0001,1000,8,250.801078416
18,34,17,22,38,36,53,31,27,maybe_5,121252,0.0001,1000,8,196.785626458
19,36,15,22,52,35,35,30,22,maybe_5,121253,0.0001,1000,8,201.94945225
20,36,15,22,36,37,48,33,28,maybe_5,121254,0.0001,1000,8,160.626565791
21,36,15,23,33,47,38,31,24,maybe_5,121255,0.0001,1000,8,192.497651083
22,36,15,25,51,32,37,31,22,maybe_5,121256,0.0001,1000,8,173.934114166
23,44,15,32,23,48,39,27,20,maybe_5,121257,0.0001,1000,8,258.608003125
24,38,15,23,41,28,29,31,22,maybe_5,121258,0.0001,1000,8,209.202810875
25,36,15,23,48,35,38,31,22,maybe_5,121259,0.0001,1000,8,161.00903375
26,36,15,22,36,33,76,33,22,maybe_5,121260,0.0001,1000,8,185.032396
27,34,16,44,23,30,31,29,24,maybe_5,121261,0.0001,1000,8,206.770434959
28,36,15,22,33,37,46,32,27,maybe_5,121262,0.0001,1000,8,174.052166083
29,40,15,22,34,37,49,31,22,maybe_5,121263,0.0001,1000,8,143.673614709
30,34,16,33,21,35,46,32,25,maybe_5,121264,0.0001,1000,8,231.098813333
31,36,15,22,33,49,37,29,26,maybe_5,121265,0.0001,1000,8,194.551231542
32,36,15,22,35,44,39,31,20,maybe_5,121266,0.0001,1000,8,160.689421291
33,37,15,24,35,48,36,31,24,maybe_5,121267,0.0001,1000,8,164.732334417
34,36,15,23,33,40,44,29,22,maybe_5,121268,0.0001,1000,8,221.39894375
35,40,15,32,22,48,46,30,24,maybe_5,121269,0.0001,1000,8,259.762725459
36,36,15,22,34,47,33,33,26,maybe_5,121270,0.0001,1000,8,178.523990041
37,36,15,23,46,30,36,31,21,maybe_5,121271,0.0001,1000,8,253.604380084
38,36,15,23,35,33,45,30,22,maybe_5,121272,0.0001,1000,8,152.12466075
39,36,15,23,31,46,34,26,22,maybe_5,121273,0.0001,1000,8,240.3977245
40,40,15,24,33,44,36,31,26,maybe_5,121274,0.0001,1000,8,140.281630667
41,40,15,25,38,35,43,27,24,maybe_5,121275,0.0001,1000,8,231.6523725
42,38,15,22,36,34,40,28,24,maybe_5,121276,0.0001,1000,8,123.399019083
43,36,15,23,38,37,49,33,26,maybe_5,121277,0.0001,1000,8,167.135680334
44,65,15,24,36,37,49,31,20,maybe_5,121278,0.0001,1000,8,326.289615791
45,36,15,26,41,39,42,29,24,maybe_5,121279,0.0001,1000,8,189.4290365
46,34,16,34,23,48,37,27,24,maybe_5,121280,0.0001,1000,8,249.11518575
47,38,15,37,24,50,37,29,25,maybe_5,121281,0.0001,1000,8,268.96915425
48,38,15,22,50,34,33,31,22,maybe_5,121282,0.0001,1000,8,239.540130625
49,34,16,36,23,37,40,27,24,maybe_5,121283,0.0001,1000,8,222.898452208
50,40,15,23,29,45,35,32,22,maybe_5,121284,0.0001,1000,8,141.957042833
