run,agent1,agent2,agent3,agent4,agent5,agent6,agent7,agent8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds
1,54,78,44,58,45,95,75,66,new_maybe_6,191235,0.0001,1000,8,1285.906262125
2,55,68,49,77,51,73,98,86,new_maybe_6,191236,0.0001,1000,8,1224.345391792
3,46,61,67,57,49,70,78,89,new_maybe_6,191237,0.0001,1000,8,958.369171959
4,43,72,49,63,47,86,90,64,new_maybe_6,191238,0.0001,1000,8,1348.736630917
5,52,69,44,61,43,76,68,88,new_maybe_6,191239,0.0001,1000,8,1057.046526292
6,54,82,45,61,56,75,70,83,new_maybe_6,191240,0.0001,1000,8,862.759681167
7,57,72,46,45,82,62,76,86,new_maybe_6,191241,0.0001,1000,8,1075.734438125
8,45,91,39,62,55,62,78,77,new_maybe_6,191242,0.0001,1000,8,886.554853292
9,51,73,58,45,48,68,79,86,new_maybe_6,191243,0.0001,1000,8,1033.485169625
10,56,72,43,48,63,59,67,83,new_maybe_6,191244,0.0001,1000,8,941.292502083
11,73,52,41,57,74,90,81,57,new_maybe_6,191245,0.0001,1000,8,995.351239459
12,46,90,40,59,52,65,76,102,new_maybe_6,191246,0.0001,1000,8,1038.422732209
13,56,65,58,79,45,84,105,84,new_maybe_6,191247,0.0001,1000,8,1224.703126708
14,54,87,41,44,78,80,61,71,new_maybe_6,191248,0.0001,1000,8,951.354598833
15,79,68,50,42,46,68,64,90,new_maybe_6,191249,0.0001,1000,8,1026.538254458
16,72,90,46,54,43,67,87,65,new_maybe_6,191250,0.0001,1000,8,1068.644308
17,69,64,44,53,47,72,79,85,new_maybe_6,191251,0.0001,1000,8,880.842672542
18,49,84,54,57,43,84,67,70,new_maybe_6,191252,0.0001,1000,8,943.906344542
19,49,84,42,65,49,59,71,88,new_maybe_6,191253,0.0001,1000,8,964.426926583
20,60,60,50,74,43,65,68,90,new_maybe_6,191254,0.0001,1000,8,882.923396709
21,49,87,41,60,52,81,83,69,new_maybe_6,191255,0.0001,1000,8,1070.194160291
22,67,80,42,44,53,50,71,95,new_maybe_6,191256,0.0001,1000,8,1013.389131708
23,45,56,40,46,64,70,86,70,new_maybe_6,191257,0.0001,1000,8,893.066001541
24,44,80,42,64,51,68,84,60,new_maybe_6,191258,0.0001,1000,8,972.81945725
25,47,82,45,48,64,68,93,76,new_maybe_6,191259,0.0001,1000,8,1017.671620416
26,92,84,45,85,55,63,50,69,new_maybe_6,191260,0.0001,1000,8,1048.526928292
27,60,67,44,50,82,57,72,77,new_maybe_6,191261,0.0001,1000,8,876.179208458
28,53,88,39,63,61,66,88,52,new_maybe_6,191262,0.0001,1000,8,958.703258625
29,52,78,42,65,43,81,88,66,new_maybe_6,191263,0.0001,1000,8,988.689142667
30,61,79,40,47,53,72,92,66,new_maybe_6,191264,0.0001,1000,8,958.168447
31,51,67,45,45,77,67,68,91,new_maybe_6,191265,0.0001,1000,8,826.901654208
32,45,58,39,63,50,85,60,83,new_maybe_6,191266,0.0001,1000,8,790.019990875
33,85,86,41,58,55,61,74,78,new_maybe_6,191267,0.0001,1000,8,995.192706458
34,56,87,44,53,49,66,69,67,new_maybe_6,191268,0.0001,1000,8,887.661014291
35,50,75,61,47,61,90,70,78,new_maybe_6,191269,0.0001,1000,8,866.790321583
36,48,78,42,69,55,60,72,90,new_maybe_6,191270,0.0001,1000,8,985.247476625
37,45,80,41,63,49,75,58,93,new_maybe_6,191271,0.0001,1000,8,867.678535583
38,46,70,40,79,64,58,84,54,new_maybe_6,191272,0.0001,1000,8,848.036582333
39,46,75,44,58,49,75,64,89,new_maybe_6,191273,0.0001,1000,8,994.542791
40,73,88,44,46,47,78,70,58,new_maybe_6,191274,0.0001,1000,8,887.236368166
41,73,67,45,47,70,76,61,86,new_maybe_6,191275,0.0001,1000,8,907.235027
42,46,69,60,47,63,51,81,85,new_maybe_6,191276,0.0001,1000,8,971.489007792
43,82,57,43,52,75,67,69,95,new_maybe_6,191277,0.0001,1000,8,998.97175425
44,45,60,41,51,58,72,79,84,new_maybe_6,191278,0.0001,1000,8,977.382428125
45,51,56,58,44,67,83,98,93,new_maybe_6,191279,0.0001,1000,8,1123.15363725
46,59,76,46,61,46,93,69,77,new_maybe_6,191280,0.0001,1000,8,942.580894542
47,46,69,42,83,47,73,63,95,new_maybe_6,191281,0.0001,1000,8,971.234775583
48,74,66,44,81,47,48,88,62,new_maybe_6,191282,0.0001,1000,8,896.735197417
49,46,83,49,67,49,78,73,95,new_maybe_6,191283,0.0001,1000,8,907.020210417
50,73,78,41,45,50,61,78,88,new_maybe_6,191284,0.0001,1000,8,933.194544041
