run,agent1,agent2,agent3,agent4,agent5,agent6,agent7,agent8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds
1,28,39,44,35,52,62,23,12,yes_line_C,251235,0.0001,1000,8,636.977579667
2,19,37,39,50,29,72,53,12,yes_line_C,251236,0.0001,1000,8,736.081563709
3,29,67,45,48,59,34,23,12,yes_line_C,251237,0.0001,1000,8,721.291493667
4,44,32,44,62,37,75,23,12,yes_line_C,251238,0.0001,1000,8,839.60231425
5,31,37,32,45,51,53,26,12,yes_line_C,251239,0.0001,1000,8,590.345606166
6,19,35,34,56,47,62,27,12,yes_line_C,251240,0.0001,1000,8,696.510773625
7,52,30,41,56,24,45,33,12,yes_line_C,251241,0.0001,1000,8,680.125901959
8,29,42,51,58,45,24,34,12,yes_line_C,251242,0.0001,1000,8,704.141070333
9,35,40,46,35,68,64,23,12,yes_line_C,251243,0.0001,1000,8,603.917447834
10,23,33,38,71,42,26,36,16,yes_line_C,251244,0.0001,1000,8,632.7722365
11,32,49,39,43,56,26,61,12,yes_line_C,251245,0.0001,1000,8,721.82226775
12,55,30,42,46,81,33,22,12,yes_line_C,251246,0.0001,1000,8,671.801842291
13,18,54,78,37,50,33,40,12,yes_line_C,251247,0.0001,1000,8,651.005916125
14,29,55,34,36,55,48,22,12,yes_line_C,251248,0.0001,1000,8,580.7294235
15,44,29,56,53,35,36,25,12,yes_line_C,251249,0.0001,1000,8,594.434764208
16,17,36,34,40,60,52,29,12,yes_line_C,251250,0.0001,1000,8,583.24738525
17,33,29,38,51,42,83,23,12,yes_line_C,251251,0.0001,1000,8,716.466640125
18,33,45,52,39,65,31,22,12,yes_line_C,251252,0.0001,1000,8,620.259340333
19,19,39,81,48,84,28,41,12,yes_line_C,251253,0.0001,1000,8,833.6279055
20,18,44,40,70,46,28,56,12,yes_line_C,251254,0.0001,1000,8,702.9941915
21,17,24,57,49,90,58,43,12,yes_line_C,251255,0.0001,1000,8,808.617502459
22,54,53,22,37,57,52,32,12,yes_line_C,251256,0.0001,1000,8,740.851321583
23,34,28,43,51,68,63,24,12,yes_line_C,251257,0.0001,1000,8,883.34556075
24,33,29,54,49,41,60,23,12,yes_line_C,251258,0.0001,1000,8,782.708766
25,31,49,34,36,68,46,23,12,yes_line_C,251259,0.0001,1000,8,591.957501875
26,44,30,37,51,37,68,24,12,yes_line_C,251260,0.0001,1000,8,677.937115458
27,48,30,40,58,52,21,36,12,yes_line_C,251261,0.0001,1000,8,680.576572125
28,26,52,41,31,76,68,21,12,yes_line_C,251262,0.0001,1000,8,698.993453625
29,38,29,69,54,59,26,30,12,yes_line_C,251263,0.0001,1000,8,594.668632833
30,49,34,54,68,26,48,39,12,yes_line_C,251264,0.0001,1000,8,782.523242333
31,33,33,46,41,49,23,39,13,yes_line_C,251265,0.0001,1000,8,527.649395042
32,33,30,53,37,58,45,25,12,yes_line_C,251266,0.0001,1000,8,612.702978792
33,50,31,65,33,24,54,44,12,yes_line_C,251267,0.0001,1000,8,629.241302
34,32,36,43,54,65,60,44,12,yes_line_C,251268,0.0001,1000,8,655.917755292
35,28,37,57,42,58,49,24,12,yes_line_C,251269,0.0001,1000,8,708.123957583
36,44,42,28,52,58,24,36,12,yes_line_C,251270,0.0001,1000,8,716.276213166
37,27,33,44,48,38,60,22,12,yes_line_C,251271,0.0001,1000,8,631.940630041
38,46,36,60,36,65,49,23,12,yes_line_C,251272,0.0001,1000,8,734.598193542
39,33,47,71,48,58,23,39,12,yes_line_C,251273,0.0001,1000,8,760.660793958
40,36,22,40,78,35,53,63,12,yes_line_C,251274,0.0001,1000,8,852.947932375
41,19,57,24,38,31,45,50,12,yes_line_C,251275,0.0001,1000,8,542.93351025
42,19,26,46,47,54,37,79,12,yes_line_C,251276,0.0001,1000,8,791.303653
43,25,29,36,66,48,45,22,12,yes_line_C,251277,0.0001,1000,8,664.207314875
44,28,30,58,50,42,53,22,12,yes_line_C,251278,0.0001,1000,8,728.547264667
45,36,31,27,55,42,26,68,12,yes_line_C,251279,0.0001,1000,8,596.057329625
46,31,30,42,41,64,53,23,12,yes_line_C,251280,0.0001,1000,8,672.300139875
47,33,44,49,69,58,35,24,12,yes_line_C,251281,0.0001,1000,8,779.790620417
48,26,29,46,33,69,21,45,12,yes_line_C,251282,0.0001,1000,8,659.2523615
49,20,39,36,54,78,30,42,12,yes_line_C,251283,0.0001,1000,8,725.959585417
50,28,58,55,86,61,35,22,12,yes_line_C,251284,0.0001,1000,8,717.306056792
