run,agent1,agent2,agent3,agent4,agent5,agent6,agent7,agent8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds
1,25,51,50,39,27,43,33,21,yes_line_D,261235,0.0001,1000,8,888.831020375
2,22,28,32,55,46,61,41,26,yes_line_D,261236,0.0001,1000,8,926.708121584
3,18,28,41,47,47,49,54,23,yes_line_D,261237,0.0001,1000,8,767.743306833
4,35,28,41,47,58,45,25,28,yes_line_D,261238,0.0001,1000,8,830.039699875
5,38,29,48,45,30,37,42,33,yes_line_D,261239,0.0001,1000,8,715.879421042
6,22,28,47,26,42,43,59,38,yes_line_D,261240,0.0001,1000,8,809.869934084
7,27,44,32,55,50,28,33,23,yes_line_D,261241,0.0001,1000,8,845.458708959
8,32,28,46,37,42,56,24,19,yes_line_D,261242,0.0001,1000,8,723.830793375
9,31,28,32,50,46,46,25,20,yes_line_D,261243,0.0001,1000,8,720.512246916
10,20,34,48,35,38,39,51,24,yes_line_D,261244,0.0001,1000,8,795.35012925
11,23,39,57,42,32,38,54,22,yes_line_D,261245,0.0001,1000,8,805.591437
12,31,28,28,47,46,33,23,31,yes_line_D,261246,0.0001,1000,8,644.375758417
13,18,28,42,52,51,34,37,31,yes_line_D,261247,0.0001,1000,8,683.324620709
14,32,28,39,44,49,40,42,26,yes_line_D,261248,0.0001,1000,8,554.071171583
15,30,28,46,49,47,41,29,31,yes_line_D,261249,0.0001,1000,8,505.597969292
16,35,28,45,50,38,53,39,21,yes_line_D,261250,0.0001,1000,8,732.090747
17,30,28,33,54,29,48,24,32,yes_line_D,261251,0.0001,1000,8,587.640465333
18,23,36,47,49,40,38,33,21,yes_line_D,261252,0.0001,1000,8,698.224611083
19,18,30,42,35,54,32,43,32,yes_line_D,261253,0.0001,1000,8,664.2886795
20,33,28,32,57,46,28,24,30,yes_line_D,261254,0.0001,1000,8,609.985373708
21,32,28,48,42,28,38,44,33,yes_line_D,261255,0.0001,1000,8,628.535037334
22,31,28,40,60,50,49,32,22,yes_line_D,261256,0.0001,1000,8,718.331894125
23,18,28,35,45,42,40,54,24,yes_line_D,261257,0.0001,1000,8,721.316474875
24,35,28,44,58,26,54,41,38,yes_line_D,261258,0.0001,1000,8,902.71910925
25,32,28,48,43,33,40,39,21,yes_line_D,261259,0.0001,1000,8,613.4658735
26,19,28,48,44,40,50,37,22,yes_line_D,261260,0.0001,1000,8,658.619449708
27,34,28,37,54,52,30,24,26,yes_line_D,261261,0.0001,1000,8,634.773244541
28,18,28,46,41,45,36,42,22,yes_line_D,261262,0.0001,1000,8,657.520363833
29,23,43,55,62,45,32,44,23,yes_line_D,261263,0.0001,1000,8,853.42246
30,33,28,44,44,30,46,22,33,yes_line_D,261264,0.0001,1000,8,475.14933775
31,31,28,31,41,46,56,40,33,yes_line_D,261265,0.0001,1000,8,651.090632958
32,19,32,45,62,36,39,48,25,yes_line_D,261266,0.0001,1000,8,819.9472975
33,23,36,42,45,43,34,31,23,yes_line_D,261267,0.0001,1000,8,837.614600625
34,33,28,37,45,49,32,40,29,yes_line_D,261268,0.0001,1000,8,597.272913958
35,31,28,31,45,43,26,22,27,yes_line_D,261269,0.0001,1000,8,572.107763042
36,25,57,44,42,41,38,37,23,yes_line_D,261270,0.0001,1000,8,732.034054042
37,31,37,44,45,41,47,30,26,yes_line_D,261271,0.0001,1000,8,519.053261375
38,31,28,32,43,47,28,24,34,yes_line_D,261272,0.0001,1000,8,524.499941
39,30,28,49,40,43,45,27,22,yes_line_D,261273,0.0001,1000,8,541.211835333
40,18,30,49,58,38,42,45,22,yes_line_D,261274,0.0001,1000,8,851.618215917
41,39,28,56,52,42,28,36,31,yes_line_D,261275,0.0001,1000,8,830.423368875
42,30,28,35,48,57,44,28,19,yes_line_D,261276,0.0001,1000,8,584.992523375
43,23,42,45,61,42,35,31,21,yes_line_D,261277,0.0001,1000,8,739.63626575
44,18,28,32,44,43,39,57,31,yes_line_D,261278,0.0001,1000,8,712.787995333
45,35,28,35,51,51,50,28,23,yes_line_D,261279,0.0001,1000,8,759.580656875
46,20,30,52,36,47,41,43,23,yes_line_D,261280,0.0001,1000,8,826.821517875
47,33,28,43,51,46,42,28,21,yes_line_D,261281,0.0001,1000,8,622.852877125
48,23,34,48,53,33,42,37,37,yes_line_D,261282,0.0001,1000,8,557.723147625
49,32,28,34,56,50,43,27,21,yes_line_D,261283,0.0001,1000,8,728.626570667
50,18,28,49,37,34,47,37,23,yes_line_D,261284,0.0001,1000,8,645.16279625
